;REA_historic
1960-01-31;85.29637
1960-02-29;49.39395
1960-03-31;58.497498
1960-04-30;37.096527
1960-05-31;7.801544
1960-06-30;3.7783203
1960-07-31;1.9600525
1960-08-31;5.4535675
1960-09-30;6.31601
1960-10-31;28.073442
1960-11-30;104.791016
1960-12-31;87.462875
1961-01-31;105.057755
1961-02-28;57.59857
1961-03-31;21.64566
1961-04-30;8.710449
1961-05-31;7.697876
1961-06-30;2.9666138
1961-07-31;2.114685
1961-08-31;1.236613
1961-09-30;0.84041154
1961-10-31;3.267111
1961-11-30;6.6310115
1961-12-31;35.533165
1962-01-31;85.30794
1962-02-28;30.814682
1962-03-31;13.790848
1962-04-30;21.872574
1962-05-31;8.298065
1962-06-30;3.1561432
1962-07-31;1.3800964
1962-08-31;1.4805679
1962-09-30;2.513334
1962-10-31;5.0280566
1962-11-30;18.0191
1962-12-31;35.107895
1963-01-31;59.454254
1963-02-28;61.34385
1963-03-31;41.00862
1963-04-30;39.375458
1963-05-31;19.328613
1963-06-30;6.280365
1963-07-31;4.428009
1963-08-31;2.920306
1963-09-30;2.8452694
1963-10-31;3.3199635
1963-11-30;31.421757
1963-12-31;48.016907
1964-01-31;29.875557
1964-02-29;16.309105
1964-03-31;29.973633
1964-04-30;22.868042
1964-05-31;11.080444
1964-06-30;4.3460693
1964-07-31;2.125702
1964-08-31;1.0206901
1964-09-30;0.61811006
1964-10-31;3.472568
1964-11-30;2.7912917
1964-12-31;24.723766
1965-01-31;77.851746
1965-02-28;28.44001
1965-03-31;16.469482
1965-04-30;9.218765
1965-05-31;3.964508
1965-06-30;2.3871307
1965-07-31;1.6908722
1965-08-31;1.2743372
1965-09-30;1.3654913
1965-10-31;1.905905
1965-11-30;11.043367
1965-12-31;68.25835
1966-01-31;84.584114
1966-02-28;66.331314
1966-03-31;37.457275
1966-04-30;24.38205
1966-05-31;18.20523
1966-06-30;5.4973145
1966-07-31;2.611908
1966-08-31;1.6090394
1966-09-30;1.8429419
1966-10-31;10.236064
1966-11-30;23.241268
1966-12-31;49.06582
1967-01-31;57.74234
1967-02-28;34.48723
1967-03-31;29.071182
1967-04-30;12.854446
1967-05-31;8.410339
1967-06-30;6.2944183
1967-07-31;2.5601807
1967-08-31;1.7783152
1967-09-30;2.9748344
1967-10-31;12.937258
1967-11-30;35.363884
1967-12-31;35.608414
1968-01-31;64.22804
1968-02-29;60.72081
1968-03-31;29.121353
1968-04-30;11.007904
1968-05-31;8.340103
1968-06-30;4.810791
1968-07-31;4.0322876
1968-08-31;2.8342206
1968-09-30;2.1911411
1968-10-31;8.137095
1968-11-30;14.258227
1968-12-31;37.31196
1969-01-31;58.597954
1969-02-28;57.03121
1969-03-31;53.76828
1969-04-30;17.34703
1969-05-31;12.602905
1969-06-30;9.151367
1969-07-31;4.5314026
1969-08-31;1.9529002
1969-09-30;3.0184178
1969-10-31;2.1601806
1969-11-30;15.538881
1969-12-31;51.884647
1970-01-31;53.281914
1970-02-28;84.73562
1970-03-31;40.368896
1970-04-30;18.916885
1970-05-31;8.673737
1970-06-30;3.0906677
1970-07-31;1.9286804
1970-08-31;1.5965489
1970-09-30;1.6274638
1970-10-31;1.4830768
1970-11-30;5.206052
1970-12-31;11.397425
1971-01-31;42.644585
1971-02-28;50.153538
1971-03-31;36.933258
1971-04-30;19.230194
1971-05-31;5.9978333
1971-06-30;2.9510193
1971-07-31;2.1606903
1971-08-31;1.3349916
1971-09-30;0.97666705
1971-10-31;0.8422344
1971-11-30;3.4788566
1971-12-31;8.741938
1972-01-31;35.88752
1972-02-29;96.94559
1972-03-31;43.78694
1972-04-30;14.343903
1972-05-31;9.618652
1972-06-30;13.499603
1972-07-31;6.013977
1972-08-31;2.3262029
1972-09-30;1.35635
1972-10-31;1.9484863
1972-11-30;16.634535
1972-12-31;42.51072
1973-01-31;32.43194
1973-02-28;34.25332
1973-03-31;21.397476
1973-04-30;6.1114655
1973-05-31;5.1958313
1973-06-30;4.3421326
1973-07-31;3.0406952
1973-08-31;2.4492288
1973-09-30;1.4866543
1973-10-31;2.324967
1973-11-30;2.5789595
1973-12-31;10.041556
1974-01-31;35.60541
1974-02-28;95.185074
1974-03-31;48.28212
1974-04-30;16.393158
1974-05-31;9.259354
1974-06-30;3.8695831
1974-07-31;2.2621613
1974-08-31;1.8554814
1974-09-30;6.628094
1974-10-31;12.630616
1974-11-30;52.90325
1974-12-31;48.846954
1975-01-31;42.379128
1975-02-28;38.080612
1975-03-31;35.132416
1975-04-30;23.683578
1975-05-31;7.843384
1975-06-30;3.1145325
1975-07-31;1.4465942
1975-08-31;0.98798245
1975-09-30;2.6224904
1975-10-31;4.325695
1975-11-30;11.444111
1975-12-31;26.62051
1976-01-31;14.937401
1976-02-29;17.797356
1976-03-31;24.051125
1976-04-30;16.118553
1976-05-31;4.4823227
1976-06-30;1.8340607
1976-07-31;0.87233734
1976-08-31;0.48635826
1976-09-30;1.4749746
1976-10-31;8.992544
1976-11-30;40.21595
1976-12-31;71.55762
1977-01-31;77.595505
1977-02-28;107.60361
1977-03-31;53.074585
1977-04-30;28.209229
1977-05-31;13.067474
1977-06-30;8.752777
1977-07-31;7.204712
1977-08-31;4.3405313
1977-09-30;4.8619337
1977-10-31;4.1415024
1977-11-30;12.072719
1977-12-31;40.202385
1978-01-31;71.149475
1978-02-28;84.98584
1978-03-31;81.162125
1978-04-30;38.58734
1978-05-31;13.376282
1978-06-30;4.3728027
1978-07-31;2.9526367
1978-08-31;3.1544814
1978-09-30;1.8918111
1978-10-31;1.2787509
1978-11-30;0.9990001
1978-12-31;15.61014
1979-01-31;52.58455
1979-02-28;95.99018
1979-03-31;61.545914
1979-04-30;36.824677
1979-05-31;15.026062
1979-06-30;11.071625
1979-07-31;3.6219788
1979-08-31;1.8297247
1979-09-30;1.6173885
1979-10-31;2.1979542
1979-11-30;19.301504
1979-12-31;67.3338
1980-01-31;88.60184
1980-02-29;72.214615
1980-03-31;49.053177
1980-04-30;29.312256
1980-05-31;6.4754944
1980-06-30;5.0664673
1980-07-31;5.3914795
1980-08-31;3.2044325
1980-09-30;2.0321329
1980-10-31;9.480555
1980-11-30;33.01216
1980-12-31;53.80709
1981-01-31;57.00145
1981-02-28;30.792694
1981-03-31;62.250656
1981-04-30;26.540344
1981-05-31;20.732147
1981-06-30;19.124603
1981-07-31;4.3726807
1981-08-31;2.0736508
1981-09-30;3.1524527
1981-10-31;26.866613
1981-11-30;33.026913
1981-12-31;86.24525
1982-01-31;114.94679
1982-02-28;41.818665
1982-03-31;55.46768
1982-04-30;20.79773
