;REA_historic
1960-12-31;475.92117
1961-12-31;253.29993
1962-12-31;226.7693
1963-12-31;319.74338
1964-12-31;149.20497
1965-12-31;223.86996
1966-12-31;325.06433
1967-12-31;240.08284
1968-12-31;246.99393
1969-12-31;287.58517
1970-12-31;232.30696
1971-12-31;175.4458
1972-12-31;284.87247
1973-12-31;125.65422
1974-12-31;333.72125
1975-12-31;197.68103
1976-12-31;202.8206
1977-12-31;361.12695
1978-12-31;319.5207
1979-12-31;368.94534
1980-12-31;357.6517
1981-12-31;372.17944
1982-12-31;537.76825
1983-12-31;242.91017
1984-12-31;334.3694
1985-12-31;293.5698
1986-12-31;400.88025
1987-12-31;249.91833
1988-12-31;324.94904
1989-12-31;158.74998
1990-12-31;288.1371
1991-12-31;252.54521
1992-12-31;216.54163
1993-12-31;202.37329
1994-12-31;383.059
1995-12-31;391.80377
1996-12-31;189.56642
1997-12-31;207.33522
1998-12-31;384.8516
1999-12-31;404.76376
2000-12-31;453.61572
2001-12-31;407.36243
2002-12-31;297.69632
2003-12-31;221.78035
2004-12-31;271.78036
2005-12-31;165.45665
2006-12-31;333.72064
2007-12-31;293.58093
2008-12-31;302.80884
2009-12-31;336.54572
2010-12-31;399.88132
2011-12-31;190.63972
2012-12-31;370.0316
2013-12-31;297.95215
2014-12-31;466.55554
2015-12-31;275.9157
2016-12-31;342.3741
2017-12-31;207.62433
2018-12-31;348.63632
2019-12-31;467.09427
2020-12-31;
2021-12-31;
2022-12-31;
2023-12-31;
2024-12-31;
2025-12-31;
2026-12-31;
2027-12-31;
2028-12-31;
2029-12-31;
2030-12-31;
2031-12-31;
2032-12-31;
2033-12-31;
2034-12-31;
2035-12-31;
2036-12-31;
2037-12-31;
2038-12-31;
2039-12-31;
2040-12-31;
2041-12-31;
2042-12-31;
2043-12-31;
2044-12-31;
2045-12-31;
2046-12-31;
2047-12-31;
2048-12-31;
2049-12-31;
2050-12-31;
2051-12-31;
2052-12-31;
2053-12-31;
2054-12-31;
2055-12-31;
2056-12-31;
2057-12-31;
2058-12-31;
2059-12-31;
2060-12-31;
2061-12-31;
2062-12-31;
2063-12-31;
2064-12-31;
2065-12-31;
2066-12-31;
2067-12-31;
2068-12-31;
2069-12-31;
2070-12-31;
2071-12-31;
2072-12-31;
2073-12-31;
2074-12-31;
2075-12-31;
2076-12-31;
2077-12-31;
2078-12-31;
2079-12-31;
2080-12-31;
2081-12-31;
2082-12-31;
2083-12-31;
2084-12-31;
2085-12-31;
2086-12-31;
2087-12-31;
2088-12-31;
2089-12-31;
2090-12-31;
2091-12-31;
2092-12-31;
2093-12-31;
2094-12-31;
2095-12-31;
2096-12-31;
2097-12-31;
2098-12-31;
2099-12-31;
