;name;x_outlet;y_outlet;snap_dist;buff_dist;user
0;aber_drennec;157220;6851005;300;1000;R.Abherve
1;aber_ildut;132967;6844862;300;1000;R.Abherve
2;aber_loc;154672;6854120;300;1000;R.Abherve
3;aber_plabennec;153861;6850521;300;1000;R.Abherve
4;aff_paimpont;316560;6777182;300;1000;R.Abherve
5;aff_quelneuc;320637;6759826;300;1000;R.Abherve
6;arguenon;305570;6824711;300;1000;R.Abherve
7;aron;348507;6745196;500;1000;R.Abherve
8;arz;293032;6749179;300;1000;R.Abherve
9;aulne_chateaulin;173672;6812125;300;1000;R.Abherve
10;aulne_cleden;201636;6812777;300;1000;R.Abherve
11;aulne_gouezec;181526;6810733;300;1000;R.Abherve
12;aulne_scrignac;206949;6830719;300;1000;R.Abherve
13;aven;197234;6775320;300;1000;R.Abherve
14;blavet_kerien;237725;6828461;300;1000;R.Abherve
15;blavet_murdebretagne;253149;6804825;300;1000;R.Abherve
16;blavet_plelauff;245080;6807883;300;1000;R.Abherve
17;canut_nord;327811;6777901;300;1000;R.Abherve
18;canut_sud;327336;6753517;300;1000;R.Abherve
19;careil_ronan;328853;6784875;300;1000;R.Abherve
20;chateaubriant;371179;6744540;300;1000;R.Abherve
21;chevre;365833;6796501;300;1000;R.Abherve
22;cheze_plelan;324472;6779605;300;1000;R.Abherve
23;cheze_stthurial;331206;6781056;300;1000;R.Abherve
24;claie_bohal;294191;6756892;300;1000;R.Abherve
25;claie_stjean;273656;6762669;300;1000;R.Abherve
26;coet_organ;237193;6774264;300;1000;R.Abherve
27;couesnon;366609;6816734;300;1000;R.Abherve
28;derval;347387;6743574;1000;1000;R.Abherve
29;douffine;176707;6818946;300;1000;R.Abherve
30;dourduff;201590;6855584;300;1000;R.Abherve
31;douron;210153;6849065;300;1000;R.Abherve
32;elle_arzano;217210;6775766;300;1000;R.Abherve
33;elle_au_faouet;217917;6790732;300;1000;R.Abherve
34;elorn_commana;182402;6832320;300;1000;R.Abherve
35;elorn_plouedern;167042;6843154;300;1000;R.Abherve
36;elorn_sizun;180695;6833078;300;1000;R.Abherve
37;evel;254000;6772493;300;1000;R.Abherve
38;evron;286124;6835808;300;1000;R.Abherve
