cell_id,geom_type,n0,n1,n2,n3,centroid_x,centroid_y,area_m2,z_top_centroid,z_top_mean,z_bottom_centroid,z_bottom_mean,geology_code,geology_key,hydraulic_conductivity_m_s,storage_coefficient
0,triangle,5,1193,4,,389151.03157710173,6816427.949227113,3700.34619140625,106.25889762978724,111.35911352820433,76.25889762978724,81.35911352820432,0,,,
1,triangle,1299,1300,1146,,386174.4691537128,6817174.868051518,22329.5712890625,155.88783652366422,155.89948976175356,125.88783652366422,125.89948976175356,0,,,
2,triangle,1184,1203,1085,,389311.8083573631,6815236.971920376,189582.80517578125,122.24525071224923,119.33788702599952,92.24525071224924,89.33788702599952,0,,,
3,triangle,831,1150,830,,389679.6333793654,6816308.413458257,25227.71826171875,138.81784590344728,136.85909264149132,108.81784590344728,106.85909264149132,0,,,
4,triangle,1063,1103,1034,,388390.87106899545,6815609.659198128,183145.4638671875,133.51009520863718,135.01786647534854,103.51009520863718,105.01786647534853,0,,,
5,triangle,1133,1231,783,,388320.2848664762,6826783.365004726,268264.1083984375,143.43956740323551,143.89590723394352,113.43956740323553,113.89590723394353,0,,,
6,triangle,774,1268,1139,,385573.3245920525,6824190.597499602,261340.9423828125,155.3436522079426,157.80639750516323,125.3436522079426,127.80639750516322,0,,,
7,triangle,923,1286,922,,392306.6414211423,6825706.787881304,12349.61572265625,171.98673574429648,171.92972744728308,141.98673574429648,141.92972744728308,0,,,
8,triangle,1019,1083,75,,388404.9523048319,6816334.268802012,21848.9501953125,152.165254496594,150.57426169556848,122.16525449659399,120.57426169556847,0,,,
9,triangle,776,1206,1134,,385623.0848213501,6825383.23059729,275436.43798828125,160.23846606542668,153.24090936728683,130.23846606542668,123.24090936728685,0,,,
10,triangle,56,1244,948,,388920.6950747757,6824257.077669126,20412.40234375,151.4408447047802,150.22502034205803,121.4408447047802,120.22502034205803,0,,,
11,triangle,1156,1169,1046,,394624.55666722084,6826012.732854772,254026.95166015625,160.1589256403355,156.81883946675816,130.1589256403355,126.81883946675816,0,,,
12,triangle,1074,1169,1156,,395082.11248617264,6825965.609632134,294790.671875,157.08456367433234,146.73555098527916,127.08456367433237,116.73555098527915,0,,,
13,triangle,1085,1203,1034,,389028.2549135901,6815500.23266873,214301.17041015625,117.36814722788439,116.56736312020426,87.36814722788439,86.56736312020426,0,,,
14,triangle,1197,1329,1292,,391193.9618334894,6816805.326972383,16096.7001953125,184.08429999023056,182.1174491936716,154.08429999023053,152.1174491936716,0,,,
15,triangle,75,1083,1018,,388307.7676202459,6816284.248861783,22002.296875,151.94382507820802,153.87289070883534,121.94382507820802,123.87289070883533,0,,,
16,triangle,896,1126,895,,394870.10306282033,6821479.144293867,11397.591796875,191.70608839373017,190.46233606622658,161.70608839373017,160.46233606622658,0,,,
17,triangle,830,1194,829,,389404.325259832,6816317.035402746,23024.07861328125,124.41573712631488,121.79758021426001,94.41573712631488,91.79758021426001,0,,,
18,triangle,1120,1207,1078,,386017.8549241866,6822874.693174638,253164.6923828125,151.95469834316532,147.7486415515484,121.95469834316532,117.7486415515484,0,,,
19,triangle,1078,1273,1120,,386342.912201235,6822764.571214165,233281.72119140625,155.10751424039495,153.33862867275639,125.10751424039493,123.3386286727564,0,,,
20,triangle,857,1235,16,,393950.649622879,6815792.281132822,16158.35400390625,180.31628188098915,177.75991582322925,150.31628188098915,147.75991582322925,0,,,
21,triangle,1225,1281,804,,396442.0480980762,6820502.656613753,275934.23681640625,178.32788916602811,175.57459630048655,148.32788916602811,145.57459630048655,0,,,
22,triangle,761,1213,0,,385310.31310640316,6814836.512147613,226917.55859375,150.42071432818258,151.8342934871229,120.42071432818257,121.83429348712292,0,,,
23,triangle,1224,1257,784,,389358.80638008675,6826884.828399002,217466.24072265625,141.83271182548177,148.59909337500588,111.83271182548177,118.59909337500589,0,,,
24,triangle,1029,1201,1070,,393332.2677314772,6826307.274525162,247527.76806640625,178.7599524616436,169.76194506197817,148.7599524616436,139.76194506197817,0,,,
25,triangle,1148,1271,1149,,387976.89742280013,6822226.572246086,41945.0166015625,151.43275227766154,158.0317156717614,121.43275227766154,128.0317156717614,0,,,
26,triangle,70,1255,987,,385858.9752174953,6819057.93976999,21704.447265625,176.51605305589436,178.35554598836288,146.51605305589433,148.35554598836288,0,,,
27,triangle,847,1365,12,,392196.8004541853,6816223.049518014,14797.6689453125,164.61452702603282,164.76872385705587,134.61452702603282,134.76872385705587,0,,,
28,triangle,775,1268,774,,385286.6667657972,6824360.71856268,202835.6279296875,158.36321732188628,155.52075833374502,128.36321732188628,125.52075833374504,0,,,
29,triangle,1029,1363,1201,,393159.4521570021,6826602.320155474,193376.18896484375,177.30361623867083,172.0275941695157,147.30361623867083,142.0275941695157,0,,,
30,triangle,961,1087,960,,389312.95510373753,6822313.278962738,23747.3896484375,160.3957684720603,159.52380005242287,130.3957684720603,129.52380005242287,0,,,
31,triangle,0,1213,828,,385541.19545934437,6814610.19635814,231374.9658203125,156.9898439498251,157.46004352982862,126.9898439498251,127.46004352982862,0,,,
32,triangle,1188,1397,1242,,389042.87813678134,6822866.290828726,15786.37646484375,157.33235131680402,157.42504271896564,127.33235131680404,127.42504271896564,0,,,
33,triangle,945,1243,944,,389422.8381635225,6824603.036641833,19311.42578125,153.0309222189007,153.17536260012147,123.03092221890073,123.17536260012146,0,,,
34,triangle,1134,1268,776,,385588.4187491821,6825000.075523377,251019.6748046875,160.95904538056158,158.27828575237183,130.95904538056155,128.27828575237183,0,,,
35,triangle,927,1442,46,,392037.6613523378,6826320.164403166,21678.46875,169.15769836713972,170.12258439631486,139.15769836713972,140.12258439631486,0,,,
36,triangle,1154,1178,1078,,386843.48000955157,6823347.866649478,272905.2236328125,162.47084968087844,160.97484206602195,132.47084968087844,130.97484206602195,0,,,
37,triangle,1023,1178,1154,,387346.32649267465,6823356.07308351,280689.54736328125,157.06622894522073,157.67924082449494,127.06622894522073,127.67924082449493,0,,,
38,triangle,853,1089,14,,393126.61201301013,6815845.96489247,18963.67041015625,173.91183451365907,171.6423647643641,143.91183451365907,141.64236476436406,0,,,
39,triangle,1212,1225,805,,396420.4643132126,6819695.86072421,289698.328125,163.90304820812844,168.06464841698278,133.90304820812844,138.06464841698278,0,,,
40,triangle,32,1265,892,,395069.635534828,6821005.593615566,17384.5166015625,191.65620431823305,190.1299081205647,161.65620431823305,160.1299081205647,0,,,
41,triangle,924,1286,923,,392236.6515909691,6825776.777711476,12352.025390625,169.8405573383049,169.47065990343103,139.8405573383049,139.470659903431,0,,,
42,triangle,792,1275,1156,,395051.3415176468,6826797.439831109,286607.865234375,147.60369589133668,149.4797245966581,117.60369589133668,119.47972459665806,0,,,
43,triangle,983,1084,982,,386816.6028770001,6819751.529524322,15804.26025390625,169.45404369530502,171.56772661528467,139.45404369530502,141.56772661528467,0,,,
44,triangle,936,1161,52,,390344.8096951293,6825608.210930164,17515.87939453125,157.16268761148774,157.1969070979603,127.16268761148774,127.19690709796028,0,,,
45,triangle,1171,1217,1096,,395702.0391245066,6824415.8239096105,259904.263671875,141.25789288303287,146.06468921492333,111.25789288303287,116.06468921492332,0,,,
46,triangle,1024,1217,1171,,395588.24801352667,6824080.018010571,231132.27001953125,150.08855794844894,150.32714403351164,120.08855794844894,120.32714403351163,0,,,
47,triangle,1171,1267,798,,396437.4138638613,6824525.113819469,257050.21484375,135.64352008878524,142.8926188517519,105.64352008878522,112.89261885175188,0,,,
48,triangle,1228,1426,29,,395037.5539687182,6819161.022829593,9962.72607421875,198.36678349129951,197.96379455210527,168.36678349129954,167.96379455210527,0,,,
49,triangle,799,1171,798,,396610.8152441962,6824183.427678999,256321.05419921875,151.1629706623797,152.14620076550963,121.16297066237972,122.14620076550966,0,,,
50,triangle,1160,1475,1051,,395768.0708838156,6816625.540711853,34646.43896484375,206.39971078056493,201.66437929905814,176.3997107805649,171.66437929905808,0,,,
51,triangle,1242,1397,58,,389138.20328640635,6822847.514750476,8946.59619140625,157.7406196171429,157.45927614035438,127.74061961714287,127.45927614035439,0,,,
52,triangle,957,1087,956,,389344.4614847594,6822622.706855628,24051.41552734375,159.70169079567412,158.9400561862274,129.70169079567412,128.9400561862274,0,,,
53,triangle,981,1084,980,,386965.9257617193,6819938.829072315,16193.529296875,173.30188924258738,172.13579038353774,143.30188924258738,142.13579038353774,0,,,
54,triangle,1034,1203,1063,,388631.3141878017,6815346.16186606,277583.8671875,138.76025001849675,127.74260038228948,108.76025001849675,97.74260038228948,0,,,
55,triangle,67,1449,1238,,386536.7363241277,6819700.426061378,9494.3984375,174.7996074738547,173.2839226660133,144.7996074738547,143.28392266601332,0,,,
56,triangle,1057,1281,1225,,396097.4726848337,6820524.507326541,178723.39501953125,176.4297098432336,181.6265320888413,146.4297098432336,151.6265320888413,0,,,
57,triangle,1144,1399,1073,,395938.57885341626,6822789.356385827,214637.10302734375,175.9178224634429,175.50446725565283,145.91782246344292,145.50446725565283,0,,,
58,triangle,1238,1449,1048,,386414.8096921702,6819759.090902892,24615.43017578125,174.25971905810624,167.9177758941573,144.25971905810624,137.9177758941573,0,,,
59,triangle,1145,1190,1025,,395580.0173860598,6815452.252717174,226836.728515625,146.49493491822696,157.7534513942031,116.49493491822696,127.75345139420308,0,,,
60,triangle,770,1216,1205,,385560.4411067648,6821334.017275325,243573.5419921875,163.21191069991522,151.8800914528142,133.21191069991522,121.88009145281421,0,,,
61,triangle,1023,1140,1040,,388227.03473361774,6823572.562293582,174155.01611328125,146.15449265088617,150.79998438274575,116.1544926508862,120.79998438274576,0,,,
62,triangle,793,1275,792,,395250.1021931454,6827095.181000643,199813.78369140625,158.75913340412538,147.18017355378743,128.75913340412538,117.18017355378743,0,,,
63,triangle,771,1216,770,,385318.2113693599,6821594.347502944,234961.3154296875,145.1803328301617,142.4893375406631,115.1803328301617,112.48933754066309,0,,,
64,triangle,1159,1275,794,,395895.03066671593,6826838.2432108745,221284.48193359375,163.82524131316544,157.39594123487248,133.8252413131654,127.39594123487247,0,,,
65,triangle,882,1228,29,,394964.55239179125,6819194.053518519,8837.99609375,199.2028655433734,198.6891162936635,169.2028655433734,168.6891162936635,0,,,
66,triangle,806,1212,805,,396645.34604404564,6819386.592629933,221154.16064453125,177.33067378867065,171.1020229375625,147.33067378867065,141.1020229375625,0,,,
67,triangle,1087,1335,1093,,389111.5736710942,6822340.0448969705,18781.59326171875,158.9797930396385,159.43243961809344,128.9797930396385,129.43243961809344,0,,,
68,triangle,894,1126,33,,394745.59139997273,6821296.156248716,8560.98828125,190.98310258155223,190.57366994359532,160.98310258155223,160.57366994359535,0,,,
69,triangle,1209,1488,1128,,390551.72467987053,6815530.49447625,175582.30712890625,148.29905202828687,149.88352466796462,118.29905202828687,119.88352466796464,0,,,
70,triangle,1078,1280,1139,,385972.82841991953,6823623.869386648,234731.69580078125,153.91230451788084,157.82019489026388,123.91230451788087,127.82019489026386,0,,,
71,triangle,783,1257,1133,,388698.2888120385,6826774.346691077,255592.15673828125,152.00003709858095,147.4865127973579,122.00003709858093,117.48651279735789,0,,,
72,triangle,1121,1204,1128,,391184.18433767016,6815339.6434575915,223646.619140625,145.86085017949767,143.1100005900857,115.86085017949767,113.11000059008569,0,,,
73,triangle,1054,1257,1224,,389404.093693343,6826542.529905175,150172.29150390625,143.80716047752756,149.1752852868674,113.80716047752753,119.17528528686739,0,,,
74,triangle,52,1161,51,,390286.50806647463,6825683.443211659,19751.310546875,158.0351987950681,157.68649111086526,128.03519879506814,127.68649111086528,0,,,
75,triangle,825,1063,824,,388198.59879671206,6814644.487093908,267002.0322265625,96.25485494590818,126.30090761806737,66.25485494590818,96.30090761806736,0,,,
76,triangle,1036,1488,1209,,390236.3914173912,6815535.738656408,153765.58837890625,148.18704351994916,153.82826608459538,118.18704351994916,123.82826608459538,0,,,
77,triangle,1115,1221,1044,,394466.66066194535,6823046.216958632,32275.0029296875,160.50499945724948,159.8165993742186,130.50499945724948,129.81659937421858,0,,,
78,triangle,1102,1199,1101,,386111.0137591609,6817831.289562594,52878.15673828125,154.90747550831196,154.85681780237587,124.90747550831196,124.85681780237583,0,,,
79,triangle,1051,1177,1160,,395895.9609135753,6816386.839676571,155576.15771484375,186.90114942470836,193.93220305495086,156.9011494247084,163.93220305495086,0,,,
80,triangle,1075,1124,1050,,394998.9530047683,6816118.827156526,86708.64794921875,164.53522621837075,172.94535994128935,134.53522621837075,142.94535994128935,0,,,
81,triangle,14,1089,852,,393024.70322695,6815865.979817371,22797.9423828125,176.48224054208723,172.70215370828487,146.48224054208723,142.70215370828484,0,,,
82,triangle,965,1147,61,,388524.7958578882,6822172.765369925,15885.41259765625,160.32620497933792,160.74198968948602,130.32620497933792,130.74198968948602,0,,,
83,triangle,1204,1209,1128,,390772.6511674894,6815239.159744517,229885.00732421875,151.7793298827026,135.97024766222768,121.77932988270258,105.97024766222768,0,,,
84,triangle,34,1126,894,,394745.59139997273,6821367.822915383,8560.98828125,190.98822023716536,190.57366994359532,160.98822023716534,160.57366994359535,0,,,
85,triangle,783,1231,782,,388111.68665750674,6827090.799726918,204365.798828125,143.87699783802034,139.45246392138623,113.87699783802034,109.45246392138624,0,,,
86,triangle,1025,1177,1145,,395838.9864159864,6815746.734077376,200384.484375,168.6545823992863,166.04823910769366,138.6545823992863,136.04823910769366,0,,,
87,triangle,1255,1327,1117,,385693.4559662389,6818860.84690142,43848.3740234375,182.68742890174525,174.9145454226592,152.68742890174525,144.9145454226592,0,,,
88,triangle,916,1289,42,,393602.2813300213,6825158.543869283,21359.5,162.9727807548835,159.735693324813,132.9727807548835,129.73569332481298,0,,,
89,triangle,1302,1303,1077,,385988.85483031534,6816715.402064732,43632.35400390625,155.73383351573904,159.1592915119589,125.73383351573902,129.1592915119589,0,,,
