edge_id,node_a,node_b,cell_a,cell_b,length_m,edge_kind,is_river,geology_a_key,geology_b_key
0,0,762,23,,678.9473684206605,boundary,False,,
1,0,829,32,,692.6470588236116,boundary,False,,
2,0,1213,23,32,945.0683228327323,internal,False,,
3,1,779,505,,678.9473684206605,boundary,False,,
4,1,780,495,,692.6470588236116,boundary,False,,
5,1,1475,495,505,651.6812746823474,internal,False,,
6,2,795,469,,692.6470588236116,boundary,False,,
7,2,796,480,,678.9473684206605,boundary,False,,
8,2,1464,469,480,645.3271928698531,internal,False,,
9,3,813,428,,678.9473684206605,boundary,False,,
10,3,814,420,,692.6470588236116,boundary,False,,
11,3,1446,420,428,712.9526369227927,internal,False,,
12,4,5,0,5709,57.45237151809209,internal,False,,
13,4,77,562,4367,111.34020122926283,internal,False,,
14,4,1192,0,562,130.45085582630892,internal,False,,
15,4,2191,4367,6047,128.97760472819402,internal,False,,
16,4,3084,5709,6047,87.88049308474561,internal,False,,
17,5,830,169,2464,169.64909138719972,internal,False,,
18,5,1060,212,624,343.74626986127384,internal,False,,
19,5,1192,0,212,150.61543133922598,internal,False,,
20,5,1193,169,624,281.46416710013904,internal,False,,
21,5,3084,2464,5709,99.90233076801684,internal,False,,
22,6,832,218,2810,169.68261608046734,internal,False,,
23,6,833,879,2055,132.70544445142912,internal,False,,
24,6,1151,218,397,319.85527322587285,internal,False,,
25,6,1427,397,879,131.1434390430736,internal,False,,
26,6,2516,2055,2810,160.55517925180612,internal,False,,
27,7,833,693,1572,132.70544445147715,internal,False,,
28,7,834,632,4004,169.48455029421754,internal,False,,
29,7,1194,632,693,150.02254888635,internal,False,,
30,7,2173,1572,3551,226.31669943137598,internal,False,,
31,7,2814,4004,5086,164.8437010992695,internal,False,,
32,7,2815,3551,5086,199.21480448496433,internal,False,,
33,8,835,170,4919,169.48513149218434,internal,False,,
34,8,836,658,4871,171.56536358870054,internal,False,,
35,8,1244,170,455,212.27011633007876,internal,False,,
36,8,1294,517,658,168.5640304647154,internal,False,,
37,8,1295,455,517,242.21948526958164,internal,False,,
38,8,2798,4871,4919,135.2478255159188,internal,False,,
39,9,839,612,2358,171.56539917659512,internal,False,,
40,9,840,617,3548,167.33708932432353,internal,False,,
41,9,1196,612,617,133.87667961607045,internal,False,,
42,9,2378,1291,2358,169.3551264887538,internal,False,,
43,9,2631,1291,3548,200.52958732069303,internal,False,,
44,10,842,491,1642,167.3369374437308,internal,False,,
45,10,843,827,5023,127.48126467251016,internal,False,,
46,10,1329,491,1084,186.47005576218055,internal,False,,
47,10,1404,827,1084,137.91319088360763,internal,False,,
48,10,2548,1642,2159,207.151119621067,internal,False,,
49,10,3020,2159,5023,126.56859677641262,internal,False,,
50,11,844,850,1587,127.48126467251016,internal,False,,
51,11,845,801,1544,154.64466146396433,internal,False,,
52,11,1215,801,850,117.61903911337514,internal,False,,
53,11,1709,1587,1986,182.28032988773788,internal,False,,
54,11,1814,1544,2041,183.43792317662792,internal,False,,
55,11,2639,1605,1986,241.40792150783685,internal,False,,
