zone_key,K_value,geology_name,dataset_note,source_doc
1,7.205e-05,"sables, argiles, graviers, galets",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
11,4.932e-05,"sables, argiles, graviers",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
21,7.205e-05,"argiles, sables, graviers, galets",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
41,4.932e-05,"sables, argiles, graviers",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
51,2.885e-05,"sables, cailloutis, vases",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
61,2.621e-05,"basanites, hawaïtes, benmoréites, téphrites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
81,1.682e-05,"trachytes, mugéarites, phonolites, pyroclastites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
101,4.909e-05,"sables, cailloutis, galets,argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
121,1.682e-05,"sables, argiles, vases, conglomérats",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
131,1.682e-05,"sables, argiles, vases, conglomérats",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
141,2.885e-05,"sables, cailloutis, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
151,4.932e-06,"calcaires, marnes, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
161,2.885e-05,"argiles, cailloutis, sables",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
181,2.621e-05,"basanites, hawaïtes, benmoréites, téphrites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
201,1.682e-05,"trachytes, mugéarites, phonolites, pyroclastites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
221,2.885e-05,"argiles, cailloutis, sables",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
231,1.876e-05,"sables, argiles, marnes, grès, conglomérats",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
