cell_id,geom_type,n0,n1,n2,n3,centroid_x,centroid_y,area_m2,z_top_centroid,z_top_mean,z_bottom_centroid,z_bottom_mean,geology_code,geology_key,hydraulic_conductivity_m_s,storage_coefficient
0,triangle,186,1149,759,,298800.5965658335,6812355.657060064,68271.11865234375,185.71826422524748,184.4705134407471,135.71826422524748,134.4705134407471,18,2041,4.715378710055714e-06,
1,triangle,925,1167,1079,,296966.0812328168,6807308.058648314,158883.15869140625,196.05095639351538,192.40377720385027,146.05095639351538,142.40377720385027,18,2041,4.30886938006e-06,
2,triangle,771,1129,202,,293038.6891144141,6811090.803843136,27001.27490234375,210.9297157651238,208.53401752860069,160.92971576512377,158.53401752860069,18,2041,5.807602325765714e-06,
3,triangle,586,1249,587,,292750.3478970637,6810317.615329869,7567.5859375,212.45642611274005,214.84471777726284,162.45642611274002,164.84471777726282,18,2041,4.30886938006e-06,
4,triangle,120,1232,119,,304047.04099800735,6809116.226000014,9930.03759765625,108.96975934863173,110.87551427218243,58.96975934863171,60.875514272182436,18,2041,4.30886938006e-06,
5,triangle,940,1221,1199,,305511.8493612644,6804620.530041169,316270.2763671875,139.5798993724116,132.17508295385448,89.57989937241159,82.17508295385448,18,2041,4.30886938006e-06,
6,triangle,910,1535,1158,,291811.375829935,6808522.014341998,304899.2548828125,280.45345845694965,280.80959182699775,230.45345845694965,230.80959182699772,18,2041,4.30886938006e-06,
7,triangle,744,1161,743,,306517.6292943415,6808848.676744896,89376.5205078125,107.69884918824033,108.21806403286949,57.69884918824032,58.218064032869485,18,2041,4.512124045057858e-06,
8,triangle,871,1077,531,,294564.5452636138,6808551.202175789,93566.091796875,208.0324624402122,202.68025025518173,158.0324624402122,152.68025025518173,18,2041,4.30886938006e-06,
9,triangle,500,1117,499,,305844.73255539435,6806358.129431982,12555.3515625,107.34014998178509,107.71395953197562,57.340149981785075,57.713959531975625,18,2041,4.30886938006e-06,
10,triangle,632,1402,631,,290453.8253563407,6813468.948743199,8687.91357421875,226.28191566897124,226.88074246758654,176.28191566897124,176.88074246758654,18,2041,4.30886938006e-06,
11,triangle,755,1164,184,,301289.28694314824,6811291.512760043,114109.046875,165.8235759133202,164.23899159363893,115.82357591332024,114.23899159363894,18,2041,4.30886938006e-06,
12,triangle,832,1366,964,,293414.39910965227,6812233.909065996,99691.70751953125,185.69734655793246,188.01132184088087,135.69734655793246,138.01132184088087,18,2041,4.30886938006e-06,
13,triangle,688,1071,687,,300340.6287915344,6812693.974826629,123852.75,159.82980289348887,167.47669438032858,109.82980289348889,117.47669438032862,18,2041,4.30886938006e-06,
14,triangle,1199,1221,976,,305866.2148443583,6804902.208789669,277702.61669921875,132.7617495270854,131.09095233121255,82.76174952708541,81.09095233121255,18,2041,4.30886938006e-06,
