cell_id,geom_type,n0,n1,n2,n3,centroid_x,centroid_y,area_m2,z_top_centroid,z_top_mean,z_bottom_centroid,z_bottom_mean,geology_code,geology_key,hydraulic_conductivity_m_s,storage_coefficient
0,triangle,103,148,117,,153036.16866401728,6772043.44593345,166640.44580078125,13.011866679373092,18.27419308298569,-36.98813332062691,-31.725806917014314,32,1341,1e-05,
1,triangle,67,138,94,,150952.97769462728,6771442.705060859,197784.5400390625,6.834787988766917,6.2195643447920865,-43.16521201123307,-43.78043565520792,32,1341,1e-05,
2,triangle,93,109,65,,153604.12896537408,6774458.414067134,70526.11254882812,26.596334105140585,26.223523568542024,-23.40366589485941,-23.77647643145797,1,1,7.205e-05,
3,triangle,97,178,95,,152534.53332417246,6773704.195334173,159997.94409179688,20.4001894982036,19.21101533148202,-29.5998105017964,-30.788984668517983,1,1,7.205e-05,
4,triangle,2,209,75,,155772.1508678191,6776217.436605885,643685.427734375,23.640936566997077,27.28978851972362,-26.359063433002923,-22.71021148027638,32,1341,1e-05,
5,triangle,18,131,116,,152695.19311845783,6772998.622534166,9223.71142578125,15.424779435116772,15.789509078839934,-34.575220564883224,-34.210490921160066,1,1,7.205e-05,
6,triangle,115,148,103,,152798.4667735649,6771806.128414267,186523.11279296875,15.70714038915412,16.866464236210813,-34.29285961084588,-33.13353576378919,32,1341,1e-05,
7,triangle,75,125,74,,153767.58553888116,6776145.351007245,854535.8039550781,27.663205874595356,26.948697476545828,-22.336794125404644,-23.051302523454172,32,1341,1.0202721908928573e-05,
8,triangle,47,150,46,,153688.05945120528,6773769.975140776,6968.3115234375,22.794816821218692,22.52885166243041,-27.205183178781315,-27.47114833756959,1,1,7.205e-05,
9,triangle,64,177,137,,153032.80455238812,6774584.859116043,129551.02099609375,24.472962603006422,23.709574791515408,-25.527037396993574,-26.29042520848459,1,1,7.205e-05,
10,triangle,64,137,111,,152665.74965730336,6774806.185398069,350212.9104003906,23.578094203627483,20.882574888043674,-26.42190579637252,-29.117425111956322,1,1,7.205e-05,
11,triangle,60,143,61,,150177.3130734251,6773143.929063626,212404.39477539062,,6.006423097002857,-10049.0,-5110.191186334131,58,11,3.91486764117e-05,
12,triangle,34,182,33,,151590.77340799608,6772609.226592004,10513.4833984375,5.568494036039482,6.009028358213288,-44.43150596396052,-43.99097164178671,1,1,7.205e-05,
13,triangle,107,140,115,,152140.1704624685,6771605.905714692,113747.53662109375,9.481667820713069,9.789796657222936,-40.51833217928693,-40.21020334277707,32,1341,1e-05,
14,triangle,151,204,135,,154725.18489017177,6771476.700966212,303144.59130859375,22.243531923473483,21.088555779449752,-27.756468076526517,-28.911444220550248,32,1341,1e-05,
15,triangle,107,138,67,,151330.58270606762,6771377.805321723,284702.62939453125,6.5956589919519,7.263476349951766,-43.40434100804811,-42.73652365004824,32,1341,1e-05,
16,triangle,5,141,4,,151551.6828436894,6772190.8582212,12089.130126953125,4.2637710547502135,4.08030182180302,-45.73622894524978,-45.919698178196974,1,1,7.205e-05,
17,triangle,66,147,41,,154129.3537976027,6774119.313067106,36445.03369140625,22.22740285184779,24.033764195663462,-27.772597148152215,-25.966235804336538,32,1341,1e-05,
18,triangle,103,205,200,,153624.96814175084,6771894.800240894,242229.59497070312,19.020640385609724,22.02667450960062,-30.97935961439028,-27.97332549039938,32,1341,1e-05,
19,triangle,57,153,56,,150814.6415340771,6772230.892674583,5373.799072265625,4.102856312763802,3.8198262536514282,-45.897143687236195,-46.18017374634857,1,1,7.205e-05,
20,triangle,60,108,91,,150011.2906450601,6772527.709631027,165074.86083984375,6.857354029082342,6.822689722853286,-43.14264597091766,-43.17731027714672,1,1,7.205e-05,
21,triangle,122,182,123,,151734.20812297464,6772850.454194541,28941.014892578125,9.030716476844562,9.20432425584459,-40.96928352315544,-40.79567574415541,1,1,7.205e-05,
22,triangle,1,158,72,,149397.52285799943,6775216.050157744,1573136.3078613281,,,-10049.0,-10049.0,93,1731,8.284440647815715e-06,
23,triangle,63,158,146,,150901.9155030618,6774130.282955394,72694.87866210938,7.550000190734863,8.567318709449266,-9860.61949984958,-6713.14422709685,58,11,4.7374007308775e-05,
24,triangle,115,166,107,,152254.69467201305,6771259.14159505,282299.60888671875,6.162755634212245,9.311513914037063,-43.837244365787754,-40.68848608596294,32,1341,1e-05,
25,triangle,126,154,147,,154533.4703574763,6774493.269669674,173615.49438476562,26.31714764935328,28.709662823348168,-23.68285235064672,-21.290337176651835,32,1341,1e-05,
26,triangle,104,130,129,,154353.88705494895,6772642.910406879,190763.6337890625,25.651401168245513,22.824570409635736,-24.348598831754483,-27.175429590364264,32,1341,1e-05,
27,triangle,200,205,130,,153977.87016886575,6772070.1623787405,187570.97802734375,22.00428475907124,22.175925819587594,-27.995715240928764,-27.8240741804124,32,1341,1e-05,
28,triangle,95,137,97,,152584.03402061085,6774038.523615823,174484.00317382812,19.9770685481258,19.84145367439605,-30.022931451874204,-30.15854632560395,1,1,7.205e-05,
29,triangle,60,113,108,,150253.25061704774,6772437.8171228655,91922.06494140625,7.058618480682936,5.937453679289146,-42.94138151931706,-44.06254632071085,1,1,7.205e-05,
30,triangle,67,118,107,,151514.5645958915,6771671.535958816,85804.9248046875,6.847979739061874,6.954308286968555,-43.15202026093813,-43.04569171303144,32,1341,1e-05,
31,triangle,82,138,81,,150936.8388615409,6770358.332093039,531650.1159667969,4.327264770741603,4.803158664222884,-45.67273522925839,-45.196841335777115,32,1341,1e-05,
32,triangle,110,111,95,,151968.18621367528,6774404.192271151,355023.4519042969,13.105353513789103,13.881567053670688,-36.894646486210895,-36.11843294632931,1,1,7.205e-05,
33,triangle,79,151,135,,154824.30954092217,6770914.08659841,671562.7922363281,15.977754097396604,16.66658663110589,-34.022245902603395,-33.33341336889411,32,1341,1e-05,
34,triangle,117,205,103,,153390.5651339028,6772117.374743655,154906.89282226562,18.486536498452345,20.459990909113916,-31.513463501547655,-29.540009090886084,32,1341,1e-05,
35,triangle,146,158,110,,151085.7623071746,6774226.271017595,224309.62573242188,,9.349436275584921,-10049.0,-3376.7670424829435,1,1,6.029952728989286e-05,
36,triangle,37,145,9,,153371.37772424548,6772944.428216506,875.5595703125,19.355688502076376,19.987886859639705,-30.64431149792362,-30.012113140360295,32,1341,1e-05,
37,triangle,152,191,104,,155071.94911568772,6772646.384688492,302059.5295410156,23.518896556002034,23.345740066409718,-26.481103443997963,-26.654259933590282,32,1341,1e-05,
38,triangle,59,176,70,,149160.81092650452,6772137.977806318,236808.63940429688,4.957880656331943,7.0031949396505615,-45.04211934366806,-42.99680506034944,1,1,7.205e-05,
39,triangle,116,178,102,,152817.58468481438,6773212.586011339,76679.35888671875,18.66145345000134,18.663544572903678,-31.338546549998657,-31.336455427096325,1,1,7.205e-05,
40,triangle,61,106,92,,150657.12373413867,6773420.217286141,67472.6328125,,5.8836879011437935,-10049.0,-8445.23423909842,58,11,4.149877095372143e-05,
41,triangle,102,133,119,,153302.8306903002,6773221.397299074,30536.15283203125,21.033275034628762,20.533712940299978,-28.96672496537124,-29.466287059700022,1,1,7.205e-05,
42,triangle,130,205,129,,154035.15649957242,6772490.81325867,174284.39697265625,24.364707924471933,22.39473718485451,-25.635292075528064,-27.605262815145494,32,1341,1e-05,
