datetime,value
1990-01-01,4450
1990-01-02,4456
1990-01-03,4484
1990-01-04,4427
1990-01-05,4485
1990-01-06,4473
1990-01-07,4451
1990-01-08,4454
1990-01-09,4497
1990-01-10,4459
1990-01-11,4458
1990-01-12,4494
1990-01-13,4483
1990-01-14,4465
1990-01-15,4484
1990-01-16,4466
1990-01-17,4499
1990-01-18,4500
1990-01-19,4493
1990-01-20,4492
1990-01-21,4514
1990-01-22,4488
1990-01-23,4472
1990-01-24,4497
1990-01-25,4522
1990-01-26,4477
1990-01-27,4487
1990-01-28,4500
1990-01-29,4494
1990-01-30,4480
1990-01-31,4512
1990-02-01,4531
1990-02-02,4500
1990-02-03,4484
1990-02-04,4475
1990-02-05,4502
1990-02-06,4515
1990-02-07,4506
1990-02-08,4499
1990-02-09,4491
1990-02-10,4483
1990-02-11,4512
1990-02-12,4514
1990-02-13,4477
1990-02-14,4524
1990-02-15,4509
1990-02-16,4521
1990-02-17,4480
1990-02-18,4479
1990-02-19,4497
1990-02-20,4507
1990-02-21,4526
1990-02-22,4509
1990-02-23,4495
1990-02-24,4482
1990-02-25,4516
1990-02-26,4482
1990-02-27,4521
1990-02-28,4491
1990-03-01,4519
1990-03-02,4505
1990-03-03,4492
1990-03-04,4485
1990-03-05,4487
1990-03-06,4498
1990-03-07,4491
1990-03-08,4480
1990-03-09,4486
1990-03-10,4489
1990-03-11,4454
1990-03-12,4492
1990-03-13,4469
1990-03-14,4466
1990-03-15,4456
1990-03-16,4454
1990-03-17,4459
1990-03-18,4467
1990-03-19,4506
1990-03-20,4467
1990-03-21,4476
1990-03-22,4478
1990-03-23,4473
1990-03-24,4468
1990-03-25,4450
1990-03-26,4488
1990-03-27,4491
1990-03-28,4437
1990-03-29,4445
1990-03-30,4455
1990-03-31,4443
1990-04-01,4463
1990-04-02,4443
1990-04-03,4484
1990-04-04,4468
1990-04-05,4451
1990-04-06,4461
1990-04-07,4460
1990-04-08,4433
1990-04-09,4427
1990-04-10,4439
1990-04-11,4448
1990-04-12,4435
1990-04-13,4408
1990-04-14,4417
1990-04-15,4426
1990-04-16,4423
1990-04-17,4452
1990-04-18,4399
1990-04-19,4425
1990-04-20,4438
1990-04-21,4447
1990-04-22,4405
1990-04-23,4416
1990-04-24,4415
1990-04-25,4407
1990-04-26,4400
1990-04-27,4405
1990-04-28,4358
1990-04-29,4404
1990-04-30,4393
1990-05-01,4386
1990-05-02,4417
1990-05-03,4374
1990-05-04,4375
