datetime,value
2020-01-01,0.8213
2020-01-02,1.268
2020-01-03,1.4911
2020-01-04,1.1781
2020-01-05,1.3255
2020-01-06,0.8565
2020-01-07,1.4484
2020-01-08,0.9197
2020-01-09,1.0628
2020-01-10,0.9162
2020-01-11,1.2701
2020-01-12,1.0617
2020-01-13,1.0143
2020-01-14,1.3744
2020-01-15,0.5705
2020-01-16,1.2962
2020-01-17,1.1527
2020-01-18,1.3871
2020-01-19,0.9609
2020-01-20,1.2685
2020-01-21,1.3366
2020-01-22,1.1743
2020-01-23,0.9511
2020-01-24,2.0176
2020-01-25,1.1296
2020-01-26,1.2745
2020-01-27,0.7625
2020-01-28,1.1694
2020-01-29,1.2598
2020-01-30,1.432
2020-01-31,1.2415
2020-02-01,1.7511
2020-02-02,1.4121
2020-02-03,1.3436
2020-02-04,0.7512
2020-02-05,1.5024
2020-02-06,1.3347
2020-02-07,1.0728
2020-02-08,0.9457
2020-02-09,1.3071
2020-02-10,1.1575
2020-02-11,1.2394
2020-02-12,0.6954
2020-02-13,0.6269
2020-02-14,1.8412
2020-02-15,0.9963
2020-02-16,1.8303
2020-02-17,1.2289
2020-02-18,1.7278
2020-02-19,0.4743
2020-02-20,1.3016
2020-02-21,1.4037
2020-02-22,0.8807
2020-02-23,1.0508
2020-02-24,1.2247
2020-02-25,1.125
2020-02-26,1.5039
2020-02-27,1.0302
2020-02-28,1.1087
2020-02-29,1.5331
2020-03-01,0.8217
2020-03-02,1.357
2020-03-03,1.2536
2020-03-04,0.7285
2020-03-05,1.448
2020-03-06,1.9406
2020-03-07,1.4898
2020-03-08,0.7116
2020-03-09,0.7231
2020-03-10,1.4275
2020-03-11,1.2378
2020-03-12,1.8874
2020-03-13,0.8777
2020-03-14,1.2813
2020-03-15,1.7762
2020-03-16,1.1203
2020-03-17,1.2312
2020-03-18,0.6766
2020-03-19,0.8186
2020-03-20,0.5287
2020-03-21,1.3293
2020-03-22,1.0145
2020-03-23,1.687
2020-03-24,1.179
2020-03-25,2.1069
2020-03-26,0.9444
2020-03-27,1.0598
2020-03-28,1.165
2020-03-29,1.0106
2020-03-30,1.3603
2020-03-31,1.4396
2020-04-01,1.4369
2020-04-02,1.3896
2020-04-03,1.5781
2020-04-04,1.3287
2020-04-05,1.4353
2020-04-06,1.365
2020-04-07,1.1924
2020-04-08,1.7916
2020-04-09,1.2192
2020-04-10,1.1118
2020-04-11,1.0909
2020-04-12,0.6882
2020-04-13,1.2211
2020-04-14,1.2702
2020-04-15,1.3582
2020-04-16,1.3142
2020-04-17,0.8632
2020-04-18,0.9759
2020-04-19,0.9513
2020-04-20,1.3607
2020-04-21,1.1565
2020-04-22,1.084
2020-04-23,0.4881
2020-04-24,1.0917
2020-04-25,0.6894
2020-04-26,1.0298
2020-04-27,1.3233
2020-04-28,0.8544
2020-04-29,1.4881
2020-04-30,1.0043
2020-05-01,1.1236
2020-05-02,1.4092
2020-05-03,0.7273
2020-05-04,1.2351
2020-05-05,1.328
2020-05-06,1.0005
2020-05-07,1.0222
2020-05-08,1.1668
2020-05-09,2.0174
2020-05-10,1.748
2020-05-11,0.792
2020-05-12,1.1261
2020-05-13,1.2026
2020-05-14,1.2054
2020-05-15,1.4098
2020-05-16,1.0991
2020-05-17,0.8469
2020-05-18,1.3846
2020-05-19,1.0247
2020-05-20,0.7735
2020-05-21,0.9121
2020-05-22,0.851
2020-05-23,1.7719
2020-05-24,1.0043
2020-05-25,1.234
2020-05-26,1.0833
2020-05-27,1.4167
2020-05-28,1.9197
2020-05-29,1.6084
2020-05-30,1.2618
2020-05-31,0.9583
2020-06-01,0.8426
2020-06-02,1.3644
2020-06-03,1.3153
2020-06-04,1.2075
2020-06-05,1.3037
2020-06-06,1.0279
2020-06-07,1.0965
2020-06-08,0.912
2020-06-09,1.3568
2020-06-10,1.575
2020-06-11,0.954
2020-06-12,1.61
2020-06-13,1.3583
2020-06-14,1.5598
2020-06-15,1.2067
2020-06-16,1.6329
2020-06-17,0.9309
2020-06-18,1.1562
2020-06-19,1.8021
2020-06-20,1.0198
2020-06-21,1.4878
2020-06-22,1.002
2020-06-23,1.4769
2020-06-24,1.6238
2020-06-25,1.6934
2020-06-26,1.0285
2020-06-27,1.4269
2020-06-28,0.7713
2020-06-29,1.2305
2020-06-30,1.168
2020-07-01,1.3787
2020-07-02,1.0711
2020-07-03,1.3112
2020-07-04,1.429
2020-07-05,1.3545
2020-07-06,0.832
2020-07-07,1.087
2020-07-08,1.6414
2020-07-09,1.0754
2020-07-10,0.927
2020-07-11,1.5755
2020-07-12,1.4818
2020-07-13,1.2104
2020-07-14,1.6664
2020-07-15,1.4819
2020-07-16,1.2031
2020-07-17,1.2426
2020-07-18,1.3946
2020-07-19,1.2032
2020-07-20,1.2991
2020-07-21,1.2106
2020-07-22,1.5347
2020-07-23,1.2356
2020-07-24,1.3388
2020-07-25,1.1076
2020-07-26,1.1443
2020-07-27,1.518
2020-07-28,0.7554
2020-07-29,1.0833
2020-07-30,1.3986
2020-07-31,1.7595
2020-08-01,1.4845
2020-08-02,0.9746
2020-08-03,1.2224
2020-08-04,1.2645
2020-08-05,1.3796
2020-08-06,1.4557
2020-08-07,0.9483
2020-08-08,1.169
2020-08-09,1.2488
2020-08-10,1.0231
2020-08-11,1.3684
2020-08-12,0.5376
2020-08-13,1.1245
2020-08-14,1.1307
2020-08-15,1.0846
2020-08-16,1.9076
2020-08-17,1.5893
2020-08-18,1.3003
2020-08-19,1.1238
2020-08-20,1.1124
2020-08-21,1.0141
2020-08-22,1.2626
2020-08-23,1.1084
2020-08-24,1.0148
2020-08-25,1.0889
2020-08-26,1.1678
2020-08-27,1.1854
2020-08-28,0.9826
2020-08-29,1.3824
2020-08-30,1.0774
2020-08-31,1.1785
2020-09-01,1.643
2020-09-02,1.3413
2020-09-03,0.9236
2020-09-04,1.5336
2020-09-05,1.259
2020-09-06,1.3405
2020-09-07,1.4643
2020-09-08,1.4441
2020-09-09,1.0744
2020-09-10,1.2577
2020-09-11,1.4185
2020-09-12,1.6774
2020-09-13,0.6916
2020-09-14,1.6554
2020-09-15,0.7168
2020-09-16,1.1245
2020-09-17,1.2894
2020-09-18,0.6764
2020-09-19,1.4839
2020-09-20,0.952
2020-09-21,0.9499
2020-09-22,1.0455
2020-09-23,0.3056
2020-09-24,1.3318
2020-09-25,1.1296
2020-09-26,1.2301
2020-09-27,0.9277
2020-09-28,1.0743
2020-09-29,1.281
2020-09-30,1.3542
2020-10-01,1.1786
2020-10-02,1.6325
2020-10-03,0.9507
2020-10-04,1.2432
2020-10-05,1.8829
2020-10-06,0.8017
2020-10-07,0.6601
2020-10-08,1.2921
2020-10-09,1.5922
2020-10-10,1.305
2020-10-11,0.9715
2020-10-12,1.2391
2020-10-13,0.72
2020-10-14,1.025
2020-10-15,1.4117
2020-10-16,0.9384
2020-10-17,0.9483
2020-10-18,1.5401
2020-10-19,1.0686
2020-10-20,1.2923
2020-10-21,0.5618
2020-10-22,1.3748
2020-10-23,1.8135
2020-10-24,1.29
2020-10-25,1.2352
2020-10-26,1.4824
2020-10-27,1.3486
2020-10-28,1.4961
2020-10-29,0.9411
2020-10-30,1.2352
2020-10-31,1.1324
2020-11-01,1.1844
2020-11-02,1.5753
2020-11-03,1.1436
2020-11-04,1.448
2020-11-05,1.2888
2020-11-06,1.3153
2020-11-07,1.8133
2020-11-08,0.9081
2020-11-09,1.0179
2020-11-10,1.3092
2020-11-11,1.4453
2020-11-12,1.6415
2020-11-13,1.4396
2020-11-14,1.1137
2020-11-15,0.984
2020-11-16,0.7167
2020-11-17,0.9757
2020-11-18,0.977
2020-11-19,0.5941
2020-11-20,0.8021
2020-11-21,1.5737
2020-11-22,0.9202
2020-11-23,0.658
2020-11-24,1.2247
2020-11-25,1.5658
2020-11-26,1.1355
2020-11-27,0.9762
2020-11-28,1.6159
2020-11-29,1.146
2020-11-30,1.3642
2020-12-01,0.9977
2020-12-02,1.6289
2020-12-03,1.4014
2020-12-04,0.8514
2020-12-05,1.3694
2020-12-06,1.6802
2020-12-07,1.0649
2020-12-08,1.3283
2020-12-09,1.3732
2020-12-10,1.4922
2020-12-11,1.7705
2020-12-12,1.4341
2020-12-13,1.6288
2020-12-14,0.6377
2020-12-15,1.3742
2020-12-16,1.2591
2020-12-17,0.7237
2020-12-18,1.4485
2020-12-19,1.0774
2020-12-20,1.1598
2020-12-21,0.7711
2020-12-22,1.2203
2020-12-23,1.2213
2020-12-24,1.2779
2020-12-25,1.458
2020-12-26,0.9774
2020-12-27,1.0821
2020-12-28,1.1814
2020-12-29,1.082
2020-12-30,1.4383
2020-12-31,1.0095
