zone_key,K_value,geology_name,dataset_note,source_doc
1,7.205e-05,"sables, argiles, graviers, galets",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
11,3.91486764117e-05,"sables, argiles, graviers",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
21,3.91486764117e-05,"argiles, sables, graviers, galets",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
41,3.91486764117e-05,"sables, argiles, graviers",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
51,0.000158113883008,"sables, cailloutis, vases",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
61,1e-05,"basanites, hawaïtes, benmoréites, téphrites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
81,1e-05,"trachytes, mugéarites, phonolites, pyroclastites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
101,6.22332977288e-05,"sables, cailloutis, galets,argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
121,4.64158883361e-05,"sables, argiles, vases, conglomérats",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
131,4.64158883361e-05,"sables, argiles, vases, conglomérats",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
141,2.92401773821e-05,"sables, cailloutis, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
151,7.07106781187e-06,"calcaires, marnes, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
161,2.885e-05,"argiles, cailloutis, sables",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
181,1e-05,"basanites, hawaïtes, benmoréites, téphrites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
201,1e-05,"trachytes, mugéarites, phonolites, pyroclastites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
221,2.92401773821e-05,"argiles, cailloutis, sables",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
231,3.16227766017e-05,"sables, argiles, marnes, grès, conglomérats",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
241,2.65914794847e-05,"marnes, conglomérats, grès, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
251,2.65914794847e-05,"calcaires, marnes, argiles, évaporites, conglomérats",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
271,1e-05,"andésites, adakites, basaltes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
281,2.92401773821e-05,"sables, cailloutis, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
301,1.48e-05,"marnes, argiles, calcaires, conglomérats",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
311,3.68403149864e-05,"calcaires, grès, sables",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
321,1e-05,non documenté,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
341,1e-05,"basanites, hawaïtes, téphrites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
361,1e-05,"mugéarites, trachytes, phonolites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
381,1e-05,"granodiorites, quartzdiorites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
401,9.405e-06,"calcaires, sables, gypse, marnes, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
411,7.93700525984e-06,"calcaires, grès, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
421,2.71441761659e-05,"grès, conglomérats, schistes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
441,1e-05,"basanites, hawaïtes, téphrites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
461,1e-05,"mugéarites, trachytes, phonolites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
481,1e-05,"sables, argiles, marnes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
491,7.07106781187e-05,"sables, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
501,2.92401773821e-05,"sables, cailloutis, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
521,1e-05,"basanites, hawaïtes, téphrites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
541,1e-05,"mugéarites, trachytes, phonolites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
561,2.15443469003e-05,"argiles, conglomérats, grès, marnes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
571,1.70997594668e-05,"sables, marnes, argiles, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
581,1e-05,non documenté,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
591,7.93700525984e-06,"calcaires, grès, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
601,2.92401773821e-05,"sables, cailloutis, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
621,1.70997594668e-05,"craies, calcaires, marnes, tuffeaux, sables",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
631,5e-05,"craies, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
641,1e-05,"basaltes, dolérites, basanites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
661,7.07106781187e-06,"marnes, calcschistes, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
681,1e-05,"basanites, hawaïtes, téphrites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
701,5.6234132519e-06,"marnes, grès, schistes, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
711,1e-05,"sables, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
721,2.71441761659e-05,"schistes, calcschistes, conglomérats, grès",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
741,1e-05,non documenté,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
761,4.64158883361e-06,"marnes, schistes noirs, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
771,7.93700525984e-06,"calcaires, grès, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
781,1e-05,"calcschistes, calcaires, prasinites, micaschistes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
801,7.07106781187e-06,"calcaires, calcschistes, marnes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
811,7.07106781187e-06,"calcaires, marnes, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
821,7.07106781187e-06,"marnes, calcschistes, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
841,1e-05,"calcschistes éclogitiques, marbres, amphibolites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
861,2e-06,"schistes bleus, métabasaltes, métagabbros, prasinites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
881,1e-05,"métapéridotites, serpentinites, ultrabasites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
901,7.93700525984e-06,"calcaires, marnes, grès, argiles, dolomies",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
911,7.93700525984e-06,"argiles, grès, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
921,7.07106781187e-06,"calcaires, marnes, dolomies",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
931,7.93700525984e-06,"argiles, grès, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
941,4.472135955e-05,"schistes noirs, brèches, calcschistes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
961,7.93700525984e-06,"marnes, argiles, grès, dolomies",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
981,7.93700525984e-06,"marnes, dolomies, grès, argiles",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1001,1e-05,"dolomies, cargneules, évaporites, schistes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1021,1e-05,"dolérites, ophites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1041,5.84803547643e-05,"grès, conglomérats, quartzites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1061,7.93700525984e-06,"marnes, évaporites, cargneules, dolomies",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1071,2.92401773821e-05,"argiles, cailloutis, sables",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1081,2.2360679775e-05,"dolomies, évaporites, cargneules, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1101,1.68179283051e-05,"grès, conglomérats, schistes, charbons",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1121,2.71441761659e-05,"grès, conglomérats, schistes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1141,1e-05,non documenté,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1151,1.189207115e-05,"schistes, argiles, grès, conglomérats",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1161,1e-05,"granitoïdes alcalins, volcanites acides",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1181,1.68179283051e-05,"grès, conglomérats, charbons, schistes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1191,3.41995189335e-05,"grès, conglomérats, charbons",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1201,1.68179283051e-05,"grès, conglomérats, charbons, schistes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1221,1e-05,non documenté,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1231,1e-05,"monzogranites, granodiorites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1241,4.309e-06,"schistes, grès, wackes, charbons",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1261,1.68179283051e-05,"schistes, grès, charbons, conglomérats",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1281,2.71441761659e-05,"schistes, conglomérats, porphyroïdes, grès",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1301,1e-05,leucogranites peralumineux,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1321,1e-05,leucogranites peralumineux,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1331,1e-05,leucogranites peralumineux,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1341,1e-05,"monzogranites, granodiorites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1371,1e-05,leucogranites peralumineux,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1381,1e-05,"schistes, calcaires, grès, ampélites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1401,1e-05,"schistes, calcaires, lydiennes, grès",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1421,1e-05,"monzogranites, granodiorites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1441,1e-05,"monzogranites, granodiorites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1471,1e-05,"monzogranites, granodiorites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1481,1e-05,"calcaires, grès, schistes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1501,2.639e-05,"schistes, wackes, conglomérats, grès",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1511,1.68179283051e-05,"schistes, wackes, conglomérats, grès",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1521,1e-05,"monzogranites, granodiorites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1531,1e-05,"gabbros, diorites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1541,1e-05,orthogneiss granitiques,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1551,1e-05,granitoïdes indifférenciés,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1561,1.189207115e-05,"schistes, grès, quartzites, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1581,7.95270728767e-06,"schistes, grès, calcaires, wackes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1591,1e-05,"schistes, grès, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1601,1e-05,"schistes, grès, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1611,1.68179283051e-05,"schistes, wackes, conglomérats, grès",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1621,7.36806299728e-06,"schistes, ampélites, quartzites, grès",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1631,4.472135955e-06,"schistes, grès, ampélites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1641,6.32455532034e-06,"schistes, quartzites, ampélites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1651,1.25992104989e-05,"schistes, quartzites, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1661,1.189207115e-05,"grès, quartzites, schistes, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1681,6.32455532034e-06,"quartzites, grès, arkoses, schistes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1701,7.36806299728e-06,"quartzites, grès, schistes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1711,1e-05,"schistes, grès, calcaires, tuffites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1721,1.189207115e-05,"schistes, quartzites, calcaires, tuffites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1731,6.32455532034e-06,"schistes, quartzites, ampélites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1741,4.309e-06,"schistes, grès, quartzites, phtanites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1751,4.472135955e-06,"schistes, grès, quartzites, phtanites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1761,1e-05,orthogneiss granitiques,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1781,1e-05,orthogneiss granitiques,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1801,1e-05,"monzogranites, métagranites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1821,1e-05,"microgranites, granophyres",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1841,7.95270728767e-06,"schistes, grès, arkoses, calcaires",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1851,7.95270728767e-06,"schistes, grès, calcaires, arkoses",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1861,1e-05,migmatites paradérivées,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1871,3.41995189335e-05,"grès, conglomérats, arkoses",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1891,1e-05,"paragneiss, amphibolites, leptynites, orthogneiss",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1901,1e-05,"leptynites, amphibolites, éclogites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1921,1e-05,non documenté,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1941,5.84803547643e-06,"micaschistes, leptynites, amphibolites, paragneiss",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1961,1e-05,"leucogranites, granodiorites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1971,1e-05,"microgranites, apligranites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
1981,1e-05,orthogneiss granitiques,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
2011,1e-05,orthogneiss granitiques,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
2021,4.30886938006e-06,"schistes, grès, wackes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
2041,4.30886938006e-06,"wackes, grès, schistes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
2051,4.30886938006e-06,"wackes, grès, schistes",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
2061,1e-05,"monzogranites, granodiorites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
2081,1e-05,orthogneiss granitiques,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
2101,3.76060309309e-06,"schistes, grès, tuffites, phtanites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
2121,1e-05,orthogneiss indifférenciés,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
2141,2e-06,"schistes, métawackes, phtanites",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
2151,4.472135955e-06,"wackes, tuffites, phtanites, grès",dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
2161,1e-05,granitoïdes indifférenciés,dummy_demo_not_for_scientific_use,geology_K_dummy_demo_sources.md
