datetime,value
1990-01-01,0.055
1990-01-02,0.053
1990-01-03,0.05
1990-01-04,0.045
1990-01-05,0.047
1990-01-06,0.051
1990-01-07,0.089
1990-01-08,0.084
1990-01-09,0.075
1990-01-10,0.069
1990-01-11,0.059
1990-01-12,0.05
1990-01-13,0.055
1990-01-14,0.071
1990-01-15,0.077
1990-01-16,0.067
1990-01-17,0.058
1990-01-18,0.052
1990-01-19,0.05
1990-01-20,0.046
1990-01-21,0.041
1990-01-22,0.047
1990-01-23,0.29
1990-01-24,1.065
1990-01-25,0.827
1990-01-26,0.509
1990-01-27,0.381
1990-01-28,0.37
1990-01-29,0.296
1990-01-30,0.449
1990-01-31,1.891
1990-02-01,1.34
1990-02-02,2.31
1990-02-03,1.92
1990-02-04,0.917
1990-02-05,0.529
1990-02-06,0.388
1990-02-07,1.429
1990-02-08,1.104
1990-02-09,0.461
1990-02-10,1.011
1990-02-11,1.379
1990-02-12,2.613
1990-02-13,1.311
1990-02-14,1.992
1990-02-15,1.445
1990-02-16,1.281
1990-02-17,0.821
1990-02-18,0.591
1990-02-19,0.448
1990-02-20,0.354
1990-02-21,0.398
1990-02-22,0.335
1990-02-23,0.289
1990-02-24,0.262
1990-02-25,0.262
1990-02-26,0.27
1990-02-27,0.225
1990-02-28,0.191
1990-03-01,0.171
1990-03-02,0.155
1990-03-03,0.139
1990-03-04,0.119
1990-03-05,0.103
1990-03-06,0.097
1990-03-07,0.094
1990-03-08,0.092
1990-03-09,0.089
1990-03-10,0.087
1990-03-11,0.084
1990-03-12,0.082
1990-03-13,0.078
1990-03-14,0.073
1990-03-15,0.069
1990-03-16,0.064
1990-03-17,0.06
1990-03-18,0.057
1990-03-19,0.054
1990-03-20,0.051
1990-03-21,0.05
1990-03-22,0.048
1990-03-23,0.047
1990-03-24,0.046
1990-03-25,0.045
1990-03-26,0.043
1990-03-27,0.042
1990-03-28,0.041
1990-03-29,0.04
1990-03-30,0.038
1990-03-31,0.035
1990-04-01,0.032
1990-04-02,0.029
1990-04-03,0.047
1990-04-04,0.046
1990-04-05,0.042
1990-04-06,0.039
1990-04-07,0.039
1990-04-08,0.037
1990-04-09,0.033
1990-04-10,0.029
1990-04-11,0.027
1990-04-12,0.027
1990-04-13,0.035
1990-04-14,0.059
1990-04-15,0.072
1990-04-16,0.062
1990-04-17,0.047
1990-04-18,0.041
1990-04-19,0.039
1990-04-20,0.084
1990-04-21,0.084
1990-04-22,0.063
1990-04-23,0.062
1990-04-24,0.056
1990-04-25,0.047
1990-04-26,0.038
1990-04-27,0.029
1990-04-28,0.024
1990-04-29,0.02
1990-04-30,0.019
1990-05-01,0.019
1990-05-02,0.019
1990-05-03,0.018
1990-05-04,0.017
1990-05-05,0.016
1990-05-06,0.015
1990-05-07,0.014
1990-05-08,0.013
1990-05-09,0.012
1990-05-10,0.011
1990-05-11,0.01
1990-05-12,0.01
1990-05-13,0.009
1990-05-14,0.008
1990-05-15,0.008
1990-05-16,0.007
1990-05-17,0.006
1990-05-18,0.101
1990-05-19,0.079
1990-05-20,0.038
1990-05-21,0.026
1990-05-22,0.024
1990-05-23,0.022
1990-05-24,0.02
1990-05-25,0.016
1990-05-26,0.011
1990-05-27,0.008
1990-05-28,0.006
1990-05-29,0.005
1990-05-30,0.004
1990-05-31,0.004
1990-06-01,0.004
1990-06-02,0.004
1990-06-03,0.004
1990-06-04,0.004
1990-06-05,0.004
1990-06-06,0.004
1990-06-07,0.004
1990-06-08,0.004
1990-06-09,0.004
1990-06-10,0.004
1990-06-11,0.004
1990-06-12,0.004
1990-06-13,0.004
1990-06-14,0.004
1990-06-15,0.004
1990-06-16,0.004
1990-06-17,0.004
1990-06-18,0.004
1990-06-19,0.01
1990-06-20,0.015
1990-06-21,0.11
1990-06-22,0.172
1990-06-23,0.1
1990-06-24,0.058
1990-06-25,0.036
1990-06-26,0.022
1990-06-27,0.017
1990-06-28,0.014
1990-06-29,0.011
1990-06-30,0.009
1990-07-01,0.008
1990-07-02,0.017
1990-07-03,0.046
1990-07-04,0.047
1990-07-05,0.039
1990-07-06,0.023
1990-07-07,0.011
1990-07-08,0.006
1990-07-09,0.005
1990-07-10,0.005
1990-07-11,0.005
1990-07-12,0.005
1990-07-13,0.004
1990-07-14,0.003
1990-07-15,0.003
1990-07-16,0.002
1990-07-17,0.002
1990-07-18,0.002
1990-07-19,0.002
1990-07-20,0.001
1990-07-21,0.001
1990-07-22,0.001
1990-07-23,0.001
1990-07-24,0.001
1990-07-25,0.001
1990-07-26,0.001
1990-07-27,0.001
1990-07-28,0.001
1990-07-29,0.001
1990-07-30,0.001
1990-07-31,0.001
1990-08-01,0.001
1990-08-02,0.001
1990-08-03,0.001
1990-08-04,0.0
1990-08-05,0.0
1990-08-06,0.0
1990-08-07,0.0
1990-08-08,0.0
1990-08-09,0.0
1990-08-10,0.0
1990-08-11,0.0
1990-08-12,0.0
1990-08-13,0.0
1990-08-14,0.0
1990-08-15,0.001
1990-08-16,0.001
1990-08-17,0.001
1990-08-18,0.001
1990-08-19,0.001
1990-08-20,0.001
1990-08-21,0.001
1990-08-22,0.001
1990-08-23,0.001
1990-08-24,0.001
1990-08-25,0.001
1990-08-26,0.001
1990-08-27,0.001
1990-08-28,0.001
1990-08-29,0.001
1990-08-30,0.001
1990-08-31,0.001
1990-09-01,0.001
1990-09-02,0.001
1990-09-03,0.0
1990-09-04,0.0
1990-09-05,0.0
1990-09-06,0.0
1990-09-07,0.0
1990-09-08,0.0
1990-09-09,0.0
1990-09-10,0.0
1990-09-11,0.0
1990-09-12,0.0
1990-09-13,0.0
1990-09-14,0.0
1990-09-15,0.0
1990-09-16,0.0
1990-09-17,0.0
1990-09-18,0.0
1990-09-19,0.0
1990-09-20,0.0
1990-09-21,0.001
1990-09-22,0.001
1990-09-23,0.001
1990-09-24,0.001
1990-09-25,0.001
1990-09-26,0.001
1990-09-27,0.001
1990-09-28,0.001
1990-09-29,0.001
1990-09-30,0.001
1990-10-01,0.001
1990-10-02,0.001
1990-10-03,0.001
1990-10-04,0.002
1990-10-05,0.002
1990-10-06,0.002
1990-10-07,0.001
1990-10-08,0.001
1990-10-09,0.001
1990-10-10,0.001
1990-10-11,0.001
1990-10-12,0.001
1990-10-13,0.001
1990-10-14,0.001
1990-10-15,0.001
1990-10-16,0.001
1990-10-17,0.001
1990-10-18,0.002
1990-10-19,0.002
1990-10-20,0.002
1990-10-21,0.002
1990-10-22,0.002
1990-10-23,0.002
1990-10-24,0.002
1990-10-25,0.003
1990-10-26,0.067
1990-10-27,0.033
1990-10-28,0.141
1990-10-29,0.091
1990-10-30,0.078
1990-10-31,0.036
1990-11-01,0.023
1990-11-02,0.018
1990-11-03,0.013
1990-11-04,0.009
1990-11-05,0.006
1990-11-06,0.006
1990-11-07,0.005
1990-11-08,0.005
1990-11-09,0.005
1990-11-10,0.004
1990-11-11,0.004
1990-11-12,0.004
1990-11-13,0.006
1990-11-14,0.007
1990-11-15,0.01
1990-11-16,0.008
1990-11-17,0.006
1990-11-18,0.005
1990-11-19,0.004
1990-11-20,0.005
1990-11-21,0.006
1990-11-22,0.006
1990-11-23,0.006
1990-11-24,0.015
1990-11-25,0.014
1990-11-26,0.055
1990-11-27,0.042
1990-11-28,0.029
1990-11-29,0.023
1990-11-30,0.017
1990-12-01,0.015
1990-12-02,0.013
1990-12-03,0.011
1990-12-04,0.01
1990-12-05,0.009
1990-12-06,0.007
1990-12-07,0.006
1990-12-08,0.007
1990-12-09,0.008
1990-12-10,0.01
1990-12-11,0.011
1990-12-12,0.011
1990-12-13,0.01
1990-12-14,0.009
1990-12-15,0.009
1990-12-16,0.008
1990-12-17,0.007
1990-12-18,0.007
1990-12-19,0.006
1990-12-20,0.007
1990-12-21,0.008
1990-12-22,0.01
1990-12-23,0.01
1990-12-24,0.007
1990-12-25,0.018
1990-12-26,0.076
1990-12-27,0.139
1990-12-28,0.099
1990-12-29,0.316
1990-12-30,0.304
1990-12-31,0.139
1991-01-01,0.146
1991-01-02,0.263
1991-01-03,0.672
1991-01-04,0.946
1991-01-05,0.677
1991-01-06,0.469
1991-01-07,0.338
1991-01-08,0.563
1991-01-09,1.734
1991-01-10,2.884
1991-01-11,1.153
1991-01-12,0.518
1991-01-13,0.364
1991-01-14,0.281
