datetime,value
1990-01-01,55.0
1990-01-02,53.0
1990-01-03,50.0
1990-01-04,45.0
1990-01-05,47.0
1990-01-06,51.0
1990-01-07,89.0
1990-01-08,84.0
1990-01-09,75.0
1990-01-10,69.0
1990-01-11,59.0
1990-01-12,50.0
1990-01-13,55.0
1990-01-14,71.0
1990-01-15,77.0
1990-01-16,67.0
1990-01-17,58.0
1990-01-18,52.0
1990-01-19,50.0
1990-01-20,46.0
1990-01-21,41.0
1990-01-22,47.0
1990-01-23,290.0
1990-01-24,1065.0
1990-01-25,827.0
1990-01-26,509.0
1990-01-27,381.0
1990-01-28,370.0
1990-01-29,296.0
1990-01-30,449.0
1990-01-31,1891.0
1990-02-01,1340.0
1990-02-02,2310.0
1990-02-03,1920.0
1990-02-04,917.0
1990-02-05,529.0
1990-02-06,388.0
1990-02-07,1429.0
1990-02-08,1104.0
1990-02-09,461.0
1990-02-10,1011.0
1990-02-11,1379.0
1990-02-12,2613.0
1990-02-13,1311.0
1990-02-14,1992.0
1990-02-15,1445.0
1990-02-16,1281.0
1990-02-17,821.0
1990-02-18,591.0
1990-02-19,448.0
1990-02-20,354.0
1990-02-21,398.0
1990-02-22,335.0
1990-02-23,289.0
1990-02-24,262.0
1990-02-25,262.0
1990-02-26,270.0
1990-02-27,225.0
1990-02-28,191.0
1990-03-01,171.0
1990-03-02,155.0
1990-03-03,139.0
1990-03-04,119.0
1990-03-05,103.0
1990-03-06,97.0
1990-03-07,94.0
1990-03-08,92.0
1990-03-09,89.0
1990-03-10,87.0
1990-03-11,84.0
1990-03-12,82.0
1990-03-13,78.0
1990-03-14,73.0
1990-03-15,69.0
1990-03-16,64.0
1990-03-17,60.0
1990-03-18,57.0
1990-03-19,54.0
1990-03-20,51.0
1990-03-21,50.0
1990-03-22,48.0
1990-03-23,47.0
1990-03-24,46.0
1990-03-25,45.0
1990-03-26,43.0
1990-03-27,42.0
1990-03-28,41.0
1990-03-29,40.0
1990-03-30,38.0
1990-03-31,35.0
1990-04-01,32.0
1990-04-02,29.0
1990-04-03,47.0
1990-04-04,46.0
1990-04-05,42.0
1990-04-06,39.0
1990-04-07,39.0
1990-04-08,37.0
1990-04-09,33.0
1990-04-10,29.0
1990-04-11,27.0
1990-04-12,27.0
1990-04-13,35.0
1990-04-14,59.0
1990-04-15,72.0
1990-04-16,62.0
1990-04-17,47.0
1990-04-18,41.0
1990-04-19,39.0
1990-04-20,84.0
1990-04-21,84.0
1990-04-22,63.0
1990-04-23,62.0
1990-04-24,56.0
1990-04-25,47.0
1990-04-26,38.0
1990-04-27,29.0
1990-04-28,24.0
1990-04-29,20.0
1990-04-30,19.0
1990-05-01,19.0
1990-05-02,19.0
1990-05-03,18.0
1990-05-04,17.0
1990-05-05,16.0
1990-05-06,15.0
1990-05-07,14.0
1990-05-08,13.0
1990-05-09,12.0
1990-05-10,11.0
1990-05-11,10.0
1990-05-12,10.0
1990-05-13,9.0
1990-05-14,8.0
1990-05-15,8.0
1990-05-16,7.0
1990-05-17,6.0
1990-05-18,101.0
1990-05-19,79.0
1990-05-20,38.0
1990-05-21,26.0
1990-05-22,24.0
1990-05-23,22.0
1990-05-24,20.0
1990-05-25,16.0
1990-05-26,11.0
1990-05-27,8.0
1990-05-28,6.0
1990-05-29,5.0
1990-05-30,4.0
1990-05-31,4.0
1990-06-01,4.0
1990-06-02,4.0
1990-06-03,4.0
1990-06-04,4.0
1990-06-05,4.0
