datetime,value,quality
2022-01-01,0.983,Bonne
2022-01-02,0.826,Bonne
2022-01-03,0.846,Bonne
2022-01-04,5.301,Bonne
2022-01-05,4.759,Bonne
2022-01-06,1.82,Bonne
2022-01-07,1.331,Bonne
2022-01-08,2.471,Bonne
2022-01-09,6.08,Bonne
2022-01-10,5.44,Bonne
2022-01-11,3.999,Bonne
2022-01-12,2.306,Bonne
2022-01-13,1.569,Bonne
2022-01-14,1.248,Non qualifiée
2022-01-15,1.095,Non qualifiée
2022-01-16,0.966,Non qualifiée
2022-01-17,0.872,Non qualifiée
2022-01-18,0.805,Non qualifiée
2022-01-19,0.767,Non qualifiée
2022-01-20,0.805,Non qualifiée
2022-01-21,0.735,Non qualifiée
2022-01-22,0.65,Non qualifiée
2022-01-23,0.617,Non qualifiée
2022-01-24,0.59,Non qualifiée
2022-01-25,0.543,Non qualifiée
2022-01-26,0.516,Non qualifiée
2022-01-27,0.503,Non qualifiée
2022-01-28,0.49,Non qualifiée
2022-01-29,0.48,Non qualifiée
2022-01-30,0.495,Non qualifiée
2022-01-31,0.496,Non qualifiée
2022-02-01,0.503,Non qualifiée
2022-02-02,0.496,Non qualifiée
2022-02-03,0.494,Non qualifiée
2022-02-04,0.542,Non qualifiée
2022-02-05,0.513,Non qualifiée
2022-02-06,0.498,Non qualifiée
2022-02-07,0.627,Non qualifiée
2022-02-08,0.542,Non qualifiée
2022-02-09,0.496,Non qualifiée
2022-02-10,0.475,Non qualifiée
2022-02-11,0.439,Non qualifiée
2022-02-12,0.419,Non qualifiée
2022-02-13,0.483,Non qualifiée
2022-02-14,3.281,Non qualifiée
2022-02-15,2.15,Non qualifiée
2022-02-16,3.444,Non qualifiée
2022-02-17,2.249,Bonne
2022-02-18,1.412,Bonne
2022-02-19,1.063,Bonne
2022-02-20,0.876,Bonne
2022-02-21,0.92,Bonne
2022-02-22,0.877,Bonne
2022-02-23,0.748,Bonne
2022-02-24,0.703,Bonne
2022-02-25,0.632,Bonne
2022-02-26,0.55,Bonne
2022-02-27,0.524,Bonne
2022-02-28,0.47,Bonne
2022-03-01,0.472,Bonne
2022-03-02,0.467,Bonne
2022-03-03,0.533,Bonne
2022-03-04,0.8,Bonne
2022-03-05,0.59,Bonne
2022-03-06,0.507,Bonne
2022-03-07,0.447,Bonne
2022-03-08,0.422,Bonne
2022-03-09,0.395,Bonne
2022-03-10,0.352,Bonne
2022-03-11,0.558,Bonne
2022-03-12,0.823,Bonne
2022-03-13,0.676,Bonne
2022-03-14,0.765,Bonne
2022-03-15,0.625,Bonne
2022-03-16,0.607,Bonne
2022-03-17,0.636,Bonne
2022-03-18,0.512,Bonne
2022-03-19,0.442,Bonne
2022-03-20,0.411,Bonne
2022-03-21,0.354,Bonne
2022-03-22,0.304,Bonne
2022-03-23,0.263,Non qualifiée
2022-03-24,0.231,Non qualifiée
2022-03-25,0.22,Non qualifiée
2022-03-26,0.206,Non qualifiée
2022-03-27,0.195,Non qualifiée
2022-03-28,0.188,Non qualifiée
2022-03-29,0.191,Non qualifiée
2022-03-30,0.188,Non qualifiée
2022-03-31,0.183,Non qualifiée
