id,x,y,crs,station_name,x_l93,y_l93,city,department,altitude,start_date,end_date,influence_locale_station,commentaire_influence_locale_station,commentaire_station
J709063002,-1.56367843,48.123664694,EPSG:4326,La Vilaine à Cesson-Sévigné - Pont Briand,360626.0,6790176.0,CESSON-SEVIGNE,ILLE-ET-VILAINE,28499.0,1987-09-21T00:00:00Z,,,,
J711401001,-1.574945953,48.247194238,EPSG:4326,L'Illet à Chasné-sur-Illet - Le Bas Janson,360584.0,6803930.0,CHASNE-SUR-ILLET,ILLE-ET-VILAINE,44121.0,1990-03-20T00:00:00Z,,,,
J721401001,-1.779692486,48.180859874,EPSG:4326,La Flume à Pacé - Tixuë,344966.0,6797471.0,PACE,ILLE-ET-VILAINE,38576.0,1978-02-14T00:00:00Z,,,,
J001401001,-1.196450736,48.375583015,EPSG:4326,Le Nançon à Lécousse - Pont aux Anes,389395.0,6816620.0,LECOUSSE,ILLE-ET-VILAINE,105.174,1982-01-30T00:00:00Z,,1.0,,
I922102001,-1.292804049,48.596227046,EPSG:4326,La Sélune à Saint-Aubin-de-Terregatte [Signy],383603.0,6841494.0,SAINT-AUBIN-DE-TERREGATTE,MANCHE,,1990-01-15T00:00:00Z,,,,
I923301001,-1.31394684,48.577408472,EPSG:4326,Le Beuvron à Saint-Senier-de-Beuvron,381932.0,6839490.0,SAINT-SENIER-DE-BEUVRON,MANCHE,,1993-12-16T00:00:00Z,,,,
I925301001,-1.2853263,48.627800805,EPSG:4326,L'Oir à Ducey,384344.0,6844969.0,DUCEY-LES CHERIS,MANCHE,10.0,1986-05-01T00:00:00Z,2025-11-07T00:00:00Z,,,
I925351101,-1.318730489,48.525631123,EPSG:4326,Le Beuvron à Saint-James [Moulin du Prieur],381265.0,6833762.0,SAINT-JAMES,MANCHE,,2009-09-23T00:00:00Z,,,,
I928000101,-1.259068236,48.641769084,EPSG:4326,L'Oir à Ducey [Les Chéris],386360.0,6846415.0,DUCEY-LES CHERIS,MANCHE,,2020-07-20T00:00:00Z,2025-05-26T00:00:00Z,,,
I501305001,-0.942795459,48.810735298,EPSG:4326,La Dathée à Saint-Germain-de-Tallevende-la-Lande-Vaumont [2],410568.0,6863968.0,SAINT-GERMAIN-DE-TALLEVENDE-LA-LANDE-VAUMONT,CALVADOS,,1993-03-02T00:00:00Z,,3.0,,
I501361001,-0.912704884,48.817622689,EPSG:4326,La Virene à Saint-Germain-de-Tallevende-la-Lande-Vaumont,412813.0,6864623.0,SAINT-GERMAIN-DE-TALLEVENDE-LA-LANDE-VAUMONT,CALVADOS,,1970-09-01T00:00:00Z,,1.0,,
I502102001,-0.889272612,48.86100497,EPSG:4326,La Vire à Coulonces [Le Gast],414769.0,6869356.0,COULONCES,CALVADOS,,2002-03-13T00:00:00Z,,2.0,,
I505301001,-0.888745643,48.947115841,EPSG:4326,La Souleuvre à Carville,415279.0,6878918.0,CARVILLE,CALVADOS,73.0,1969-07-01T00:00:00Z,,1.0,,
I510101001,-0.964648461,48.936136922,EPSG:4326,La Vire à Malloué,409665.0,6877975.0,MALLOUE,CALVADOS,,1990-07-01T00:00:00Z,,1.0,,
I512102001,-1.055407971,48.974958567,EPSG:4326,La Vire à Tessy-sur-Vire,403246.0,6882624.0,TESSY-BOCAGE,MANCHE,,1992-12-01T00:00:00Z,,1.0,Micro-centrale en amont.,Station gérée jusqu'en septembre 2001 par la DDE de la Manche.
I522101001,-1.091729369,49.085272663,EPSG:4326,La Vire à Saint-Lô [Pont de Gourfaleur],401226.0,6895013.0,SAINT-LO,MANCHE,,1969-09-01T00:00:00Z,,2.0,Prise d'eau potable située en amont de la station hydrométrique,"Station actuellement au pont de Gourfaleur, ex station 'Moulin des Rondelles' dans Hydro2."
I524301001,-1.007038397,49.201071217,EPSG:4326,Le bras de l'Elle à Saint-Jean-de-Savigny,408058.0,6907559.0,SAINT-JEAN-DE-SAVIGNY,MANCHE,25.0,1990-09-01T00:00:00Z,,1.0,,
I532151001,-0.749087368,49.321156354,EPSG:4326,L'Aure à Maisons [Pont-Fatu],427471.0,6919979.0,MAISONS,CALVADOS,16.61,1981-09-01T00:00:00Z,,2.0,"Pertes karstiques situées en amont de la station (lieu-dit ""Les Allouas"") abaissant significativement le débit de l'Aure en basses eaux.",
I535201001,-0.738172045,49.299527544,EPSG:4326,La Drôme à Sully,428150.0,6917538.0,SULLY,CALVADOS,,1981-09-01T00:00:00Z,,1.0,,
I700104001,-1.048114702,48.807500616,EPSG:4326,La Sienne à Saint-Sever-Calvados [La Croix du Rocher],402825.0,6864000.0,NOUES DE SIENNE,CALVADOS,,1997-06-30T00:00:00Z,,,,
I702102001,-1.201701022,48.836996238,EPSG:4326,La Sienne à Sainte-Cécile [2],391735.0,6867864.0,SAINTE-CECILE,MANCHE,,1981-06-01T00:00:00Z,,2.0,Le débit de la Sienne est soutenue en basses eaux par le barrage du Gast situé en amont qui maintient des débits plus élevés que les débits naturels pour les prises d'eau potable situées entre le barrage et la station hydrométrique.,
