datetime,value
2019-05-24,5
2019-06-25,4
2019-07-26,5
2019-08-22,5
2019-09-27,4
2020-05-25,5
2020-06-26,5
2020-07-24,5
2020-08-25,5
2020-09-25,5
2021-06-25,5
2021-07-21,5
2021-08-27,5
2021-09-23,5
2022-05-23,5
2022-06-23,5
2022-07-25,5
2022-08-16,5
2022-08-26,5
2022-09-23,5
2022-10-25,5
2023-03-27,5
2023-04-26,5
2023-05-26,5
2023-06-26,5
2023-07-28,4
2023-08-25,5
2023-09-27,5
2024-05-24,5
2024-06-25,5
2024-07-25,5
2024-08-27,5
2024-09-27,5
2025-05-26,5
2025-06-25,4
2025-07-10,4
2025-07-24,4
2025-08-08,4
2025-08-26,4
2025-09-25,5
