stage,volume,sarea
80.51,0.0063378906250051,1.0
80.76,3.87417541503919,36.0
81.01,70.76989227295417,556.0
81.26,323.4270425415016,2331.0
81.51,1466.4449493408902,8820.0
81.76,4480.51639709482,14910.0
82.01,9058.84787078877,21846.0
82.26,15241.159551696852,27058.0
82.51,22408.79269897472,30237.0
82.76,30319.64439544687,33010.0
83.01,38892.0344830323,35558.0
83.26,48099.27952606231,38132.0
83.51,58107.94349467255,42605.97839954585
83.76,69468.80854610036,48324.765363222585
84.01,82291.93138665988,54302.63824958235
84.26,96641.0664052246,60531.60070250656
84.51,112578.06847595444,67004.43059949412
84.76,130163.07097525612,73714.56044325513
85.01,149454.63711815764,80655.98231087631
85.26,170509.8899394223,87823.17121001986
85.51,193384.62494581056,95211.02248018672
85.76,218133.4085354285,102814.80008065458
86.01,244809.66460036277,110630.0934357996
86.26,273465.7512235085,118652.78109162606
86.51,304153.02899898845,126878.99985510546
86.76,336921.92221346206,135305.11839228182
87.01,371821.9738991177,143927.71448618057
87.26,408901.8955914876,152743.55532431297
87.51,448209.6124843988,161749.5803136737
87.57,457980.21755324985,163939.0
