lake_id,stage,volume,sarea
reservoir_cheze,54.45,0.0,0.0
reservoir_cheze,54.46,0.0011999999999997,0.24
reservoir_cheze,54.55,0.629999999999957,15.74
reservoir_cheze,54.66,3.53204999999987,37.63
reservoir_cheze,54.75,7.71755,55.49
reservoir_cheze,54.86,15.0291,76.94
reservoir_cheze,54.95,22.9367500000003,99.41
reservoir_cheze,55.06,35.0209500000003,119.47
reservoir_cheze,55.15,46.4347999999998,133.9
reservoir_cheze,55.26,62.0626999999997,150.48
reservoir_cheze,55.35,76.2640500000003,165.29
reservoir_cheze,55.46,95.5408000000002,185.48
reservoir_cheze,55.55,112.982699999999,202.3
reservoir_cheze,55.66,137.035149999999,238.97
reservoir_cheze,55.75,159.8971,269.52
reservoir_cheze,55.86,191.89645,313.79
reservoir_cheze,55.95,222.087450000001,359.35
reservoir_cheze,56.06,266.059350000001,436.53
reservoir_cheze,56.15,307.996699999999,495.7
reservoir_cheze,56.26,366.871299999999,579.96
reservoir_cheze,56.35,423.376500000001,678.72
reservoir_cheze,56.46,504.462550000001,794.31
reservoir_cheze,56.55,579.973549999997,883.17
reservoir_cheze,56.66,683.232449999996,989.21
reservoir_cheze,56.75,775.4643,1059.38
reservoir_cheze,56.86,901.024399999999,1280.2
reservoir_cheze,56.95,1028.2043,1539.56
reservoir_cheze,57.06,1216.0914,1871.18
reservoir_cheze,57.15,1397.3788,2182.32
reservoir_cheze,57.26,1668.04984999999,2793.33
reservoir_cheze,57.35,1948.95715,3422.19
reservoir_cheze,57.46,2361.13975,4075.21
reservoir_cheze,57.55,2751.21284999999,4579.41
reservoir_cheze,57.66,3287.10489999998,5183.68
reservoir_cheze,57.75,3776.8561,5704.82
reservoir_cheze,57.86,4437.63385,6304.75
reservoir_cheze,57.95,5026.58940000002,6779.34
reservoir_cheze,58.06,5804.37135000002,7368.11
reservoir_cheze,58.15,6490.64784999999,7875.09
reservoir_cheze,58.26,7388.77104999999,8468.39
reservoir_cheze,58.35,8174.65075000001,8987.69
reservoir_cheze,58.46,9199.06620000001,9626.64
reservoir_cheze,58.55,10090.3773,10182.72
reservoir_cheze,58.66,11247.07805,10873.61
reservoir_cheze,58.75,12255.284,11515.54
reservoir_cheze,58.86,13567.43875,12340.07
reservoir_cheze,58.95,14708.4775,13016.54
reservoir_cheze,59.06,16185.643,13848.6
reservoir_cheze,59.15,17462.805,14522.12
reservoir_cheze,59.26,19105.3317,15368.48
reservoir_cheze,59.35,20521.1501,16085.42
reservoir_cheze,59.46,22339.898,16977.18
reservoir_cheze,59.55,23899.97645,17691.63
reservoir_cheze,59.66,25896.3513999999,18609.04
reservoir_cheze,59.75,27606.5457,19389.02
reservoir_cheze,59.86,29788.4061,20306.72
reservoir_cheze,59.95,31654.1559000001,21161.06
reservoir_cheze,60.06,34043.0017500001,22300.57
reservoir_cheze,60.15,36093.32865,23248.91
reservoir_cheze,60.26,38712.749,24366.68
reservoir_cheze,60.35,40948.5705000001,25329.3
reservoir_cheze,60.46,43807.3546000001,26711.88
reservoir_cheze,60.55,46267.50795,27980.01
reservoir_cheze,60.66,49438.5686999999,29667.62
reservoir_cheze,60.75,52171.7187000001,31076.74
reservoir_cheze,60.86,55694.7458,33011.9
reservoir_cheze,60.95,58736.4930000002,34625.62
reservoir_cheze,61.06,62655.1337000001,36539.08
reservoir_cheze,61.15,66003.6701,37867.3
reservoir_cheze,61.26,70255.44915,39406.97
reservoir_cheze,61.35,73857.0661500001,40646.29
reservoir_cheze,61.46,78420.1773500001,42368.67
reservoir_cheze,61.55,82296.3062499999,43752.03
reservoir_cheze,61.66,87200.7941999998,45392.88
reservoir_cheze,61.75,91341.55125,46620.55
reservoir_cheze,61.86,96554.23685,48167.95
reservoir_cheze,61.95,100951.14765,49548.99
reservoir_cheze,62.06,106492.4605,51194.68
reservoir_cheze,62.15,111162.1522,52601.14
reservoir_cheze,62.26,117045.43745,54360.31
reservoir_cheze,62.35,122003.3358,55839.04
reservoir_cheze,62.46,128240.7876,57542.06
reservoir_cheze,62.55,133478.97155,58860.33
reservoir_cheze,62.66,140041.9071,60452.3
reservoir_cheze,62.75,145540.4181,61734.76
reservoir_cheze,62.86,152419.4823,63352.54
reservoir_cheze,62.95,158181.6138,64689.18
reservoir_cheze,63.06,165387.88455,66343.73
reservoir_cheze,63.15,171423.913,67822.44
reservoir_cheze,63.26,178984.91395,69663.03
reservoir_cheze,63.35,185323.66725,71178.63
reservoir_cheze,63.46,193251.34155,72957.07
reservoir_cheze,63.55,199882.1176,74388.38
reservoir_cheze,63.66,208161.07535,76147.99
reservoir_cheze,63.75,215082.15815,77635.63
reservoir_cheze,63.86,223721.54385,79447.45
reservoir_cheze,63.95,230943.905400001,81093.08
reservoir_cheze,64.06,239988.2327,83329.1
reservoir_cheze,64.15,247565.262200001,85036.14
reservoir_cheze,64.26,257031.489500001,87079.3
reservoir_cheze,64.35,264945.20205,88791.33
reservoir_cheze,64.46,274830.29285,90927.81
reservoir_cheze,64.55,283088.4,92578.8
reservoir_cheze,64.66,293382.59905,94599.09
reservoir_cheze,64.75,301974.68745,96355.05
reservoir_cheze,64.86,312696.7851,98605.68
reservoir_cheze,64.95,321657.2052,100548.0
reservoir_cheze,65.06,332848.31565,102877.91
reservoir_cheze,65.15,342188.288650001,104671.61
reservoir_cheze,65.26,353825.071050001,106947.19
reservoir_cheze,65.35,363537.0181,108849.42
