datetime,value
2007-01-01,86.97
2007-01-02,86.92
2007-01-03,86.95
2007-01-04,86.97
2007-01-05,87.0
2007-01-06,87.01
2007-01-07,87.05
2007-01-08,87.15
2007-01-09,87.15
2007-01-10,87.15
2007-01-11,87.17
2007-01-12,87.17
2007-01-13,87.17
2007-01-14,87.17
2007-01-15,87.18
2007-01-16,87.2
2007-01-17,87.38
2007-01-18,87.41
2007-01-19,87.46
2007-01-20,87.43
2007-01-21,87.38
2007-01-22,87.37
2007-01-23,87.35
2007-01-24,87.33
2007-01-25,87.32
2007-01-26,87.41
2007-01-27,87.41
2007-01-28,87.34
2007-01-29,87.37
2007-01-30,87.33
2007-01-31,87.33
2007-02-01,87.33
2007-02-02,87.33
2007-02-03,87.3
2007-02-04,87.32
2007-02-05,87.31
2007-02-06,87.31
2007-02-07,87.35
2007-02-08,87.36
2007-02-09,87.38
2007-02-10,87.43
2007-02-11,87.46
2007-02-12,87.43
2007-02-13,87.51
2007-02-14,87.49
2007-02-15,87.46
2007-02-16,87.44
2007-02-17,87.43
2007-02-18,87.42
2007-02-19,87.42
2007-02-20,87.41
2007-02-21,87.4
2007-02-22,87.43
2007-02-23,87.51
2007-02-24,87.48
2007-02-25,87.46
2007-02-26,87.45
2007-02-27,87.42
2007-02-28,87.4
2007-03-01,87.37
2007-03-02,87.37
2007-03-03,87.37
2007-03-04,87.37
2007-03-05,87.41
2007-03-06,87.47
2007-03-07,87.46
2007-03-08,87.43
2007-03-09,87.43
2007-03-10,87.37
2007-03-11,87.35
2007-03-12,87.32
2007-03-13,87.31
2007-03-14,87.31
2007-03-15,87.31
2007-03-16,87.33
2007-03-17,87.32
2007-03-18,87.3
2007-03-19,87.37
2007-03-20,87.38
2007-03-21,87.37
2007-03-22,87.38
2007-03-23,87.4
2007-03-24,87.4
2007-03-25,87.37
2007-03-26,87.35
2007-03-27,87.36
2007-03-28,87.35
2007-03-29,87.37
2007-03-30,87.31
2007-03-31,87.35
2007-04-01,87.34
2007-04-02,87.33
2007-04-03,87.3
2007-04-04,87.3
2007-04-05,87.3
2007-04-06,87.32
2007-04-07,87.32
2007-04-08,87.32
2007-04-09,87.3
2007-04-10,87.3
2007-04-11,87.31
2007-04-12,87.29
2007-04-13,87.3
2007-04-14,87.29
2007-04-15,87.3
