datetime,value
2019-01-01,2620
2019-01-02,2630
2019-01-03,2630
2019-01-04,2600
2019-01-05,2580
2019-01-06,2630
2019-01-07,2630
2019-01-08,3741
2019-01-09,2630
2019-01-10,2600
2019-01-11,2580
2019-01-12,2640
2019-01-13,2600
2019-01-14,2600
2019-01-15,2620
2019-01-16,2640
2019-01-17,2642
2019-01-18,2645
2019-01-19,2648
2019-01-20,2650
2019-01-21,2652
2019-01-22,2655
2019-01-23,2658
2019-01-24,2660
2019-01-25,2662
2019-01-26,2665
2019-01-27,2668
2019-01-28,2671
2019-01-29,2687
2019-01-30,2715
2019-01-31,2711
2019-02-01,2713
2019-02-02,2732
2019-02-03,2730
2019-02-04,2733
2019-02-05,13725
2019-02-06,8631
2019-02-07,2752
2019-02-08,2752
2019-02-09,2778
2019-02-10,21859
2019-02-11,30918
2019-02-12,41604
2019-02-13,40625
2019-02-14,40339
2019-02-15,41423
2019-02-16,40635
2019-02-17,25446
2019-02-18,31369
2019-02-19,15391
2019-02-20,2750
2019-02-21,27110
2019-02-22,31435
2019-02-23,27904
2019-02-24,18855
2019-02-25,31435
2019-02-26,15847
2019-02-27,2802
2019-02-28,2792
2019-03-01,2810
2019-03-02,2810
2019-03-03,2820
2019-03-04,2820
2019-03-05,2830
2019-03-06,17526
2019-03-07,17638
2019-03-08,2830
2019-03-09,2832
2019-03-10,2801
2019-03-11,1731
2019-03-12,873
2019-03-13,502
2019-03-14,349
2019-03-15,200
2019-03-16,80
2019-03-17,80
2019-03-18,930
2019-03-19,2420
2019-03-20,2410
2019-03-21,2412
2019-03-22,2410
2019-03-23,2410
2019-03-24,2400
2019-03-25,2410
2019-03-26,2448
2019-03-27,2420
2019-03-28,2420
2019-03-29,2420
2019-03-30,2430
2019-03-31,2420
2019-04-01,2437
2019-04-02,2430
2019-04-03,2430
2019-04-04,2642
2019-04-05,2380
2019-04-06,2380
2019-04-07,2390
2019-04-08,2390
2019-04-09,2400
2019-04-10,2390
2019-04-11,2400
2019-04-12,2400
2019-04-13,2408
2019-04-14,2390
2019-04-15,2390
2019-04-16,2400
2019-04-17,2410
2019-04-18,2390
2019-04-19,2410
2019-04-20,2410
2019-04-21,2400
2019-04-22,2422
2019-04-23,2427
2019-04-24,2420
2019-04-25,2421
2019-04-26,2412
2019-04-27,2421
2019-04-28,2421
2019-04-29,2431
2019-04-30,2422
2019-05-01,2421
2019-05-02,2421
2019-05-03,2421
2019-05-04,2422
2019-05-05,2421
2019-05-06,2422
2019-05-07,2422
2019-05-08,2422
2019-05-09,2345
2019-05-10,2420
2019-05-11,2431
2019-05-12,2420
2019-05-13,2430
2019-05-14,2420
2019-05-15,2437
2019-05-16,2430
2019-05-17,2430
2019-05-18,2437
2019-05-19,2430
2019-05-20,2420
2019-05-21,16102
2019-05-22,23457
2019-05-23,2434
2019-05-24,2421
2019-05-25,2411
2019-05-26,2422
2019-05-27,14025
2019-05-28,17827
2019-05-29,17088
2019-05-30,14608
2019-05-31,14546
2019-06-01,12271
2019-06-02,13213
2019-06-03,14796
2019-06-04,23819
2019-06-05,17025
2019-06-06,16910
2019-06-07,13593
2019-06-08,10342
2019-06-09,5842
2019-06-10,7839
2019-06-11,17648
2019-06-12,18115
2019-06-13,20051
2019-06-14,11544
2019-06-15,6685
2019-06-16,2420
2019-06-17,12966
2019-06-18,11769
2019-06-19,6727
2019-06-20,8608
2019-06-21,11580
2019-06-22,5887
2019-06-23,4357
2019-06-24,8719
2019-06-25,8266
2019-06-26,9312
2019-06-27,12859
2019-06-28,8558
2019-06-29,7498
2019-06-30,5054
2019-07-01,19645
2019-07-02,16762
2019-07-03,18232
2019-07-04,20771
2019-07-05,22746
2019-07-06,23755
2019-07-07,8596
2019-07-08,25859
2019-07-09,22679
2019-07-10,26184
2019-07-11,26788
2019-07-12,21330
2019-07-13,15191
2019-07-14,7738
2019-07-15,24900
2019-07-16,21282
2019-07-17,24820
2019-07-18,34291
2019-07-19,37033
2019-07-20,25215
2019-07-21,21292
2019-07-22,34123
2019-07-23,38053
2019-07-24,41983
2019-07-25,42944
2019-07-26,46638
2019-07-27,35122
2019-07-28,27719
2019-07-29,30542
2019-07-30,35878
2019-07-31,32720
2019-08-01,35006
2019-08-02,39913
2019-08-03,37284
2019-08-04,38386
2019-08-05,42286
2019-08-06,34782
2019-08-07,33546
2019-08-08,38084
2019-08-09,27481
2019-08-10,27143
2019-08-11,24711
2019-08-12,27127
2019-08-13,24005
2019-08-14,21775
2019-08-15,17863
2019-08-16,27880
2019-08-17,25939
2019-08-18,21579
2019-08-19,21587
2019-08-20,15978
2019-08-21,29006
2019-08-22,38439
2019-08-23,36322
2019-08-24,36925
2019-08-25,30752
2019-08-26,35687
2019-08-27,41031
2019-08-28,43056
2019-08-29,43710
2019-08-30,45328
2019-08-31,42489
2019-09-01,34696
2019-09-02,47549
2019-09-03,45660
2019-09-04,46072
2019-09-05,51538
2019-09-06,55272
2019-09-07,46483
2019-09-08,38668
2019-09-09,47639
2019-09-10,51863
2019-09-11,59026
2019-09-12,54235
2019-09-13,49733
2019-09-14,48788
2019-09-15,39108
2019-09-16,61699
2019-09-17,70956
2019-09-18,73494
2019-09-19,72394
2019-09-20,73776
2019-09-21,53635
2019-09-22,45085
2019-09-23,55066
2019-09-24,47754
2019-09-25,51858
2019-09-26,40710
2019-09-27,46068
2019-09-28,39779
2019-09-29,36050
2019-09-30,50005
2019-10-01,48534
2019-10-02,50157
2019-10-03,37983
2019-10-04,45341
2019-10-05,42638
2019-10-06,40167
2019-10-07,36923
2019-10-08,50188
2019-10-09,39525
2019-10-10,50206
2019-10-11,38978
2019-10-12,35142
2019-10-13,34789
2019-10-14,38009
2019-10-15,41485
2019-10-16,44883
2019-10-17,45865
2019-10-18,41268
2019-10-19,37915
2019-10-20,37168
2019-10-21,37463
2019-10-22,41916
2019-10-23,34086
2019-10-24,33855
2019-10-25,31794
2019-10-26,26777
2019-10-27,20722
2019-10-28,30155
2019-10-29,40313
2019-10-30,33898
2019-10-31,36523
2019-11-01,33116
2019-11-02,23729
2019-11-03,18461
2019-11-04,22858
2019-11-05,34773
2019-11-06,22156
2019-11-07,24191
2019-11-08,30223
2019-11-09,30443
2019-11-10,22419
2019-11-11,20602
2019-11-12,29724
2019-11-13,35166
2019-11-14,37385
2019-11-15,38792
2019-11-16,25036
2019-11-17,28484
2019-11-18,37813
2019-11-19,45484
2019-11-20,35206
2019-11-21,32335
2019-11-22,30340
2019-11-23,28944
2019-11-24,20192
2019-11-25,30378
2019-11-26,30283
2019-11-27,30932
2019-11-28,40617
2019-11-29,35421
2019-11-30,26378
2019-12-01,20115
2019-12-02,29740
2019-12-03,40087
2019-12-04,43398
2019-12-05,42451
2019-12-06,38725
2019-12-07,43839
2019-12-08,23792
2019-12-09,32614
2019-12-10,38561
2019-12-11,35985
2019-12-12,37461
2019-12-13,48187
2019-12-14,28756
2019-12-15,26905
2019-12-16,32121
2019-12-17,37322
2019-12-18,49462
2019-12-19,50788
2019-12-20,51283
2019-12-21,53316
2019-12-22,55966
2019-12-23,48874
2019-12-24,50311
2019-12-25,37061
2019-12-26,32217
2019-12-27,31063
2019-12-28,31773
2019-12-29,27515
2019-12-30,31897
2019-12-31,39689
