datetime,value
1990-01-01,44.66
1990-01-02,44.59
1990-01-03,44.72
1990-01-04,44.87
1990-01-05,44.62
1990-01-06,44.64
1990-01-07,44.93
1990-01-08,44.82
1990-01-09,44.65
1990-01-10,44.82
1990-01-11,44.68
1990-01-12,44.69
1990-01-13,44.81
1990-01-14,44.5
1990-01-15,44.55
1990-01-16,44.73
1990-01-17,44.68
1990-01-18,44.89
1990-01-19,44.72
1990-01-20,44.65
1990-01-21,45.09
1990-01-22,44.85
1990-01-23,44.9
1990-01-24,44.69
1990-01-25,44.83
1990-01-26,44.94
1990-01-27,44.76
1990-01-28,44.99
1990-01-29,44.85
1990-01-30,44.91
1990-01-31,44.87
1990-02-01,45.24
1990-02-02,44.97
1990-02-03,44.81
1990-02-04,45.1
1990-02-05,44.8
1990-02-06,45.02
1990-02-07,44.7
1990-02-08,44.79
1990-02-09,45.02
1990-02-10,45.11
1990-02-11,45.02
1990-02-12,44.98
1990-02-13,44.95
1990-02-14,44.78
1990-02-15,44.89
1990-02-16,44.93
1990-02-17,45.16
1990-02-18,45.05
1990-02-19,44.73
1990-02-20,45.04
1990-02-21,44.93
1990-02-22,44.88
1990-02-23,45.07
1990-02-24,45.13
1990-02-25,45.11
1990-02-26,44.84
1990-02-27,44.92
1990-02-28,45.01
1990-03-01,45.1
1990-03-02,44.87
1990-03-03,44.91
1990-03-04,44.76
1990-03-05,44.74
1990-03-06,45.03
1990-03-07,45.11
1990-03-08,44.88
1990-03-09,45.03
1990-03-10,44.93
1990-03-11,44.77
1990-03-12,44.91
1990-03-13,45.07
1990-03-14,44.82
1990-03-15,45.05
1990-03-16,44.41
1990-03-17,44.91
1990-03-18,44.79
1990-03-19,44.72
1990-03-20,44.76
1990-03-21,44.44
1990-03-22,44.69
1990-03-23,44.76
1990-03-24,44.91
1990-03-25,44.6
1990-03-26,44.54
1990-03-27,44.57
1990-03-28,44.76
1990-03-29,44.66
1990-03-30,44.51
1990-03-31,44.65
1990-04-01,44.57
1990-04-02,44.68
1990-04-03,44.41
1990-04-04,44.45
1990-04-05,44.42
1990-04-06,44.24
1990-04-07,44.48
1990-04-08,44.46
1990-04-09,44.4
1990-04-10,44.34
