datetime,value
1990-01-01,44.99
1990-01-02,44.5
1990-01-03,44.75
1990-01-04,44.63
1990-01-05,44.81
1990-01-06,44.76
1990-01-07,44.68
1990-01-08,44.86
1990-01-09,45.07
1990-01-10,44.79
1990-01-11,44.93
1990-01-12,44.64
1990-01-13,44.71
1990-01-14,44.93
1990-01-15,45.09
1990-01-16,44.94
1990-01-17,44.84
1990-01-18,44.9
1990-01-19,44.72
1990-01-20,45.01
1990-01-21,45.06
1990-01-22,44.87
1990-01-23,44.87
1990-01-24,44.99
1990-01-25,44.89
1990-01-26,44.95
1990-01-27,45.28
1990-01-28,44.94
1990-01-29,44.92
1990-01-30,44.88
1990-01-31,45.1
1990-02-01,44.96
1990-02-02,44.89
1990-02-03,45.19
1990-02-04,45.21
1990-02-05,44.91
1990-02-06,44.72
1990-02-07,45.15
1990-02-08,44.9
1990-02-09,45.12
1990-02-10,44.7
1990-02-11,45.13
1990-02-12,44.82
1990-02-13,45.1
1990-02-14,44.99
1990-03-16,44.46
1990-03-17,44.76
1990-03-18,44.62
1990-03-19,44.67
1990-03-20,44.71
1990-03-21,44.57
1990-03-22,44.53
1990-03-23,44.62
1990-03-24,44.43
1990-03-25,44.41
1990-03-26,44.66
1990-03-27,44.37
1990-03-28,44.62
1990-03-29,44.57
1990-03-30,44.22
1990-03-31,44.36
1990-04-01,44.62
1990-04-02,44.27
1990-04-03,44.33
1990-04-04,44.45
1990-04-05,44.48
1990-04-06,44.3
1990-04-07,44.23
1990-04-08,44.51
1990-04-09,44.53
1990-04-10,44.4
1990-04-11,44.24
1990-04-12,44.08
1990-04-13,44.06
1990-04-14,44.24
1990-04-15,44.2
1990-04-16,44.32
1990-04-17,44.19
1990-04-18,43.84
1990-04-19,44.2
1990-04-20,43.87
1990-04-21,43.94
1990-04-22,44.01
1990-04-23,44.24
1990-04-24,44.39
1990-04-25,43.99
1990-04-26,43.84
1990-04-27,43.92
1990-04-28,43.95
1990-04-29,43.75
1990-04-30,44.04
1990-05-01,43.78
1990-05-02,43.79
1990-05-03,43.79
1990-05-04,43.73
1990-05-05,43.77
1990-05-06,43.52
1990-05-07,43.51
1990-05-08,43.4
1990-05-09,43.6
1990-05-10,43.63
1990-05-11,43.55
1990-05-12,43.71
1990-05-13,43.43
1990-05-14,43.51
1990-05-15,43.22
1990-05-16,43.3
1990-05-17,43.44
1990-05-18,43.43
1990-05-19,43.24
1990-05-20,43.24
1990-05-21,43.0
1990-05-22,43.15
1990-05-23,43.31
