datetime,value
1990-01-01,37.42
1990-01-02,37.64
1990-01-03,37.7
1990-01-04,37.64
1990-01-05,37.24
1990-01-06,37.71
1990-01-07,38.13
1990-01-08,37.63
1990-01-09,37.58
1990-01-10,37.81
1990-01-11,37.81
1990-01-12,38.0
1990-01-13,37.53
1990-01-14,37.94
1990-01-15,37.92
1990-01-16,37.79
1990-01-17,37.9
1990-01-18,38.05
1990-01-19,38.03
1990-01-20,37.63
1990-01-21,38.04
1990-01-22,37.87
1990-01-23,37.91
1990-01-24,37.92
1990-01-25,37.88
1990-01-26,38.16
1990-01-27,37.91
1990-01-28,37.71
1990-01-29,37.86
1990-01-30,37.99
1990-01-31,38.2
1990-02-01,38.08
1990-02-02,37.8
1990-02-03,38.47
1990-02-04,38.03
1990-02-05,38.24
1990-02-06,37.96
1990-02-07,38.1
1990-02-08,38.16
1990-02-09,38.24
1990-02-10,38.21
1990-02-11,38.17
1990-02-12,37.94
1990-02-13,37.89
1990-02-14,38.07
1990-02-15,38.19
1990-02-16,37.95
1990-02-17,38.21
1990-02-18,38.29
1990-02-19,37.81
1990-02-20,37.82
1990-02-21,37.96
1990-02-22,38.05
1990-02-23,37.88
1990-02-24,38.25
1990-02-25,38.06
1990-02-26,37.98
1990-02-27,37.68
1990-02-28,37.69
1990-03-01,38.01
1990-03-02,37.52
1990-03-03,38.14
1990-03-04,37.9
1990-03-05,38.57
1990-03-06,38.37
1990-03-07,37.87
1990-03-08,37.87
1990-03-09,38.08
1990-03-10,38.21
1990-03-11,37.54
1990-03-12,37.49
1990-03-13,37.72
1990-03-14,37.95
1990-03-15,37.92
1990-03-16,38.02
1990-03-17,37.55
1990-03-18,37.31
1990-03-19,37.94
1990-03-20,37.58
1990-03-21,37.33
1990-03-22,37.75
1990-03-23,37.86
1990-03-24,37.67
1990-03-25,37.58
1990-03-26,37.63
1990-03-27,37.57
1990-03-28,37.36
1990-03-29,37.46
1990-03-30,37.69
1990-03-31,37.64
1990-04-01,37.59
1990-04-02,37.34
1990-04-03,37.48
1990-04-04,37.06
1990-04-05,37.51
1990-04-06,37.74
1990-04-07,37.14
1990-04-08,37.3
1990-04-09,37.46
1990-04-10,37.63
1990-04-11,37.27
1990-04-12,37.2
1990-04-13,36.92
1990-04-14,37.31
1990-04-15,37.68
1990-04-16,37.3
1990-04-17,37.22
1990-04-18,37.27
1990-04-19,37.18
1990-04-20,36.99
1990-04-21,37.3
1990-04-22,37.15
1990-04-23,37.09
1990-04-24,36.87
1990-04-25,37.3
1990-04-26,37.15
1990-04-27,36.88
1990-04-28,37.16
1990-04-29,36.84
1990-04-30,36.76
1990-05-01,36.74
1990-05-02,36.51
1990-05-03,36.93
1990-05-04,36.45
1990-05-05,36.54
1990-05-06,36.35
1990-05-07,36.72
1990-05-08,36.68
1990-05-09,36.62
1990-05-10,36.45
1990-05-11,36.4
1990-05-12,36.7
1990-05-13,36.47
1990-05-14,36.62
1990-05-15,36.36
1990-05-16,36.54
1990-05-17,36.74
1990-05-18,36.57
1990-05-19,36.35
1990-05-20,36.45
1990-05-21,36.33
1990-05-22,36.35
1990-05-23,36.26
1990-05-24,36.27
1990-05-25,36.32
1990-05-26,36.05
1990-05-27,36.02
1990-05-28,35.92
1990-05-29,35.85
1990-05-30,35.9
1990-05-31,36.16
1990-06-01,35.92
1990-06-02,36.18
1990-06-03,36.06
1990-06-04,35.63
1990-06-05,36.13
1990-06-06,36.14
