datetime,value,quality
2022-01-01,32.91,Correcte
2022-01-02,32.91,Correcte
2022-01-03,32.96,Correcte
2022-01-04,32.98,Correcte
2022-01-05,32.95,Correcte
2022-01-06,32.93,Correcte
2022-01-07,32.93,Correcte
2022-01-08,32.95,Correcte
2022-01-09,32.95,Correcte
2022-01-10,32.95,Correcte
2022-01-11,32.94,Correcte
2022-01-12,32.93,Correcte
2022-01-13,32.93,Correcte
2022-01-14,32.93,Correcte
2022-01-15,32.93,Correcte
2022-01-16,32.93,Correcte
2022-01-17,32.93,Correcte
2022-01-18,32.93,Correcte
2022-01-19,32.93,Correcte
2022-01-20,32.93,Correcte
2022-01-21,32.93,Correcte
2022-01-22,32.92,Correcte
2022-01-23,32.92,Correcte
2022-01-24,32.93,Correcte
2022-01-25,32.93,Correcte
2022-01-26,32.92,Correcte
2022-01-27,32.92,Correcte
2022-01-28,32.92,Correcte
2022-01-29,32.92,Correcte
2022-01-30,32.93,Correcte
2022-01-31,32.93,Correcte
2022-02-01,32.93,Correcte
2022-02-02,32.93,Correcte
2022-02-03,32.93,Correcte
2022-02-04,32.94,Correcte
2022-02-05,32.93,Correcte
2022-02-06,32.93,Correcte
2022-02-07,32.94,Correcte
2022-02-08,32.93,Correcte
2022-02-09,32.93,Correcte
2022-02-10,32.93,Correcte
2022-02-11,32.93,Correcte
2022-02-12,32.93,Correcte
2022-02-13,32.95,Correcte
2022-02-14,32.95,Correcte
2022-02-15,32.95,Correcte
2022-02-16,32.95,Correcte
2022-02-17,32.95,Correcte
2022-02-18,32.95,Correcte
2022-02-19,32.95,Correcte
2022-02-20,32.96,Correcte
2022-02-21,32.96,Correcte
2022-02-22,32.95,Correcte
2022-02-23,32.95,Correcte
2022-02-24,32.95,Correcte
2022-02-25,32.94,Correcte
2022-02-26,32.94,Correcte
2022-02-27,32.95,Correcte
2022-02-28,32.94,Correcte
2022-03-01,32.95,Correcte
2022-03-02,32.95,Correcte
2022-03-03,32.96,Correcte
2022-03-04,32.95,Correcte
2022-03-05,32.95,Correcte
2022-03-06,32.95,Correcte
2022-03-07,32.95,Correcte
2022-03-08,32.95,Correcte
2022-03-09,32.95,Correcte
2022-03-10,32.95,Correcte
2022-03-11,32.99,Correcte
2022-03-12,32.99,Correcte
2022-03-13,32.97,Correcte
2022-03-14,32.96,Correcte
2022-03-15,32.97,Correcte
2022-03-16,32.99,Correcte
2022-03-17,32.98,Correcte
2022-03-18,32.96,Correcte
2022-03-19,32.95,Correcte
2022-03-20,32.95,Correcte
2022-03-21,32.95,Correcte
2022-03-22,32.95,Correcte
2022-03-23,32.95,Correcte
2022-03-24,32.94,Correcte
2022-03-25,32.94,Correcte
2022-03-26,32.94,Correcte
2022-03-27,32.94,Correcte
2022-03-28,32.94,Correcte
2022-03-29,32.95,Correcte
2022-03-30,32.95,Correcte
