datetime,value
2000-01-31,2.088043
2000-02-29,0.760928
2000-03-31,0.551107
2000-04-30,0.642604
2000-05-31,0.745566
2000-06-30,0.237067
2000-07-31,0.071611
2000-08-31,0.048369
2000-09-30,0.030138
2000-10-31,0.142127
2000-11-30,2.165971
2000-12-31,3.241427
2001-01-31,4.119638
2001-02-28,2.185923
2001-03-31,2.514942
2001-04-30,1.470838
2001-05-31,0.858911
2001-06-30,0.09026
2001-07-31,0.034164
2001-08-31,0.022973
2001-09-30,0.016125
2001-10-31,0.088372
2001-11-30,0.142093
2001-12-31,0.173739
2002-01-31,0.360587
2002-02-28,0.877003
2002-03-31,0.847962
2002-04-30,0.304863
2002-05-31,0.093925
2002-06-30,0.063683
2002-07-31,0.028261
2002-08-31,0.017218
2002-09-30,0.016548
2002-10-31,0.089799
2002-11-30,1.046812
2002-12-31,2.036832
