datetime,value
1990-01-01,0.306772
1990-01-02,0.314326
1990-01-03,0.320650
1990-01-04,0.325450
1990-01-05,0.330125
1990-01-06,0.343493
1990-01-07,0.377167
1990-01-08,0.398525
1990-01-09,0.411046
1990-01-10,0.417281
1990-01-11,0.420224
1990-01-12,0.422074
1990-01-13,0.428720
1990-01-14,0.439168
1990-01-15,0.447620
1990-01-16,0.453746
1990-01-17,0.457593
1990-01-18,0.457901
1990-01-19,0.455777
1990-01-20,0.453271
1990-01-21,0.449536
1990-01-22,0.446860
1990-01-23,0.598634
1990-01-24,0.623615
1990-01-25,0.766262
1990-01-26,0.855676
1990-01-27,0.955865
1990-01-28,1.030002
1990-01-29,1.071330
1990-01-30,1.106642
1990-01-31,1.224612
1990-02-01,1.401133
1990-02-02,1.611889
1990-02-03,1.813292
1990-02-04,1.945074
1990-02-05,1.964436
1990-02-06,1.908880
1990-02-07,1.859615
1990-02-08,1.826828
1990-02-09,1.766520
1990-02-10,1.768761
1990-02-11,1.878636
1990-02-12,2.129101
1990-02-13,2.690137
1990-02-14,3.884451
1990-02-15,5.032027
1990-02-16,5.818735
1990-02-17,6.007535
1990-02-18,5.391974
1990-02-19,4.681402
1990-02-20,4.019902
1990-02-21,3.473308
1990-02-22,3.065689
1990-02-23,2.711987
1990-02-24,2.405723
1990-02-25,2.175177
1990-02-26,2.029573
1990-02-27,1.900374
1990-02-28,1.790639
1990-03-01,1.721278
1990-03-02,1.673867
1990-03-03,1.615632
1990-03-04,1.532176
1990-03-05,1.432533
1990-03-06,1.329040
1990-03-07,1.230672
1990-03-08,1.141608
1990-03-09,1.061569
1990-03-10,0.989092
1990-03-11,0.923769
1990-03-12,0.865992
1990-03-13,0.815868
1990-03-14,0.771406
1990-03-15,0.730195
1990-03-16,0.689449
1990-03-17,0.647730
1990-03-18,0.605736
1990-03-19,0.565648
1990-03-20,0.528773
1990-03-21,0.494998
1990-03-22,0.465418
1990-03-23,0.439243
1990-03-24,0.416843
1990-03-25,0.397491
1990-03-26,0.380173
1990-03-27,0.364132
1990-03-28,0.349008
1990-03-29,0.334284
1990-03-30,0.319471
1990-03-31,0.304324
1990-04-01,0.289035
1990-04-02,0.274502
1990-04-03,0.260683
1990-04-04,0.247698
1990-04-05,0.235620
1990-04-06,0.224800
1990-04-07,0.214631
1990-04-08,0.204770
1990-04-09,0.195516
1990-04-10,0.186732
1990-04-11,0.178276
1990-04-12,0.170129
1990-04-13,0.162907
1990-04-14,0.156308
1990-04-15,0.151657
1990-04-16,0.145995
1990-04-17,0.141933
1990-04-18,0.139672
1990-04-19,0.139631
1990-04-20,0.145894
1990-04-21,0.142501
1990-04-22,0.143553
1990-04-23,0.144981
1990-04-24,0.146654
1990-04-25,0.148117
1990-04-26,0.148843
1990-04-27,0.148936
1990-04-28,0.147617
1990-04-29,0.144888
1990-04-30,0.140935
1990-05-01,0.136129
1990-05-02,0.130130
1990-05-03,0.123240
1990-05-04,0.115640
1990-05-05,0.107986
1990-05-06,0.100486
1990-05-07,0.093442
1990-05-08,0.088015
1990-05-09,0.082964
1990-05-10,0.078402
1990-05-11,0.073612
1990-05-12,0.068769
1990-05-13,0.064093
1990-05-14,0.060129
1990-05-15,0.056751
1990-05-16,0.053597
1990-05-17,0.050493
1990-05-18,0.047562
1990-05-19,0.044853
1990-05-20,0.043331
1990-05-21,0.049790
1990-05-22,0.046090
1990-05-23,0.041188
1990-05-24,0.038303
1990-05-25,0.036755
1990-05-26,0.035525
1990-05-27,0.034233
1990-05-28,0.032917
1990-05-29,0.031989
1990-05-30,0.031092
1990-05-31,0.029994
1990-06-01,0.028927
1990-06-02,0.027965
1990-06-03,0.027291
1990-06-04,0.026585
1990-06-05,0.025817
1990-06-06,0.025243
1990-06-07,0.026829
1990-06-08,0.025901
1990-06-09,0.024474
1990-06-10,0.023676
1990-06-11,0.023195
1990-06-12,0.022731
1990-06-13,0.022176
1990-06-14,0.021634
1990-06-15,0.021097
1990-06-16,0.020572
1990-06-17,0.020198
1990-06-18,0.019916
1990-06-19,0.019692
1990-06-20,0.019472
1990-06-21,0.040522
1990-06-22,0.034893
1990-06-23,0.027603
1990-06-24,0.022171
1990-06-25,0.019746
1990-06-26,0.019369
1990-06-27,0.019478
1990-06-28,0.019366
1990-06-29,0.019204
1990-06-30,0.019089
1990-07-01,0.018974
1990-07-02,0.021237
1990-07-03,0.023850
1990-07-04,0.027946
1990-07-05,0.030308
1990-07-06,0.023150
1990-07-07,0.021627
1990-07-08,0.021344
1990-07-09,0.021058
1990-07-10,0.020730
1990-07-11,0.020676
1990-07-12,0.020590
1990-07-13,0.020403
1990-07-14,0.020195
1990-07-15,0.019911
1990-07-16,0.019609
1990-07-17,0.019233
1990-07-18,0.018762
1990-07-19,0.018260
1990-07-20,0.017685
1990-07-21,0.017121
1990-07-22,0.016545
1990-07-23,0.016027
1990-07-24,0.015524
1990-07-25,0.014994
1990-07-26,0.014504
1990-07-27,0.014097
1990-07-28,0.013745
1990-07-29,0.013350
1990-07-30,0.012924
1990-07-31,0.012500
1990-08-01,0.011561
1990-08-02,0.011634
1990-08-03,0.011199
1990-08-04,0.010776
1990-08-05,0.010418
1990-08-06,0.010098
1990-08-07,0.009794
1990-08-08,0.009493
1990-08-09,0.009194
1990-08-10,0.008910
1990-08-11,0.008619
1990-08-12,0.008345
1990-08-13,0.008093
1990-08-14,0.007884
1990-08-15,0.007704
1990-08-16,0.007528
1990-08-17,0.007346
1990-08-18,0.007176
1990-08-19,0.007038
1990-08-20,0.006887
1990-08-21,0.006728
1990-08-22,0.006570
1990-08-23,0.006406
1990-08-24,0.006253
1990-08-25,0.006115
1990-08-26,0.005987
1990-08-27,0.005857
1990-08-28,0.005722
1990-08-29,0.005589
1990-08-30,0.005473
1990-08-31,0.005363
1990-09-01,0.005250
1990-09-02,0.005131
1990-09-03,0.005013
1990-09-04,0.004907
1990-09-05,0.004807
1990-09-06,0.004717
1990-09-07,0.004628
1990-09-08,0.004540
1990-09-09,0.004452
1990-09-10,0.004361
1990-09-11,0.004273
1990-09-12,0.004187
1990-09-13,0.004100
1990-09-14,0.004011
1990-09-15,0.003929
1990-09-16,0.003849
1990-09-17,0.003776
1990-09-18,0.003707
1990-09-19,0.003646
1990-09-20,0.003586
1990-09-21,0.003528
1990-09-22,0.003475
1990-09-23,0.003424
1990-09-24,0.003376
1990-09-25,0.003326
1990-09-26,0.003275
1990-09-27,0.003224
1990-09-28,0.003173
1990-09-29,0.003128
1990-09-30,0.003100
1990-10-01,0.003336
1990-10-02,0.003293
1990-10-03,0.007958
1990-10-04,0.009393
1990-10-05,0.006319
1990-10-06,0.005212
1990-10-07,0.004100
1990-10-08,0.003483
1990-10-09,0.003154
1990-10-10,0.003016
1990-10-11,0.002928
1990-10-12,0.002870
1990-10-13,0.002829
1990-10-14,0.002799
1990-10-15,0.002799
1990-10-16,0.002849
1990-10-17,0.002835
1990-10-18,0.003155
1990-10-19,0.005060
1990-10-20,0.006227
1990-10-21,0.005272
1990-10-22,0.004586
1990-10-23,0.004131
1990-10-24,0.004215
1990-10-25,0.014580
1990-10-26,0.045195
1990-10-27,0.086558
1990-10-28,0.274274
1990-10-29,0.234704
1990-10-30,0.069175
1990-10-31,0.047788
1990-11-01,0.060694
1990-11-02,0.176121
1990-11-03,0.174979
1990-11-04,0.148223
1990-11-05,0.141245
1990-11-06,0.127685
1990-11-07,0.113734
1990-11-08,0.101793
1990-11-09,0.097570
1990-11-10,0.104260
1990-11-11,0.112729
1990-11-12,0.147068
1990-11-13,0.153200
1990-11-14,0.157870
1990-11-15,0.153215
1990-11-16,0.145372
