datetime,value
2020-01-01,1.39
2020-01-02,1.6942
2020-01-03,1.1211
2020-01-04,1.5009
2020-01-05,0.6787
2020-01-06,0.7152
2020-01-07,0.8753
2020-01-08,0.4536
2020-01-09,1.3674
2020-01-10,1.0341
2020-01-11,1.332
2020-01-12,0.8876
2020-01-13,0.9416
2020-01-14,1.0095
2020-01-15,1.6168
2020-01-16,1.3101
2020-01-17,1.2825
2020-01-18,1.4755
2020-01-19,1.6001
2020-01-20,1.5327
2020-01-21,1.3385
2020-01-22,0.8761
2020-01-23,1.1794
2020-01-24,1.3078
2020-01-25,0.9415
2020-01-26,1.1315
2020-01-27,1.3851
2020-01-28,1.9865
2020-01-29,1.6556
2020-01-30,1.217
2020-01-31,0.6182
2020-02-01,1.6677
2020-02-02,1.4414
2020-02-03,0.7347
2020-02-04,0.9561
2020-02-05,1.6926
2020-02-06,0.7935
2020-02-07,1.585
2020-02-08,1.4433
2020-02-09,0.8352
2020-02-10,1.0258
2020-02-11,0.6734
2020-02-12,1.0955
2020-02-13,1.8457
2020-02-14,1.6166
2020-02-15,1.5098
2020-02-16,1.0567
2020-02-17,1.1753
2020-02-18,1.3461
2020-02-19,1.2336
2020-02-20,1.2337
2020-02-21,1.2997
2020-02-22,0.9748
2020-02-23,1.4577
2020-02-24,1.5209
2020-02-25,1.5357
2020-02-26,1.3946
2020-02-27,1.3891
2020-02-28,1.1851
2020-02-29,1.2776
2020-03-01,0.3745
2020-03-02,1.535
2020-03-03,0.7766
2020-03-04,1.0943
2020-03-05,1.7028
2020-03-06,1.0551
2020-03-07,1.1761
2020-03-08,0.8859
2020-03-09,0.9639
2020-03-10,1.487
2020-03-11,0.825
2020-03-12,1.8793
2020-03-13,0.8694
2020-03-14,1.0979
2020-03-15,1.2906
2020-03-16,1.7346
2020-03-17,0.96
2020-03-18,1.6888
2020-03-19,1.6577
2020-03-20,1.279
2020-03-21,0.955
2020-03-22,1.2441
2020-03-23,1.1403
2020-03-24,0.7397
2020-03-25,1.3317
2020-03-26,1.6821
2020-03-27,1.3181
2020-03-28,0.9245
2020-03-29,1.0895
2020-03-30,0.9877
2020-03-31,1.7155
2020-04-01,1.1147
2020-04-02,0.747
2020-04-03,1.3715
2020-04-04,0.9179
2020-04-05,1.2019
2020-04-06,1.7141
2020-04-07,1.1847
2020-04-08,1.0813
2020-04-09,1.225
2020-04-10,0.749
2020-04-11,0.9677
2020-04-12,1.0823
2020-04-13,0.8283
2020-04-14,1.2029
2020-04-15,1.0269
2020-04-16,0.5006
2020-04-17,0.6694
2020-04-18,1.4293
2020-04-19,1.4676
2020-04-20,1.4824
2020-04-21,1.42
2020-04-22,1.2512
2020-04-23,1.9926
2020-04-24,1.0939
2020-04-25,1.1774
2020-04-26,1.1422
2020-04-27,1.2022
2020-04-28,1.4549
2020-04-29,1.3775
2020-04-30,1.812
2020-05-01,1.2989
2020-05-02,1.397
2020-05-03,1.0345
2020-05-04,0.6617
2020-05-05,0.6628
2020-05-06,1.3639
2020-05-07,1.1767
2020-05-08,0.818
2020-05-09,1.1965
2020-05-10,0.8682
2020-05-11,0.5997
2020-05-12,1.5988
