datetime,value
1990-01-01,40.7
1990-01-02,45.0
1990-01-03,43.7
1990-01-04,40.3
1990-01-05,42.3
1990-01-06,46.8
1990-01-07,38.8
1990-01-08,42.9
1990-01-09,46.4
1990-01-10,42.2
1990-01-11,42.7
1990-01-12,43.9
1990-01-13,47.2
1990-01-14,43.0
1990-01-15,43.5
1990-01-16,43.6
1990-01-17,48.9
1990-01-18,48.9
1990-01-19,46.6
1990-01-20,45.5
1990-01-21,46.2
1990-01-22,47.8
1990-01-23,42.9
1990-01-24,47.2
1990-01-25,42.4
1990-01-26,43.6
1990-01-27,46.8
1990-01-28,42.1
1990-01-29,44.7
1990-01-30,43.3
1990-01-31,44.5
1990-02-01,39.4
1990-02-02,41.5
1990-02-03,43.6
1990-02-04,46.8
1990-02-05,44.6
1990-02-06,45.0
1990-02-07,46.3
1990-02-08,43.1
1990-02-09,45.4
1990-02-10,43.2
1990-02-11,41.3
1990-02-12,44.0
1990-02-13,45.8
1990-02-14,45.3
1990-02-15,44.5
1990-02-16,49.3
1990-02-17,45.3
1990-02-18,46.3
1990-02-19,48.8
1990-02-20,41.6
1990-02-21,42.0
1990-02-22,47.5
1990-02-23,42.3
1990-02-24,43.9
1990-02-25,45.9
1990-02-26,45.4
1990-02-27,47.0
1990-02-28,46.4
1990-03-01,45.4
1990-03-02,41.6
1990-03-03,44.6
1990-03-04,43.5
1990-03-05,40.1
1990-03-06,45.5
1990-03-07,44.1
1990-03-08,42.4
1990-03-09,41.7
1990-03-10,39.7
1990-03-11,42.3
1990-03-12,42.7
1990-03-13,39.9
1990-03-14,43.7
1990-03-15,39.1
1990-03-16,36.8
1990-03-17,43.0
1990-03-18,39.9
1990-03-19,40.3
1990-03-20,38.7
1990-03-21,37.0
1990-03-22,42.5
1990-03-23,38.4
1990-03-24,42.9
1990-03-25,41.0
1990-03-26,38.5
1990-03-27,36.8
1990-03-28,37.3
1990-03-29,36.1
1990-03-30,42.5
1990-03-31,38.5
1990-04-01,40.2
