datetime,value
1990-01-01,38.9
1990-01-02,37.8
1990-01-03,39.5
1990-01-04,41.3
1990-01-05,37.9
1990-01-06,38.1
1990-01-07,41.8
1990-01-08,40.3
1990-01-09,37.9
1990-01-10,40.0
1990-01-11,38.1
1990-01-12,38.2
1990-01-13,39.7
1990-01-14,35.5
1990-01-15,35.9
1990-01-16,38.3
1990-01-17,37.5
1990-01-18,40.2
1990-01-19,37.8
1990-01-20,36.9
1990-01-21,42.7
1990-01-22,39.3
1990-01-23,40.0
1990-01-24,37.0
1990-01-25,38.8
1990-01-26,40.1
1990-01-27,37.6
1990-01-28,40.7
1990-01-29,38.8
1990-01-30,39.4
1990-01-31,38.8
1990-02-01,43.7
1990-02-02,40.0
1990-02-03,37.9
1990-02-04,41.6
1990-02-05,37.5
1990-02-06,40.4
1990-02-07,36.0
1990-02-08,37.2
1990-02-09,40.3
1990-02-10,41.3
1990-02-11,40.1
1990-02-12,39.5
1990-02-13,39.1
1990-02-14,36.7
1990-02-15,38.1
1990-02-16,38.6
1990-02-17,41.5
1990-02-18,40.0
1990-02-19,35.8
1990-02-20,39.9
1990-02-21,38.3
1990-02-22,37.7
1990-02-23,40.2
1990-02-24,40.9
1990-02-25,40.6
1990-02-26,37.0
1990-02-27,37.9
1990-02-28,39.1
1990-03-01,40.2
1990-03-02,37.2
1990-03-03,37.7
1990-03-04,35.7
1990-03-05,35.4
1990-03-06,39.3
1990-03-07,40.2
1990-03-08,37.2
1990-03-09,39.2
1990-03-10,37.8
1990-03-11,35.6
1990-03-12,37.5
1990-03-13,39.7
1990-03-14,36.3
1990-03-15,39.4
1990-03-16,30.8
1990-03-17,37.5
1990-03-18,35.9
1990-03-19,34.9
1990-03-20,35.5
1990-03-21,31.2
1990-03-22,34.5
1990-03-23,35.5
1990-03-24,37.5
1990-03-25,33.3
1990-03-26,32.6
1990-03-27,33.0
1990-03-28,35.6
1990-03-29,34.2
1990-03-30,32.3
1990-03-31,34.2
1990-04-01,33.1
1990-04-02,34.6
1990-04-03,31.1
1990-04-04,31.6
1990-04-05,31.2
1990-04-06,28.9
1990-04-07,32.1
1990-04-08,31.8
1990-04-09,31.1
1990-04-10,30.4
1990-04-11,27.8
1990-04-12,29.5
1990-04-13,29.4
1990-04-14,28.3
1990-04-15,29.3
1990-04-16,30.2
1990-04-17,32.9
1990-04-18,29.2
1990-04-19,29.2
1990-04-20,28.2
1990-04-21,24.3
1990-04-22,27.8
1990-04-23,27.8
1990-04-24,32.3
1990-04-25,26.7
1990-04-26,27.5
1990-04-27,26.5
1990-04-28,24.0
1990-04-29,28.4
1990-04-30,27.3
1990-05-01,27.2
1990-05-02,23.5
1990-05-03,27.9
1990-05-04,22.0
1990-05-05,25.7
1990-05-06,28.7
1990-05-07,22.1
1990-05-08,22.6
1990-05-09,23.7
1990-05-10,22.3
1990-05-11,19.9
1990-05-12,22.9
1990-05-13,20.4
1990-05-14,23.2
1990-05-15,20.1
1990-05-16,24.8
1990-05-17,19.9
1990-05-18,20.6
1990-05-19,22.6
1990-05-20,18.3
1990-05-21,20.9
1990-05-22,22.9
1990-05-23,16.8
1990-05-24,20.1
1990-05-25,20.0
1990-05-26,20.8
1990-05-27,16.6
1990-05-28,16.2
1990-05-29,19.6
1990-05-30,18.9
1990-05-31,18.6
1990-06-01,18.6
1990-06-02,16.3
1990-06-03,17.9
1990-06-04,17.8
1990-06-05,15.6
1990-06-06,20.5
1990-06-07,17.5
1990-06-08,14.0
1990-06-09,17.4
1990-06-10,14.0
1990-06-11,17.3
1990-06-12,17.8
1990-06-13,13.7
1990-06-14,17.1
1990-06-15,15.8
1990-06-16,16.4
1990-06-17,18.3
1990-06-18,13.9
1990-06-19,12.7
1990-06-20,12.2
1990-06-21,12.2
1990-06-22,13.5
1990-06-23,14.2
1990-06-24,13.9
1990-06-25,14.8
1990-06-26,13.0
1990-06-27,15.8
1990-06-28,12.2
1990-06-29,18.0
1990-06-30,13.7
1990-07-01,10.6
1990-07-02,10.0
1990-07-03,13.0
1990-07-04,11.4
1990-07-05,13.2
1990-07-06,12.6
1990-07-07,11.4
1990-07-08,9.7
1990-07-09,8.3
1990-07-10,10.3
1990-07-11,12.8
1990-07-12,11.4
1990-07-13,8.4
1990-07-14,11.2
1990-07-15,11.5
1990-07-16,8.9
1990-07-17,10.9
1990-07-18,10.6
1990-07-19,8.2
1990-07-20,11.1
1990-07-21,11.5
1990-07-22,12.5
1990-07-23,12.4
1990-07-24,7.4
1990-07-25,8.3
1990-07-26,11.2
1990-07-27,11.1
1990-07-28,11.1
1990-07-29,17.8
1990-07-30,11.2
1990-07-31,12.3
1990-08-01,11.9
1990-08-02,11.3
1990-08-03,9.4
1990-08-04,11.5
1990-08-05,8.5
1990-08-06,9.6
1990-08-07,9.1
1990-08-08,10.2
1990-08-09,14.7
1990-08-10,6.4
1990-08-11,11.5
1990-08-12,7.0
1990-08-13,9.3
1990-08-14,12.5
1990-08-15,10.5
1990-08-16,8.2
1990-08-17,9.0
1990-08-18,11.9
1990-08-19,9.1
1990-08-20,11.1
1990-08-21,10.8
1990-08-22,9.5
1990-08-23,15.2
1990-08-24,12.3
1990-08-25,7.1
1990-08-26,11.6
1990-08-27,10.0
1990-08-28,13.1
1990-08-29,9.9
1990-08-30,11.4
1990-08-31,12.8
1990-09-01,13.6
1990-09-02,9.6
1990-09-03,11.5
1990-09-04,11.3
1990-09-05,11.1
1990-09-06,16.1
1990-09-07,13.5
1990-09-08,10.3
1990-09-09,14.9
1990-09-10,17.4
1990-09-11,15.4
1990-09-12,10.5
1990-09-13,12.7
1990-09-14,16.4
1990-09-15,12.6
1990-09-16,15.1
1990-09-17,15.9
1990-09-18,12.7
1990-09-19,14.6
1990-09-20,8.4
1990-09-21,13.1
1990-09-22,14.8
1990-09-23,13.0
1990-09-24,19.0
1990-09-25,13.1
1990-09-26,15.3
1990-09-27,16.6
1990-09-28,19.4
1990-09-29,13.9
1990-09-30,19.3
1990-10-01,17.2
1990-10-02,15.5
1990-10-03,18.6
1990-10-04,18.3
1990-10-05,16.9
1990-10-06,18.5
1990-10-07,17.8
1990-10-08,19.0
1990-10-09,20.4
1990-10-10,22.4
1990-10-11,17.0
1990-10-12,24.0
1990-10-13,16.1
1990-10-14,19.9
1990-10-15,21.7
1990-10-16,21.3
1990-10-17,19.7
1990-10-18,20.8
1990-10-19,20.5
1990-10-20,20.6
1990-10-21,23.7
1990-10-22,23.0
1990-10-23,21.1
1990-10-24,24.5
1990-10-25,23.6
1990-10-26,24.9
1990-10-27,24.8
1990-10-28,22.1
1990-10-29,22.9
1990-10-30,25.8
1990-10-31,25.8
1990-11-01,24.8
1990-11-02,25.3
1990-11-03,27.9
1990-11-04,24.4
1990-11-05,26.9
1990-11-06,25.7
1990-11-07,25.9
1990-11-08,28.8
1990-11-09,28.5
1990-11-10,28.8
1990-11-11,30.0
1990-11-12,27.7
1990-11-13,29.3
1990-11-14,27.5
1990-11-15,29.0
1990-11-16,28.4
1990-11-17,29.1
1990-11-18,30.3
1990-11-19,27.8
