datetime,value
1990-01-01,38363
1990-01-02,39367
1990-01-03,37010
1990-01-04,39107
1990-01-05,39342
1990-01-06,34573
1990-01-07,39183
1990-01-08,35586
1990-01-09,41976
1990-01-10,37488
1990-01-11,39642
1990-01-12,41448
1990-01-13,37107
1990-01-14,37333
1990-01-15,38084
1990-01-16,42829
1990-01-17,36930
1990-01-18,39188
1990-01-19,39478
1990-01-20,39360
1990-01-21,39514
1990-01-22,38384
1990-01-23,37809
1990-01-24,39073
1990-01-25,35616
1990-01-26,43442
1990-01-27,38396
1990-01-28,38904
1990-01-29,38393
1990-01-30,40575
1990-01-31,37554
1990-02-01,36862
1990-02-02,40798
1990-02-03,39900
1990-02-04,38148
1990-02-05,42202
1990-02-06,40339
1990-02-07,40470
1990-02-08,38133
1990-02-09,37662
1990-02-10,39387
1990-02-11,37714
1990-02-12,39395
1990-02-13,40795
1990-02-14,41252
1990-02-15,39312
1990-02-16,39198
1990-02-17,39577
1990-02-18,39402
1990-02-19,37045
1990-02-20,35750
1990-02-21,40897
1990-02-22,38155
1990-02-23,37654
1990-02-24,39695
1990-02-25,40399
1990-02-26,40804
1990-02-27,38247
1990-02-28,35595
1990-03-01,40610
1990-03-02,36187
1990-03-03,38259
1990-03-04,36825
1990-03-05,39017
1990-03-06,43460
1990-03-07,40842
1990-03-08,38347
1990-03-09,36666
1990-03-10,38254
1990-03-11,36692
1990-03-12,36553
1990-03-13,39556
1990-03-14,35717
1990-03-15,38637
1990-03-16,36456
1990-03-17,35711
1990-03-18,35445
1990-03-19,35902
1990-03-20,35680
1990-03-21,33371
1990-03-22,36183
1990-03-23,37724
1990-03-24,36493
1990-03-25,34682
1990-03-26,36302
1990-03-27,32504
1990-03-28,32379
1990-03-29,31680
1990-03-30,31484
1990-03-31,31452
1990-04-01,32967
1990-04-02,32417
1990-04-03,31633
1990-04-04,33484
1990-04-05,31587
1990-04-06,33893
1990-04-07,34731
1990-04-08,30276
1990-04-09,34864
1990-04-10,30410
1990-04-11,30433
1990-04-12,31924
1990-04-13,26897
1990-04-14,27400
1990-04-15,29373
1990-04-16,29224
1990-04-17,25646
1990-04-18,30014
1990-04-19,27594
1990-04-20,28965
1990-04-21,27095
1990-04-22,30388
1990-04-23,25976
1990-04-24,25613
1990-04-25,23250
1990-04-26,26836
1990-04-27,28136
1990-04-28,29368
1990-04-29,26037
1990-04-30,26813
1990-05-01,23884
1990-05-02,26690
1990-05-03,26468
1990-05-04,25293
1990-05-05,22466
1990-05-06,22026
1990-05-07,25628
1990-05-08,20198
1990-05-09,26561
1990-05-10,20110
1990-05-11,24413
1990-05-12,18642
1990-05-13,23112
1990-05-14,24554
1990-05-15,23902
1990-05-16,25380
1990-05-17,25178
1990-05-18,20529
1990-05-19,17915
1990-05-20,20206
1990-05-21,17362
1990-05-22,21000
1990-05-23,17638
1990-05-24,18383
1990-05-25,17302
1990-05-26,18685
1990-05-27,18986
1990-05-28,19362
1990-05-29,21678
1990-05-30,18769
1990-05-31,18429
1990-06-01,18472
1990-06-02,21454
1990-06-03,21101
1990-06-04,16811
1990-06-05,17598
1990-06-06,16485
1990-06-07,17007
1990-06-08,16605
1990-06-09,18188
1990-06-10,16153
1990-06-11,19911
1990-06-12,17882
1990-06-13,15079
1990-06-14,13765
1990-06-15,16193
1990-06-16,19978
1990-06-17,13619
1990-06-18,15600
1990-06-19,17508
1990-06-20,15667
1990-06-21,13982
1990-06-22,13645
1990-06-23,12687
1990-06-24,10131
1990-06-25,13447
1990-06-26,11958
1990-06-27,13437
1990-06-28,13323
1990-06-29,9575
1990-06-30,11289
1990-07-01,13601
1990-07-02,13620
1990-07-03,9456
1990-07-04,12832
1990-07-05,12776
1990-07-06,9441
1990-07-07,11655
1990-07-08,10715
1990-07-09,9216
1990-07-10,9810
1990-07-11,12517
1990-07-12,10246
1990-07-13,7830
1990-07-14,12325
1990-07-15,10985
1990-07-16,7879
1990-07-17,7394
1990-07-18,9904
1990-07-19,9334
1990-07-20,9652
1990-07-21,11017
1990-07-22,10455
1990-07-23,7635
1990-07-24,10562
1990-07-25,11104
1990-07-26,13083
1990-07-27,9681
1990-07-28,12677
1990-07-29,8520
1990-07-30,6527
1990-07-31,11456
1990-08-01,7757
1990-08-02,11698
1990-08-03,8049
1990-08-04,11195
1990-08-05,11221
1990-08-06,10479
1990-08-07,9231
1990-08-08,7288
1990-08-09,10877
1990-08-10,9114
1990-08-11,9555
1990-08-12,11613
1990-08-13,6090
1990-08-14,9312
1990-08-15,11262
1990-08-16,11230
1990-08-17,7544
1990-08-18,12289
1990-08-19,10227
1990-08-20,14800
1990-08-21,12258
1990-08-22,12695
1990-08-23,12180
1990-08-24,7466
1990-08-25,11752
1990-08-26,11350
1990-08-27,7473
1990-08-28,9720
1990-08-29,10613
1990-08-30,10458
1990-08-31,9939
1990-09-01,10783
1990-09-02,9444
1990-09-03,15644
1990-09-04,10620
1990-09-05,10860
1990-09-06,11793
1990-09-07,11633
1990-09-08,9164
1990-09-09,12366
1990-09-10,9378
1990-09-11,13012
1990-09-12,12267
1990-09-13,14555
1990-09-14,14136
1990-09-15,16421
1990-09-16,12708
1990-09-17,13334
1990-09-18,18425
1990-09-19,19071
1990-09-20,15476
1990-09-21,15041
1990-09-22,14112
1990-09-23,13632
1990-09-24,14047
1990-09-25,14324
1990-09-26,15088
1990-09-27,15466
1990-09-28,15852
1990-09-29,17913
1990-09-30,15458
1990-10-01,14377
1990-10-02,18229
1990-10-03,17140
1990-10-04,18572
1990-10-05,15793
1990-10-06,15275
1990-10-07,16531
1990-10-08,19690
1990-10-09,17343
1990-10-10,18469
1990-10-11,20914
1990-10-12,18122
1990-10-13,18861
1990-10-14,20817
1990-10-15,22574
1990-10-16,19701
1990-10-17,21320
1990-10-18,25495
1990-10-19,19145
1990-10-20,21823
1990-10-21,24616
1990-10-22,21698
1990-10-23,21626
1990-10-24,21297
1990-10-25,23610
1990-10-26,25802
1990-10-27,24132
1990-10-28,27286
1990-10-29,24901
1990-10-30,26269
1990-10-31,28448
1990-11-01,20886
1990-11-02,22605
1990-11-03,23405
1990-11-04,23482
1990-11-05,29798
1990-11-06,26146
1990-11-07,28406
1990-11-08,27060
1990-11-09,26959
1990-11-10,22356
1990-11-11,25195
1990-11-12,25681
1990-11-13,23993
1990-11-14,33086
1990-11-15,27363
1990-11-16,26286
1990-11-17,29740
1990-11-18,29241
1990-11-19,27502
1990-11-20,28671
1990-11-21,32097
1990-11-22,31315
1990-11-23,30596
1990-11-24,31269
1990-11-25,31182
1990-11-26,26781
1990-11-27,33222
1990-11-28,30413
1990-11-29,32245
1990-11-30,31269
1990-12-01,32952
1990-12-02,29254
1990-12-03,34474
1990-12-04,34407
1990-12-05,30167
1990-12-06,34123
1990-12-07,32760
1990-12-08,33504
1990-12-09,31866
1990-12-10,34083
1990-12-11,32283
1990-12-12,34124
1990-12-13,34982
1990-12-14,35622
1990-12-15,34627
1990-12-16,33198
1990-12-17,34492
1990-12-18,35060
1990-12-19,31635
1990-12-20,40145
1990-12-21,36973
1990-12-22,37835
1990-12-23,40417
1990-12-24,34507
1990-12-25,38570
1990-12-26,40532
1990-12-27,40441
1990-12-28,36582
1990-12-29,38725
1990-12-30,35534
1990-12-31,36389
