datetime,value
2007-01-10,0.02
2007-02-07,0.02
2007-03-07,0.02
2009-01-28,0.0028
2009-02-09,0.0028
2009-03-09,0.0028
2009-04-14,0.0036
2009-05-12,0.005
2009-06-08,0.005
2009-07-01,0.005
2009-08-10,0.005
2009-09-07,0.005
2009-10-01,0.005
2009-11-24,0.005
2009-12-22,0.005
2017-01-09,0.0005
2017-02-01,0.0005
2017-03-13,0.0005
2017-04-24,0.0005
2017-05-22,0.0005
2017-06-19,0.0005
2017-07-10,0.0005
2017-08-16,0.0005
2017-09-04,0.0005
2017-09-04,0.3
2017-10-16,0.0005
2017-11-06,0.0005
2017-12-18,0.0005
2018-01-08,0.0005
2018-02-12,0.0005
2018-03-05,0.0005
2018-04-16,0.0005
2018-05-02,0.0005
2018-06-12,0.0005
2018-07-09,0.3
2018-07-31,0.0005
2018-08-06,0.0005
2018-09-03,0.0005
2018-10-15,0.0005
2018-11-22,0.0005
2018-12-10,0.0005
2022-02-01,0.00015
2022-04-04,0.00015
2022-06-02,0.00015
2022-08-02,0.00015
2022-10-04,0.00015
2022-12-02,0.00015
2023-02-13,0.00015
2023-04-18,0.00015
2023-06-02,0.00015
2023-08-21,0.00015
2023-10-10,0.00015
2023-11-30,0.00015
2024-07-02,1.0
