cell_id,geology_key,fraction
0,2101,1.0
1,1241,1.0
2,2041,1.0
3,1341,1.0
4,1341,1.0
5,1241,1.0
6,1241,1.0
7,1241,1.0
8,2101,1.0
9,1341,1.0
10,1701,1.0
11,1241,1.0
12,1241,1.0
13,2101,1.0
14,1981,1.0
15,1561,1.0
16,1241,1.0
17,1241,1.0
18,1241,1.0
19,1241,1.0
20,1241,1.0
21,2041,0.07142857142857142
21,1421,0.9285714285714286
22,1381,0.5
22,1241,0.4642857142857143
22,1561,0.03571428571428571
23,1241,1.0
24,1241,1.0
25,2041,0.9285714285714286
25,1321,0.07142857142857142
26,2101,1.0
27,1341,1.0
28,1341,1.0
29,1241,1.0
30,2041,1.0
31,1561,1.0
32,1981,0.9285714285714286
32,2201,0.07142857142857142
33,1241,0.03571428571428571
33,1561,0.9642857142857143
34,2041,0.03571428571428571
34,1341,0.9642857142857143
35,2041,0.14285714285714285
35,1341,0.7142857142857143
35,1321,0.14285714285714285
36,2041,1.0
37,1341,1.0
38,1321,0.6071428571428571
38,21,0.39285714285714285
39,2041,0.03571428571428571
39,1341,0.9642857142857143
40,1321,1.0
41,1241,1.0
42,2101,1.0
43,2101,1.0
44,1981,0.9285714285714286
44,2201,0.07142857142857142
45,1701,0.9642857142857143
45,1421,0.03571428571428571
46,2041,1.0
47,1241,1.0
48,1241,1.0
49,2041,0.03571428571428571
49,1321,0.9642857142857143
50,1621,0.6071428571428571
50,2041,0.21428571428571427
50,1561,0.17857142857142858
51,1421,1.0
52,1241,0.9642857142857143
52,1561,0.03571428571428571
53,1561,1.0
54,1421,1.0
55,1321,0.5
55,1241,0.5
56,1241,1.0
57,1241,1.0
58,1701,0.9642857142857143
58,1641,0.03571428571428571
59,2041,1.0
60,1641,1.0
61,1641,1.0
62,1701,1.0
63,2121,1.0
64,2121,0.03571428571428571
64,2101,0.17857142857142858
64,1641,0.7857142857142857
65,1421,1.0
66,1421,1.0
67,1621,0.5714285714285714
67,2041,0.32142857142857145
67,1561,0.10714285714285714
68,2041,1.0
69,2061,0.5714285714285714
69,2121,0.42857142857142855
70,1561,1.0
71,1421,1.0
72,1641,1.0
73,1381,0.6785714285714286
73,1481,0.32142857142857145
74,1981,0.7857142857142857
74,2201,0.21428571428571427
75,1421,1.0
76,2101,1.0
77,1241,1.0
78,1561,1.0
79,2041,0.5
79,1321,0.10714285714285714
79,1561,0.39285714285714285
80,1241,1.0
81,2101,1.0
82,1241,1.0
83,1641,1.0
84,1241,1.0
85,1241,1.0
86,2041,0.8928571428571429
86,1321,0.10714285714285714
87,2041,0.39285714285714285
87,1321,0.6071428571428571
88,1641,1.0
89,1321,1.0
90,2041,0.14285714285714285
90,1321,0.7857142857142857
90,1561,0.07142857142857142
91,2101,1.0
92,2101,1.0
93,1241,1.0
94,1241,1.0
95,2041,0.17857142857142858
95,1321,0.8214285714285714
96,1701,1.0
97,1321,0.17857142857142858
97,1561,0.8214285714285714
98,2101,1.0
99,1321,1.0
100,1341,1.0
101,1381,0.6428571428571429
101,1561,0.35714285714285715
102,1701,1.0
103,1381,1.0
104,1341,1.0
105,2041,0.6785714285714286
105,1341,0.32142857142857145
106,1701,1.0
107,1641,0.9642857142857143
107,2081,0.03571428571428571
108,2101,1.0
109,1241,1.0
110,2101,1.0
111,1241,1.0
112,2041,0.8928571428571429
112,1701,0.10714285714285714
113,1241,1.0
114,1,0.5
114,1701,0.5
115,2121,1.0
116,2041,1.0
117,2041,1.0
118,2101,1.0
119,1421,1.0
120,1421,0.9642857142857143
120,1981,0.03571428571428571
121,1241,1.0
122,1641,1.0
123,1241,1.0
124,2041,1.0
125,1641,1.0
126,1241,1.0
127,1701,0.9642857142857143
127,21,0.03571428571428571
128,1241,1.0
129,1321,1.0
130,1241,1.0
131,1241,1.0
132,1241,1.0
133,1241,1.0
134,1241,1.0
135,1241,1.0
136,1341,1.0
137,2101,1.0
138,2101,1.0
139,2101,1.0
140,1641,0.07142857142857142
