cell_id,geom_type,n0,n1,n2,n3,centroid_x,centroid_y,area_m2,z_top_centroid,z_top_mean,z_bottom_centroid,z_bottom_mean,geology_code,geology_key,hydraulic_conductivity_m_s,storage_coefficient
0,triangle,8451,11182,10805,,234400.8112136229,6843987.6862117825,1626996.6049804688,262.3523571578748,217.31619130226557,212.35235715787476,167.31619130226557,14,2121,9.777164396181787e-06,
1,triangle,10805,11182,9051,,233271.75667509227,6843325.60748002,2258928.939453125,221.91782258895017,208.5898869740338,171.91782258895014,158.5898869740338,14,2121,8.885821980908928e-06,
2,triangle,10972,11585,7289,,220298.08411379543,6850173.006013564,2219937.6196289062,210.27322984858216,175.62688559298297,160.27322984858213,125.62688559298299,37,1421,1e-05,
3,triangle,7993,11017,8744,,228616.63532310477,6835515.781385672,68884.61083984375,275.2996862200438,268.16186023053916,225.29968622004378,218.1618602305392,17,2101,3.76060309309e-06,
4,triangle,8094,8197,7908,,227139.3039176768,6819857.533359699,216519.8701171875,185.97283378526208,182.38504514954744,135.97283378526208,132.3850451495475,38,1241,4.309e-06,
5,triangle,8355,13014,7015,,203030.22843773974,6839108.562237427,50662.19091796875,174.8501506649416,174.77293317612214,124.85015066494161,124.77293317612214,18,2041,4.30886938006e-06,
6,triangle,11236,11425,7248,,176442.11535824506,6812839.272143363,2199282.5756835938,12.886029355916712,40.3217408340507,-37.11397064408329,-9.678259165949298,38,1241,4.309e-06,
7,triangle,4336,11065,4337,,228474.82830949905,6816760.0841013305,7303.03857421875,203.49929201150974,204.28612829220648,153.49929201150977,154.28612829220648,38,1241,4.309e-06,
8,triangle,7165,10740,8635,,206076.43886556217,6842187.503676716,305348.9587402344,234.032202948281,230.99326136876212,184.032202948281,180.99326136876212,37,1421,1.0000000000000003e-05,
9,triangle,436,11241,435,,229150.9526853564,6832578.406717728,8820.75537109375,234.6487153883936,223.92876594333055,184.6487153883936,173.9287659433306,17,2101,3.76060309309e-06,
10,triangle,9840,9842,8023,,229600.69648735385,6824164.03320264,66075.98291015625,253.11631626094143,251.76553237275198,203.1163162609414,201.76553237275198,32,1341,1e-05,
11,triangle,11022,13186,11399,,212298.78648942205,6815763.82931219,290902.3308105469,123.19198962500897,128.0047451412399,73.19198962500896,78.00474514123987,38,1241,4.309e-06,
12,triangle,1330,11316,1329,,213952.01483111794,6811368.847711158,7972.0361328125,122.44822313844125,118.44407274706155,72.44822313844124,68.44407274706155,38,1241,4.309e-06,
13,triangle,6111,8948,6112,,215689.00971146757,6831347.119940937,10337.59912109375,163.40072420396103,163.6114158826791,113.40072420396103,113.61141588267908,17,2101,3.76060309309e-06,
14,triangle,7251,10812,7250,,175758.50095525268,6818439.423499972,2247993.949951172,96.02246532979859,72.03095781551146,46.02246532979861,22.030957815511456,38,1241,4.309e-06,
15,triangle,7785,10887,7786,,192087.91653085034,6834709.897664376,228217.97583007812,363.02707631987664,348.0134533188222,313.0270763198766,298.0134533188222,59,1641,6.32455532034e-06,
16,triangle,9123,12767,8359,,202471.51625513518,6819075.826711443,130477.69873046875,129.12919087069068,129.07409272469852,79.12919087069066,79.07409272469852,38,1241,4.309e-06,
17,triangle,7885,13186,11022,,212243.82152780108,6816130.734836881,231720.7197265625,128.3935974088244,123.53059835282765,78.39359740882439,73.53059835282762,38,1241,4.309e-06,
18,triangle,7248,11425,7247,,175709.39852612384,6812124.309058677,2100029.0407714844,45.39057643374911,19.696899379624664,-4.609423566250888,-30.303100620375332,38,1241,4.309e-06,
19,triangle,1215,10746,1214,,205742.79072009752,6811532.237631098,6436.0439453125,75.36483910119652,72.6219668844055,25.364839101196523,22.6219668844055,38,1241,4.309e-06,
20,triangle,4862,10748,4861,,197003.25822311058,6820252.055989225,5991.55029296875,125.5944756612694,124.44834314309928,75.59447566126943,74.44834314309927,38,1241,4.309e-06,
21,triangle,4864,10748,4863,,197003.25822311058,6820352.055989225,5991.550048828125,125.45287754238615,124.24834365172558,75.45287754238615,74.24834365172556,38,1241,4.309e-06,
22,triangle,8478,11426,9253,,202589.15038241528,6837451.690180807,98481.2001953125,191.362464011731,179.04523990394796,141.362464011731,129.04523990394796,59,1641,6.32455532034e-06,
23,triangle,11479,13308,10808,,181764.73339537694,6815408.818830378,2084111.427734375,91.5042572799216,115.15996048222446,41.5042572799216,65.15996048222448,38,1241,4.309e-06,
24,triangle,8638,11089,10821,,195603.29091473608,6814954.497564197,448023.4318847656,150.4144336743455,143.93438860955902,100.41443367434552,93.93438860955904,38,1241,4.309e-06,
25,triangle,10222,13336,9145,,180425.53712074112,6825471.156653255,1700617.5,217.09141009755007,202.75336323986542,167.09141009755004,152.75336323986542,59,1641,6.32455532034e-06,
26,triangle,11196,12840,7939,,217580.02868528143,6820649.187168674,199480.49267578125,157.61344343335517,145.35762142698002,107.61344343335516,95.35762142698002,38,1241,4.309e-06,
27,triangle,7332,11108,10893,,230792.3196528914,6796848.483238943,2715370.0141601562,176.42602987759457,191.51182034922135,126.42602987759454,141.51182034922135,33,1321,1e-05,
28,triangle,10535,10798,4560,,200348.44784057597,6817149.570788165,13462.275390625,133.74369325827737,134.9515150157977,83.74369325827739,84.95151501579771,38,1241,4.309e-06,
29,triangle,7805,7804,7812,,201545.46044409004,6837977.708669096,131895.54321289062,228.105344568277,224.99251268399178,178.10534456827702,174.99251268399178,30,1701,7.293526734641428e-06,
30,triangle,6809,8456,6808,,222200.19794941158,6833711.375132351,12507.43310546875,189.57168861933894,181.84891538404122,139.57168861933894,131.84891538404122,17,2101,3.76060309309e-06,
31,triangle,8763,11163,11074,,230724.34831104628,6830566.909668696,233167.75830078125,231.1001230868148,250.66881638082768,181.1001230868148,200.66881638082768,32,1341,1e-05,
32,triangle,11074,11163,7895,,231085.215857363,6830373.547559611,243868.640625,237.83686830493363,257.8014274545833,187.83686830493366,207.8014274545833,32,1341,1e-05,
33,triangle,8038,9237,7908,,227573.51395010625,6819391.4511632165,225453.51806640625,173.8019044703151,180.55817608037114,123.80190447031508,130.55817608037117,38,1241,4.309e-06,
34,triangle,11876,13114,692,,205051.3369312786,6838826.610785511,51523.25927734375,188.62348024304765,190.139750643974,138.62348024304765,140.13975064397394,18,2041,4.30886938006e-06,
35,triangle,7795,13072,7796,,190167.670130442,6835459.778279926,292820.2734375,259.6706860842275,269.65247438153466,209.6706860842275,219.6524743815347,30,1701,7.36806299728e-06,
36,triangle,5067,10583,8646,,231458.9625762792,6822988.70967256,14959.57568359375,257.79501267989554,255.76159666218368,207.79501267989556,205.76159666218368,32,1341,1e-05,
37,triangle,10821,11751,11204,,194076.3516144237,6815236.533333943,2185404.879638672,135.21158680913888,148.2229057444876,85.21158680913891,98.2229057444876,38,1241,4.309e-06,
38,triangle,7329,12566,11727,,236894.543079284,6796488.763292063,2077084.6069335938,161.87344788863388,171.95607288085367,111.87344788863385,121.95607288085368,33,1321,1e-05,
39,triangle,3495,11386,3494,,201234.7637863818,6812371.687842761,6350.80810546875,57.678769229932996,59.97174628492578,7.678769229932987,9.971746284925777,38,1241,4.309e-06,
