edge_id,node_a,node_b,cell_a,cell_b,length_m,edge_kind,is_river,geology_a_key,geology_b_key
0,0,7038,11203,,2032.03125,boundary,False,2021,
1,0,7157,11770,,1982.5,boundary,False,21,
2,0,15949,11203,11770,1437.1614639769882,geology_interface,False,2021,21
3,1,7068,5624,,2032.03125,boundary,False,21,
4,1,7069,5573,,1982.5,boundary,False,1,
5,1,14751,5573,5624,2234.24505315437,geology_interface,False,1,21
6,2,7097,5917,,1982.5,boundary,False,801,
7,2,7098,5945,,2032.03125,boundary,False,801,
8,2,14798,5917,5945,2207.5807541075355,internal,False,801,801
9,3,7128,5340,,2032.03125,boundary,False,21,
10,3,7129,5283,,1982.5,boundary,False,2021,
11,3,14712,5283,5340,2174.239593800957,geology_interface,False,2021,21
12,4,5,6059,35900,75.0,internal,True,2021,2021
13,4,21,35900,35901,167.70509831248424,internal,False,2021,2021
14,4,22,1106,35901,106.06601717798213,internal,True,2021,2021
15,4,11088,1106,14534,244.7233666074033,internal,False,2021,2021
16,4,11124,6059,14534,187.79000860256784,internal,False,2021,2021
17,5,6,6775,35897,49.32809245400131,internal,True,2021,2021
18,5,21,35900,35902,212.13203435596427,internal,False,2021,2021
19,5,7158,35897,35902,244.24539272693545,internal,False,2021,2021
20,5,11124,6059,6775,187.79000860256784,internal,False,2021,2021
21,6,6948,4659,10869,257.5930930439112,geology_interface,False,1841,2021
22,6,7158,6417,35897,257.53178149365283,geology_interface,False,1841,2021
23,6,11124,6775,10869,203.46487404501326,internal,False,2021,2021
24,6,12963,4659,12972,292.1566675124264,internal,False,1841,1841
25,6,13771,6417,12972,272.03268344028396,internal,False,1841,1841
26,7,13,35883,35886,78.05974444944512,internal,False,2021,2021
27,7,14,35878,35886,86.13420575268057,internal,False,2021,2021
28,7,15,35878,35898,121.3621036263016,internal,False,2021,2021
29,7,7159,6598,35898,257.53178149365283,geology_interface,False,1841,2021
30,7,7160,14030,35884,195.40404821691945,geology_interface,False,1841,2021
