edge_id,node_a,node_b,cell_a,cell_b,length_m,edge_kind,is_river,geology_a_key,geology_b_key
0,0,743,839,,1883.333333333023,boundary,False,1851,
1,0,776,828,,1972.5,boundary,False,1851,
2,0,1574,828,839,1923.0262293063563,internal,False,1851,1851
3,1,750,1100,,1883.333333333023,boundary,False,1441,
4,1,751,1053,,1972.5,boundary,False,1441,
5,1,1644,1053,1100,1439.8679211244673,internal,False,1441,1441
6,2,759,64,,1972.5,boundary,False,1681,
7,2,760,27,,1883.333333333023,boundary,False,1841,
8,2,1381,27,64,2668.4837354540273,geology_interface,False,1841,1681
9,3,767,937,,1883.333333333023,boundary,False,1561,
10,3,768,898,,1972.5,boundary,False,1561,
11,3,1615,898,937,1820.766520655464,internal,False,1561,1561
12,4,5,1530,2795,75.0,internal,True,1561,1561
13,4,92,978,2887,75.0,internal,True,1561,1561
14,4,321,2796,2888,75.0,internal,True,1561,1561
15,4,1083,978,2373,159.0990257669732,internal,False,1561,1561
16,4,1598,1530,2373,118.70485459667462,internal,False,1561,1561
17,4,1691,2795,2796,53.24397691557849,internal,False,1561,1561
18,4,1715,2887,2888,66.82967423892488,internal,False,1561,1561
19,5,6,516,2773,106.06601717798213,internal,True,1561,1561
20,5,1007,516,2221,182.52458735739535,internal,False,1561,1561
21,5,1598,1530,2221,118.23308997867204,internal,False,1561,1561
22,5,1679,2773,2791,95.60661587986472,internal,False,1561,1561
23,5,1691,2791,2795,57.76809864136788,internal,False,1561,1561
24,6,7,559,2694,75.0,internal,True,1561,1561
25,6,323,2688,2701,167.70509831248424,internal,False,1561,1561
26,6,1007,516,559,187.2472785903485,internal,False,1561,1561
27,6,1664,2688,2694,163.26558950018145,internal,False,1561,1561
28,6,1679,2701,2773,95.60661587986472,internal,False,1561,1561
29,7,8,560,2728,75.0,internal,True,1561,1561
30,7,1007,559,560,168.5742454074712,internal,False,1561,1561
31,7,1664,2694,2728,123.4246764606039,internal,False,1561,1561
32,8,9,770,2718,106.06601717798213,internal,True,1561,1561
33,8,1007,560,770,181.7223406461216,internal,False,1561,1561
34,8,1664,2728,2751,122.72590926111627,internal,False,1561,1561
35,8,1688,2718,2751,118.99760433255689,internal,False,1561,1561
36,9,10,466,2682,106.06601717798213,internal,True,1561,1561
37,9,1007,466,770,170.99168544351625,internal,False,1561,1561
38,9,1688,2682,2718,98.20342955855922,internal,False,1561,1561
39,10,11,1257,2697,106.06601717798213,internal,True,1561,1561
40,10,1007,466,1788,218.98242827159382,internal,False,1561,1561
41,10,1542,1257,1788,133.4598968144925,internal,False,1561,1561
42,10,1683,2697,2729,202.95391487892852,internal,False,1561,1561
43,10,1688,2682,2729,166.21491304103264,internal,False,1561,1561
44,11,12,230,2677,106.06601717798213,internal,True,1561,1561
45,11,1542,230,1257,125.15473611579976,internal,False,1561,1561
46,11,1683,2677,2697,207.4120667528166,internal,False,1561,1561
47,12,13,96,2685,106.06601717798213,internal,True,1561,1561
48,12,1065,1043,1140,318.85127442778844,internal,False,1561,1561
49,12,1348,96,1140,222.68645230030072,internal,False,1561,1561
50,12,1542,230,1043,189.77848109492274,internal,False,1561,1561
