cell_id,geom_type,n0,n1,n2,n3,centroid_x,centroid_y,area_m2,z_top_centroid,z_top_mean,z_bottom_centroid,z_bottom_mean,geology_code,geology_key,hydraulic_conductivity_m_s,storage_coefficient
0,triangle,65,785,64,,361599.07527122454,6951822.328861394,8738.00341796875,76.17421607939356,77.55916811830589,26.174216079393563,27.5591681183059,12,1841,7.95270728767e-06,
1,triangle,314,1278,313,,358994.1574291326,6947273.291235332,7587.974609375,84.33157328544638,86.3661566595368,34.33157328544638,36.36615665953681,12,1841,7.95270728767e-06,
2,triangle,487,1175,488,,359487.02876984124,6956452.405753967,7248.8837890625,101.88495439350876,102.09056209134553,51.884954393508764,52.09056209134554,65,1681,6.32455532034e-06,
3,triangle,1132,1222,650,,361480.6021508538,6956672.364249933,269964.119140625,136.39110020356253,134.000226132334,86.39110020356252,84.00022613233402,65,1681,6.32455532034e-06,
4,triangle,446,1102,447,,358706.2575809691,6951356.097076272,8419.443359375,46.68553031203682,46.939348758515045,-3.3144696879631734,-3.0606512414849596,12,1841,7.95270728767e-06,
5,triangle,854,1099,685,,360306.89752683305,6955850.0598821,145691.44091796875,141.69241400288243,141.14660648052208,91.69241400288243,91.14660648052205,65,1681,6.32455532034e-06,
6,triangle,663,1271,540,,360690.3910753051,6946817.109482519,107911.61474609375,105.25692438023691,102.67513638349646,55.25692438023691,52.67513638349647,52,1561,1.1469996450464645e-05,
7,triangle,610,1297,70,,362341.30224251753,6952524.766035396,28942.2021484375,107.26634756268781,107.37148246341712,57.26634756268783,57.37148246341712,65,1681,6.4408518894350004e-06,
8,triangle,368,1147,369,,360230.90058304946,6948433.249656543,7773.6845703125,76.98519023039307,76.95386001099034,26.985190230393073,26.953860010990343,12,1841,7.95270728767e-06,
9,triangle,435,1116,434,,361095.7408814168,6949321.494656,8522.29931640625,78.82583108532363,77.96778841678217,28.825831085323628,27.967788416782167,12,1841,7.95270728767e-06,
10,triangle,437,1116,436,,360995.7408814168,6949221.494656,8522.2998046875,74.2026048529473,74.66778790815586,24.202604852947296,24.667787908155862,12,1841,7.95270728767e-06,
11,triangle,158,763,157,,357297.29591836734,6952254.591836735,10429.208984375,55.04930975456441,47.74406298751635,5.049309754564414,-2.255937012483649,12,1841,7.95270728767e-06,
12,triangle,207,764,206,,355918.57126423664,6955191.450814742,12935.0166015625,81.97338934339008,82.66892177199385,31.97338934339009,32.66892177199386,6,1721,1.189207115e-05,
13,triangle,417,733,418,,360969.4889188995,6948722.0017614635,12207.29833984375,77.19266403726228,73.79199478991397,27.192664037262276,23.791994789913975,12,1841,7.95270728767e-06,
14,triangle,508,1322,790,,364045.5224953701,6956870.699455879,157079.43310546875,104.74253554856216,104.67168242362972,54.74253554856215,54.671682423629704,12,1841,7.95270728767e-06,
15,triangle,497,1391,821,,358529.98661107366,6944796.290106364,243873.09765625,107.92223901879369,113.46498118556838,57.92223901879369,63.46498118556837,18,2041,4.30886938006e-06,
16,triangle,679,1063,868,,355206.0237336922,6948134.084352952,258237.62548828125,73.5148296259381,72.76171192192112,23.514829625938106,22.76171192192113,12,1841,7.95270728767e-06,
17,triangle,785,858,525,,361686.71209737775,6951612.075779664,34656.79931640625,94.91530162422058,92.36379852667001,44.91530162422056,42.36379852667002,12,1841,7.95270728767e-06,
18,triangle,415,958,414,,359193.75,6951543.75,12656.25,45.18749928474426,45.20416673024496,-4.812500715255737,-4.795833269755046,12,1841,7.95270728767e-06,
