cell_id,geom_type,n0,n1,n2,n3,centroid_x,centroid_y,area_m2,z_top_centroid,z_top_mean,z_bottom_centroid,z_bottom_mean,geology_code,geology_key,hydraulic_conductivity_m_s,storage_coefficient
0,triangle,898,1342,1006,,412938.0013147059,6849602.1002377225,250856.85986328125,279.2009102636575,278.10999658449185,229.20091026365748,228.1099965844919,13,2061,1e-05,
1,triangle,754,1295,753,,404596.77495324146,6857726.617598783,8618.337890625,245.21288598358362,247.06896931644346,195.21288598358365,197.06896931644346,13,2061,1e-05,
2,triangle,997,1422,1318,,409514.97727412,6851412.596372419,36231.884765625,233.8146882103075,238.7169048738342,183.8146882103075,188.7169048738342,13,2061,1e-05,
3,triangle,1058,1161,979,,414907.673890251,6857357.781469591,165405.3720703125,306.2332289562839,311.42069504876935,256.23322895628394,261.42069504876935,13,2061,1e-05,
4,triangle,1161,1401,979,,414640.2324961776,6857248.581073525,136271.6982421875,302.3290078936473,307.67734169119797,252.32900789364732,257.677341691198,13,2061,1e-05,
5,triangle,774,1283,775,,418165.03665879666,6852893.612740851,85093.71728515625,279.25317122437457,285.5326586597437,229.2531712243746,235.5326586597437,13,2061,9.796745335002144e-06,
6,triangle,775,1447,774,,418137.2034569981,6852666.430077244,73125.9052734375,273.15873822104277,276.0929258390509,223.1587382210427,226.09292583905093,98,2021,4.918633375053572e-06,
7,triangle,1286,1336,916,,411265.3078281937,6859021.322043522,581336.7963867188,343.49992148690865,308.8176850037299,293.49992148690865,258.8176850037299,13,2061,1e-05,
8,triangle,797,1475,1070,,412556.23367713095,6848482.255592719,336360.40234375,275.58087911079275,270.2263213174548,225.58087911079275,220.2263213174548,98,2021,4.30886938006e-06,
9,triangle,1028,1503,1127,,405665.0565998406,6856885.777657893,20524.673828125,232.74081837838258,242.70393586100045,182.74081837838258,192.70393586100045,13,2061,1e-05,
10,triangle,783,1215,782,,410460.284098956,6848724.290334425,406554.67822265625,259.7819620625611,264.2739487897383,209.78196206256104,214.27394878973828,98,2021,4.418126294960715e-06,
11,triangle,76,1159,75,,414345.1842143301,6851878.320677023,8269.30078125,205.3232038111076,205.87843787695218,155.32320381110756,155.87843787695218,98,2021,4.30886938006e-06,
12,triangle,600,1197,599,,403751.8750875361,6851132.272910888,7830.2451171875,141.2042224899821,137.25647439430372,91.2042224899821,87.25647439430372,98,2021,4.30886938006e-06,
13,triangle,849,1270,186,,415255.7981198973,6856004.126271273,56634.5634765625,286.0303854591499,292.02785254411623,236.03038545914984,242.02785254411626,13,2061,1e-05,
14,triangle,911,982,779,,407948.3687783643,6851038.98156852,83940.5400390625,208.4920160837699,218.73608238555576,158.4920160837699,168.73608238555576,98,2021,4.30886938006e-06,
15,triangle,737,970,738,,404752.7686115967,6856710.452542249,5936.46923828125,186.93894710573716,182.91292961938703,136.93894710573716,132.91292961938703,13,2061,1e-05,
16,triangle,683,1028,682,,405898.278976323,6856703.026948139,5965.53125,237.53438859327878,233.5300285924396,187.5343885932788,183.5300285924396,13,2061,1e-05,
17,triangle,42,1268,41,,413222.4242826295,6850705.37638053,67068.8134765625,245.82494511616355,255.17431745655995,195.82494511616352,205.17431745655998,13,2061,9.593490670004288e-06,
18,triangle,750,1041,751,,404540.91569861927,6858016.270712531,9245.9716796875,266.0816511950825,266.67285208196654,216.0816511950825,216.67285208196654,13,2061,1e-05,
19,triangle,708,1282,1231,,410546.8478092567,6856896.992952615,100176.7236328125,288.9260358359959,296.01460829427884,238.9260358359959,246.01460829427887,13,2061,1e-05,
20,triangle,28,1016,27,,407228.1302266048,6853025.351317361,117770.529296875,170.9251636174533,182.70354285186144,120.92516361745331,132.7035428518614,13,2061,1e-05,
21,triangle,54,1284,53,,415995.5520402379,6851262.359937471,9827.9931640625,260.70582534752054,247.6438967028207,210.70582534752054,197.6438967028207,98,2021,4.30886938006e-06,
22,triangle,1405,1557,1029,,409036.0965139535,6858760.199639052,175060.17529296875,347.3214771335588,345.82725532270086,297.32147713355874,295.82725532270086,13,2061,1e-05,
23,triangle,818,1064,996,,419899.51183195185,6857103.846997465,1689290.6865234375,291.6686881341786,286.4324566083469,241.66868813417858,236.4324566083469,98,2021,4.30886938006e-06,
24,triangle,1215,1507,782,,410140.9451847135,6848624.982675023,199450.24658203125,261.7454919020656,255.88971734564768,211.74549190206562,205.88971734564768,98,2021,4.745897039662857e-06,
