edge_id,node_a,node_b,cell_a,cell_b,length_m,edge_kind,is_river,geology_a_key,geology_b_key
0,0,109,60,,1631.25,boundary,False,2021,
1,0,120,39,,1931.25,boundary,False,2021,
2,0,177,39,60,1263.992002051437,internal,False,2021,2021
3,1,111,28,,1631.25,boundary,False,801,
4,1,112,106,,1931.25,boundary,False,1701,
5,1,165,28,107,1656.3177910492414,internal,False,801,801
6,1,174,106,107,1687.0635425580938,geology_interface,False,1701,801
7,2,114,2,,1931.25,boundary,False,901,
8,2,115,1,,1631.25,boundary,False,2021,
9,2,158,1,2,2290.9488380491257,geology_interface,False,2021,901
10,3,117,26,,1631.25,boundary,False,1701,
11,3,118,104,,1931.25,boundary,False,1701,
12,3,162,25,104,1616.445704087238,internal,False,1701,1701
13,3,176,25,26,1269.0754952198815,internal,False,1701,1701
14,4,5,40,559,488.082984747471,internal,False,801,801
15,4,152,30,560,314.08509889719153,internal,False,1701,1701
16,4,159,30,40,753.802404968567,geology_interface,False,1701,801
17,4,203,409,519,180.2622500850699,internal,False,1701,1701
18,4,206,359,409,249.899979991996,internal,False,1701,1701
19,4,213,519,560,210.37578049067895,internal,False,1701,1701
20,4,286,359,559,264.9195289250395,geology_interface,False,1701,801
21,5,113,57,108,983.046921565802,internal,False,801,801
22,5,121,108,204,454.44774721604034,geology_interface,False,801,1701
23,5,159,40,57,838.0052088844398,internal,False,801,801
24,5,236,183,309,360.9455539074185,internal,False,1701,1701
25,5,250,183,204,428.55578842856517,internal,False,1701,1701
26,5,286,309,559,370.2153931224257,geology_interface,False,1701,801
27,6,112,15,109,1457.0151448155784,internal,False,1701,1701
28,6,121,109,179,478.11062163832406,internal,False,1701,1701
29,6,122,16,239,439.9714831391171,geology_interface,False,801,1701
30,6,155,15,70,780.2048095467117,geology_interface,False,1701,801
31,6,171,16,70,667.745213542155,internal,False,801,801
32,6,198,239,360,370.4916567173029,internal,False,1701,1701
33,6,247,179,360,305.24898143391914,internal,False,1701,1701
34,7,123,59,247,274.00431463873224,internal,False,801,801
35,7,124,58,245,290.59732376929287,internal,False,801,801
36,7,169,58,59,242.27246138434703,internal,False,801,801
37,7,207,219,247,239.30926722460225,internal,False,801,801
38,7,252,219,245,270.5108291773736,internal,False,801,801
39,8,125,54,333,290.59732376918356,internal,False,801,801
40,8,126,81,331,292.6620463876139,internal,False,801,801
41,8,165,6,81,524.1057837086572,internal,False,801,801
42,8,174,6,54,568.7530552207965,internal,False,801,801
43,8,291,331,333,302.9438448785489,internal,False,801,801
44,9,111,24,110,1110.195970963326,internal,False,801,801
45,9,126,56,116,292.66204638673486,internal,False,801,801
46,9,127,67,116,316.6442831383977,internal,False,801,801
47,9,165,24,56,727.3624152895283,internal,False,801,801
48,9,175,67,110,679.6633701304887,internal,False,801,801
49,10,128,33,289,316.6442831383977,geology_interface,False,1701,801
50,10,129,35,313,339.14813065237064,geology_interface,False,1701,801
51,10,154,33,35,921.4245844896624,internal,False,1701,1701
52,10,251,279,313,278.7773009182674,internal,False,801,801
53,10,252,279,289,320.94875284883324,internal,False,801,801
54,11,118,10,47,981.6287800549003,internal,False,1701,1701
55,11,137,7,258,338.5748094404838,internal,False,1701,1701
56,11,138,46,256,275.50802358185024,internal,False,1701,1701
57,11,162,46,47,738.2676553144753,internal,False,1701,1701
58,11,164,7,10,800.0498375821799,internal,False,1701,1701
59,11,245,256,258,328.71547097065087,internal,False,1701,1701
