datetime,value
2000-01-31,0.101602
2000-02-29,0.226928
2000-03-31,0.125594
2000-04-30,0.314153
2000-05-31,0.340642
2000-06-30,0.022074
2000-07-31,0.187256
2000-08-31,0.038877
2000-09-30,0.065388
2000-10-31,0.343918
2000-11-30,0.833791
2000-12-31,0.617433
2001-01-31,0.964756
2001-02-28,0.307328
2001-03-31,0.796528
2001-04-30,0.378953
2001-05-31,0.100792
2001-06-30,0.040924
2001-07-31,0.090048
2001-08-31,0.0531
2001-09-30,0.049036
2001-10-31,0.229411
2001-11-30,0.105038
2001-12-31,0.119975
2002-01-31,0.165453
2002-02-28,0.309266
2002-03-31,0.204136
2002-04-30,0.055289
2002-05-31,0.118364
2002-06-30,0.039016
2002-07-31,0.029166
2002-08-31,0.045112
2002-09-30,0.046675
2002-10-31,0.285208
2002-11-30,0.694463
2002-12-31,0.464804
