edge_id,node_a,node_b,cell_a,cell_b,length_m,edge_kind,is_river,geology_a_key,geology_b_key
0,0,10364,140,,4861.764705882408,boundary,False,,
1,0,10415,145,,4984.090909090883,boundary,False,,
2,0,10633,140,145,5725.127467551,internal,False,,
3,1,10379,119,,4861.764705882408,boundary,False,,
4,1,10380,122,,4984.090909090883,boundary,False,,
5,1,10631,119,122,5819.525465320696,internal,False,,
6,2,10389,272,,4984.090909090883,boundary,False,,
7,2,10390,275,,4861.764705882408,boundary,False,,
8,2,10667,272,275,5651.419659666296,internal,False,,
9,3,10405,341,,4861.764705882408,boundary,False,,
10,3,10406,327,,4984.090909090883,boundary,False,,
11,3,10684,327,341,3481.3042902567036,internal,False,,
12,4,235,461,37421,1114.055110459818,internal,False,,
13,4,10416,414,37422,1317.288458168254,internal,False,,
14,4,10555,453,461,1178.3047677299703,internal,False,,
15,4,10626,414,453,1534.985820312424,internal,False,,
16,4,11931,7198,37421,760.9372317048224,internal,False,,
17,4,12854,1005,7771,653.3552906681041,internal,False,,
18,4,16211,7198,7771,630.034468759516,internal,False,,
19,4,17677,1005,37422,841.4356183704515,internal,False,,
20,5,6,396,3737,1149.602648394997,internal,False,,
21,5,10187,1492,37423,1071.4029944989936,internal,False,,
22,5,10416,134,37423,1276.018926723978,internal,False,,
23,5,10516,221,301,3795.8505576556577,internal,False,,
24,5,10610,221,396,2074.842517975103,internal,False,,
25,5,10626,134,301,2445.669067687562,internal,False,,
26,5,18182,1492,3737,945.6324429210174,internal,False,,
27,6,7,606,37424,1727.7878859369755,internal,False,,
28,6,10545,534,606,1495.8085844728175,internal,False,,
29,6,10610,396,534,2318.861924942183,internal,False,,
30,6,17984,5027,37424,1029.4468790015328,internal,False,,
31,6,18182,3737,5027,1047.2077472573994,internal,False,,
32,7,8,706,1623,1257.2390385284732,internal,False,,
33,7,10139,1303,1431,1058.1883102737434,internal,False,,
34,7,10545,606,706,1595.5754209192035,internal,False,,
35,7,10958,1303,4184,1033.141812348388,internal,False,,
36,7,17719,1623,4184,852.3470725182445,internal,False,,
37,7,17984,1431,37424,956.5322206344865,internal,False,,
38,8,9,723,815,805.8669190443943,internal,False,,
39,8,10,815,2281,995.0,internal,False,,
40,8,10545,706,723,1411.2177764628377,internal,False,,
41,8,13700,2281,6079,762.5076206626276,internal,False,,
42,8,17719,1623,6079,847.7817616184176,internal,False,,
43,9,10,774,815,753.1142615205946,internal,False,,
44,9,10539,295,774,1102.2545520261867,internal,False,,
45,9,10545,295,723,1160.9763468244496,internal,False,,
46,10,11,776,3272,602.8831186614848,internal,False,,
47,10,10539,774,776,1195.2762460634544,internal,False,,
48,10,13700,2281,3714,933.6877063311078,internal,False,,
49,10,16247,3272,3714,841.3913476110329,internal,False,,
50,11,12,625,1565,1139.9051206742258,internal,False,,
51,11,10531,625,711,1471.1422274990568,internal,False,,
52,11,10539,711,776,1144.8357830897326,internal,False,,
53,11,16247,1565,3272,788.8340817612761,internal,False,,
54,12,13,694,2363,1006.2305898749054,internal,False,,
55,12,10075,1545,2030,836.9662478260399,internal,False,,
56,12,10531,625,694,1352.2754740754538,internal,False,,
57,12,11674,1545,2363,507.4182139039736,internal,False,,
58,12,16247,1565,2030,845.4990270169563,internal,False,,
59,13,10031,867,1295,969.4134824727785,internal,False,,
60,13,10417,687,3923,972.579680814828,internal,False,,
61,13,10531,687,694,1352.275474075299,internal,False,,
62,13,11240,3923,7739,694.1757226936497,internal,False,,
63,13,11241,7423,7739,831.8282603232169,internal,False,,
64,13,11674,867,2363,1090.8693648068072,internal,False,,
65,13,11965,1295,7423,825.1212032180484,internal,False,,
66,14,15,547,4862,748.6921304759909,internal,False,,
67,14,10417,421,2914,891.8683310809866,internal,False,,
68,14,10470,645,671,2870.898686864741,internal,False,,
69,14,10481,547,645,1644.102339130108,internal,False,,
70,14,10531,421,671,1868.5532089137641,internal,False,,
71,14,18116,2914,4862,641.8217601072223,internal,False,,
72,15,16,504,1987,1051.724904028016,internal,False,,
73,15,10481,504,547,1644.1023391300293,internal,False,,
74,15,11583,4997,8755,808.7125403813861,internal,False,,
75,15,13147,4997,5667,851.9204207832292,internal,False,,
76,15,18116,4862,8755,831.4725927947252,internal,False,,
77,15,18192,1987,5667,813.0796848174462,internal,False,,
78,16,17,764,5692,574.751878748844,internal,False,,
79,16,10481,504,725,1644.1023391299034,internal,False,,
80,16,10622,631,725,1625.088021996846,internal,False,,
81,16,10681,631,764,461.8564082983625,internal,False,,
82,16,18192,1987,5692,616.9286857266944,internal,False,,
83,17,18,786,3613,466.6508262275073,internal,False,,
84,17,10681,764,786,508.2951956975686,internal,False,,
85,17,12892,3613,7718,845.008926660961,internal,False,,
86,17,17849,7718,9196,605.6086894320632,internal,False,,
87,17,18192,5692,9196,554.6643835956774,internal,False,,
88,18,10418,355,37425,1149.0371816473005,internal,False,,
89,18,10622,355,630,1482.1917847201348,internal,False,,
90,18,10681,630,786,377.24930845535016,internal,False,,
91,18,12892,3613,7277,841.7354767485382,internal,False,,
92,18,17713,7277,37425,716.5443255049915,internal,False,,
93,19,20,726,2447,921.0695730313838,internal,False,,
94,19,9588,957,2863,758.4606120293921,internal,False,,
95,19,10418,742,1930,1140.2843796906666,internal,False,,
96,19,10544,726,742,1189.9441067443993,internal,False,,
97,19,10808,4446,4529,1001.5255481689969,internal,False,,
98,19,12832,957,4529,890.6879363728883,internal,False,,
99,19,17725,2447,2863,712.0243389906559,internal,False,,
100,19,18407,1930,4446,915.0471841590107,internal,False,,
101,20,21,527,3615,611.4775483460204,internal,False,,
102,20,10544,726,730,1114.3634456600882,internal,False,,
103,20,10548,527,730,952.2106290441517,internal,False,,
104,20,17725,2447,3615,597.9740946651777,internal,False,,
105,21,22,2,37468,1577.9893017655625,internal,False,,
106,21,9530,1401,2328,758.4606120293921,internal,False,,
107,21,10548,2,527,1076.7072029661365,internal,False,,
108,21,10993,2328,6382,708.0373844011588,internal,False,,
109,21,11067,1401,37468,1014.7302285980808,internal,False,,
110,21,17725,3615,6382,781.6008045472885,internal,False,,
111,22,23,709,1352,635.4366553252128,internal,False,,
112,22,9496,37469,37470,1206.454190592014,internal,False,,
113,22,10548,2,507,1018.9685398853433,internal,False,,
114,22,10636,588,709,907.3054936781658,internal,False,,
115,22,10678,507,588,1626.0695338079151,internal,False,,
116,22,11067,37468,37469,1510.407695412704,internal,False,,
117,22,16241,1352,37470,919.2792815246395,internal,False,,
118,23,24,664,3199,800.7696708524481,internal,False,,
119,23,10636,664,709,976.9228312747862,internal,False,,
120,23,11013,3199,5967,897.6116403010159,internal,False,,
121,23,16241,1352,5967,404.14167846571496,internal,False,,
122,24,25,488,37471,1733.5898615093167,internal,False,,
123,24,10512,488,530,1687.8432532459417,internal,False,,
124,24,10636,530,664,719.5202459686226,internal,False,,
125,24,11013,2834,3199,951.4836620322486,internal,False,,
126,24,11128,2834,37471,1371.577621988991,internal,False,,
127,25,26,583,2240,1143.8730078756407,internal,False,,
128,25,10512,488,583,1687.8432532457507,internal,False,,
129,25,11128,4601,37471,1096.8192649656457,internal,False,,
130,25,11353,2240,3025,1228.95280625415,internal,False,,
131,25,11963,3025,4740,1070.0423010715422,internal,False,,
132,25,12050,4601,4689,1022.8697375522643,internal,False,,
133,25,12223,4689,5945,922.8359967034755,internal,False,,
134,25,18475,4740,5945,1023.3344495618061,internal,False,,
135,26,10419,34,1951,1135.529920387292,internal,False,,
136,26,10512,462,583,1687.8432532457184,internal,False,,
137,26,10563,34,462,2114.4960780591678,internal,False,,
138,26,11353,2240,5452,970.4081013122084,internal,False,,
139,26,11434,1951,5452,968.6543595368715,internal,False,,
140,27,28,137,37426,1302.2386239454079,internal,False,,
141,27,8880,2584,37426,665.8748064834083,internal,False,,
142,27,10419,175,1282,1013.4199475216991,internal,False,,
143,27,10561,137,412,2093.7540731849704,internal,False,,
144,27,10563,175,412,1806.7955056175717,internal,False,,
145,27,12256,1282,2584,455.06786710905357,internal,False,,
146,28,29,506,1485,1218.6929994203572,internal,False,,
147,28,8880,1679,37426,1003.1570172219301,internal,False,,
148,28,10561,137,319,2068.629749149426,internal,False,,
149,28,10638,319,506,1049.838954121222,internal,False,,
150,28,11151,1485,1679,814.4083168611425,internal,False,,
151,29,30,604,4194,907.2397783717341,internal,False,,
152,29,8616,1570,2441,772.1803545804568,internal,False,,
153,29,10638,506,604,1205.0146853620859,internal,False,,
154,29,10920,3450,7236,795.4131238822985,internal,False,,
155,29,11151,1485,3450,1206.5817330587963,internal,False,,
156,29,12090,1570,7236,799.3950962925516,internal,False,,
157,29,18405,2441,4194,680.2398026364436,internal,False,,
158,30,10420,385,1705,1026.8908441561987,internal,False,,
159,30,10498,385,420,1476.2727620473793,internal,False,,
160,30,10638,420,604,923.0576964513679,internal,False,,
161,30,10737,1705,4709,989.0450945961818,internal,False,,
162,30,18405,4194,4709,763.1337836852632,internal,False,,
163,31,32,555,37427,1374.7484558825754,internal,False,,
164,31,10420,635,3738,914.484591206569,internal,False,,
165,31,10498,555,635,1352.2654618225206,internal,False,,
166,31,11800,6034,10124,630.6346010171025,internal,False,,
167,31,12705,5795,6034,641.7706109080418,internal,False,,
168,31,13526,5795,37427,1018.3026517410168,internal,False,,
169,31,18189,3738,10124,629.3881351207075,internal,False,,
170,32,33,614,4186,380.93898163185924,internal,False,,
171,32,10498,555,746,1857.2161595387154,internal,False,,
172,32,10515,614,746,1517.0532114872321,internal,False,,
173,32,13526,4186,37427,848.015447027692,internal,False,,
174,33,10421,599,37428,1504.998885955341,internal,False,,
175,33,10515,599,614,1517.053211487271,internal,False,,
176,33,11692,6314,8581,673.4552573814185,internal,False,,
177,33,11798,2923,8581,717.8485424005332,internal,False,,
178,33,12006,2923,37428,977.9106489870487,internal,False,,
179,33,13526,4186,6314,891.5054444634987,internal,False,,
180,34,35,430,4040,836.2785660981303,internal,False,,
181,34,10421,74,37429,1578.9143062931128,internal,False,,
182,34,10490,380,430,1948.8111693663793,internal,False,,
183,34,10515,74,380,2677.813493336079,internal,False,,
184,34,11423,4040,8590,809.913005917537,internal,False,,
185,34,13701,8567,37429,1031.4807792992037,internal,False,,
186,34,18167,8567,8590,821.5538257381842,internal,False,,
187,35,36,456,37430,1310.965719734217,internal,False,,
188,35,10490,430,456,1948.8111693660162,internal,False,,
189,35,11423,4040,8327,552.6457030699773,internal,False,,
190,35,11801,2512,37430,1022.4113653516071,internal,False,,
191,35,17291,2512,3359,716.2871452859238,internal,False,,
192,35,17292,3359,10056,507.69180417393125,internal,False,,
193,35,17294,8327,10056,466.5325207424913,internal,False,,
194,36,37,473,37431,1667.8302734537463,internal,False,,
195,36,7483,870,1344,860.1645556221279,internal,False,,
196,36,10490,456,639,1948.8111693656285,internal,False,,
197,36,10666,473,639,1699.2200344533278,internal,False,,
198,36,11801,1344,37430,554.7710712951526,internal,False,,
199,36,18369,870,37431,993.1423420273898,internal,False,,
200,37,38,734,1030,454.6702101523697,internal,False,,
201,37,10578,245,734,991.6554898784073,internal,False,,
