edge_id,node_a,node_b,cell_a,cell_b,length_m,edge_kind,is_river,geology_a_key,geology_b_key
0,0,6908,9867,,1994.1176470592618,boundary,False,1521,
1,0,7037,9701,,2027.272727272706,boundary,False,1521,
2,0,14836,9701,9867,1715.728117091313,internal,False,1521,1521
3,1,6940,6919,,1994.1176470592618,boundary,False,1981,
4,1,6941,6905,,2027.272727272706,boundary,False,1981,
5,1,14190,6905,6919,2068.866608205023,internal,False,1981,1981
6,2,6972,4629,,2027.2727272728225,boundary,False,2101,
7,2,6973,4557,,1994.1176470592618,boundary,False,2101,
8,2,13731,4557,4629,2223.3096243119035,internal,False,2101,2101
9,3,7005,4069,,1994.1176470592618,boundary,False,2041,
10,3,7006,4114,,2027.272727272706,boundary,False,2041,
11,3,13619,4069,4114,2341.3641222685546,internal,False,2041,2041
12,4,46,35087,35088,149.86163780006981,internal,False,1241,1241
13,4,47,23717,35088,54.74401906877756,geology_interface,True,1381,1241
14,4,48,23717,27806,183.58213409322988,internal,False,1381,1381
15,4,1007,7883,27806,20.25598093122244,internal,True,1381,1381
16,4,7038,1176,35087,310.71277365909253,geology_interface,False,1381,1241
17,4,11448,1176,7883,183.63458851581356,internal,False,1381,1381
18,5,6,2845,35028,266.627935870113,geology_interface,False,1381,1241
19,5,15,35020,35035,207.26164113895942,internal,False,1241,1241
20,5,7043,7945,35014,310.7127736591779,geology_interface,False,1381,1241
21,5,12243,2845,10619,395.04096958029487,internal,False,1381,1381
22,5,13672,7945,10619,317.7434725854485,internal,False,1381,1381
23,5,17954,35020,35028,234.2410973370355,internal,False,1241,1241
24,5,17962,35014,35062,219.93595382006376,internal,False,1241,1241
25,5,17963,35035,35062,127.25331335819543,internal,False,1241,1241
26,6,7,7361,35022,241.32991135600878,geology_interface,False,1381,1241
27,6,12243,2845,8248,364.5102401133333,internal,False,1381,1381
28,6,13996,7361,8248,229.7051839687636,internal,False,1381,1381
29,6,17952,35022,35074,166.3594851305799,internal,False,1241,1241
30,6,17954,35028,35074,142.6102896091469,internal,False,1241,1241
31,7,8,12250,35055,25.219817521050572,internal,True,1241,1241
32,7,6877,12250,14027,70.35713202692652,geology_interface,False,1241,1381
33,7,13996,7361,17300,229.70518396886428,internal,False,1381,1381
34,7,13997,14027,17300,160.59291660192784,internal,False,1381,1381
35,7,17952,35022,35055,128.80227292200198,internal,False,1241,1241
36,8,9,23718,35054,75.0,internal,True,1241,1241
37,8,6877,12250,23718,69.8355671665797,internal,False,1241,1241
38,8,17952,35054,35055,118.58541225631423,internal,False,1241,1241
39,9,10,22412,35070,106.06601717798213,internal,True,1241,1241
40,9,4949,22413,23719,106.06601717798213,internal,False,1241,1241
41,9,6877,23718,23719,110.34512197462008,internal,False,1241,1241
42,9,14064,22412,22413,75.0,internal,False,1241,1241
43,9,17952,35054,35070,118.58541225631423,internal,False,1241,1241
44,10,11,22414,35015,106.06601717798213,internal,True,1241,1241
45,10,4950,22745,22746,106.06601717798213,internal,False,1241,1241
46,10,14064,22412,22745,75.0,internal,False,1241,1241
47,10,14065,22414,22746,75.0,internal,False,1241,1241
48,10,17952,35015,35070,118.58541225631423,internal,False,1241,1241
49,11,12,17784,35009,75.0,internal,True,1241,1241
50,11,4951,19259,22415,106.06601717798213,internal,True,1241,1241
51,11,10691,17784,19259,119.19607529367488,internal,False,1241,1241
52,11,14065,22414,22415,75.0,internal,False,1241,1241
53,11,17952,35009,35015,191.21323175972944,internal,False,1241,1241
54,12,13,16015,35008,106.06601717798213,internal,True,1241,1241
55,12,9533,16015,21458,123.84719160349235,internal,False,1241,1241
56,12,10691,17784,21458,129.8037135506675,internal,False,1241,1241
57,12,17952,35008,35009,218.66069605669875,internal,False,1241,1241
58,13,14,17785,35064,75.0,internal,True,1241,1241
59,13,9533,16015,17785,127.06036951067566,internal,False,1241,1241
60,13,17952,35008,35045,218.66069605669875,internal,False,1241,1241
61,13,17954,35045,35064,118.12438867035978,internal,False,1241,1241
62,14,15,16016,35056,106.06601717798213,internal,True,1241,1241
63,14,9533,17785,21459,125.47505424376209,internal,False,1241,1241
64,14,9535,16016,21459,141.3480849312092,internal,False,1241,1241
65,14,17954,35056,35064,123.63792149973906,internal,False,1241,1241
66,15,16,17786,35036,75.0,internal,True,1241,1241
67,15,9535,16016,17786,119.46121441759513,internal,False,1241,1241
68,15,17954,35020,35056,127.68451323550204,internal,False,1241,1241
69,15,17963,35035,35036,149.4544435562459,internal,False,1241,1241
70,16,17,8860,35075,75.0,internal,True,1241,1241
71,16,9535,8860,17786,101.50238178615962,internal,False,1241,1241
72,16,17963,35036,35075,102.7984907631613,internal,False,1241,1241
73,17,18,8861,35037,75.0,internal,True,1241,1241
74,17,9535,8860,13927,132.60650536983462,internal,False,1241,1241
75,17,9536,8861,13927,135.92674277649294,internal,False,1241,1241
76,17,17963,35037,35075,100.24185107858108,internal,False,1241,1241
77,18,19,17787,35041,75.0,internal,True,1241,1241
