cell_id,geom_type,n0,n1,n2,n3,centroid_x,centroid_y,area_m2,z_top_centroid,z_top_mean,z_bottom_centroid,z_bottom_mean,geology_code,geology_key,hydraulic_conductivity_m_s,storage_coefficient
0,triangle,8024,10050,9502,,342260.45780769753,6642961.381927553,2309311.6650390625,44.27068305081082,38.514502891957676,-5.72931694918918,-11.485497108042326,6,1721,1.389498096667143e-05,
1,triangle,8799,10819,9340,,364920.96153419063,6665584.994536333,17898.40576171875,26.921484525062976,26.645298621480364,-23.078515474937024,-23.354701378519636,127,601,2.92401773821e-05,
2,triangle,6506,9161,8540,,348436.04477158404,6658818.439312286,31504.845703125,37.542232037437515,35.78021628007654,-12.45776796256248,-14.219783719923464,6,1721,1.4989947262875e-05,
3,triangle,727,8437,6824,,366322.76270972146,6648961.4154678015,22302.0869140625,70.70317728120123,69.22777937955546,20.703177281201235,19.227779379555457,118,1901,1.0000000000000003e-05,
4,triangle,6421,11963,7464,,363993.13236585195,6674411.4311251035,30275.4990234375,38.19329531632257,37.24293671051973,-11.806704683677435,-12.75706328948027,33,1321,1.2061447576653572e-05,
5,triangle,6217,8081,6218,,349678.5553832515,6680468.693359186,12359.4775390625,9.421810876450369,9.393737075869327,-40.57818912354963,-40.606262924130675,127,601,2.92401773821e-05,
6,triangle,486,8254,485,,365090.54908024706,6645821.528269902,9891.29833984375,63.37767144288608,60.33830693797815,13.37767144288609,10.338306937978151,108,2201,1e-05,
7,triangle,9477,10643,8146,,324732.55336386856,6648382.519474346,1681309.8330078125,1.676189232375617,1.26698830679023,-48.32381076762438,-48.73301169320977,1,1,6.533803571428571e-05,
8,triangle,6498,9607,6497,,347788.1436259186,6647997.512598493,29122.716796875,49.360742395467426,49.378775537511466,-0.6392576045325761,-0.6212244624885367,6,1721,1.189207115e-05,
9,triangle,7537,9493,8009,,343534.63468085264,6682744.928625246,156873.2333984375,20.277313692081442,19.914434068797807,-29.722686307918558,-30.085565931202193,127,601,2.92401773821e-05,
10,triangle,9668,10050,8024,,343677.16580097674,6642583.811733722,2598513.4189453125,51.385622240060286,38.1101659345695,1.3856222400602836,-11.889834065430499,6,1721,1.915975494285714e-05,
11,triangle,8443,10050,9668,,343858.767612482,6641336.579391714,2437746.72265625,33.09082325909273,27.525920187145946,-16.909176740907267,-22.474079812854054,6,1721,1.3708992098214287e-05,
12,triangle,8717,10372,7832,,357685.0583836012,6676734.893221817,40641.62744140625,20.234210967657354,13.976876850469365,-29.765789032342653,-36.023123149530626,33,1321,1e-05,
13,triangle,6425,10063,7468,,368186.8253305312,6666897.165293377,131854.26953125,30.929707074582982,40.911591002365235,-19.07029292541702,-9.088408997634764,62,1981,1.1374298384435717e-05,
