edge_id,node_a,node_b,cell_a,cell_b,length_m,edge_kind,is_river,geology_a_key,geology_b_key
0,0,770,188,,1897.5,boundary,False,1841,
1,0,807,194,,1868.1818181818235,boundary,False,1841,
2,0,1124,188,194,1839.0807316621826,internal,False,1841,1841
3,1,778,79,,1897.5,boundary,False,1721,
4,1,779,74,,1868.1818181818235,boundary,False,1841,
5,1,1037,74,79,2293.118267620136,geology_interface,False,1841,1721
6,2,788,167,,1868.1818181818235,boundary,False,2151,
7,2,789,165,,1897.5,boundary,False,2151,
8,2,1119,165,167,1829.906433516134,internal,False,2151,2151
9,3,797,158,,1897.5,boundary,False,1721,
10,3,798,159,,1868.1818181818235,boundary,False,1721,
11,3,1117,158,159,1836.0905430878327,internal,False,1721,1721
12,4,5,631,4298,145.48107816366817,internal,False,1841,1841
13,4,53,4192,4311,70.00459483968251,internal,False,1841,1841
14,4,54,631,4311,45.813957617836174,internal,True,1841,1841
15,4,264,3994,4298,7.219050971154894,internal,True,1841,1841
16,4,1768,3994,4192,86.45424044979468,internal,False,1841,1841
17,5,54,631,632,178.85038548842587,internal,False,1841,1841
18,5,262,1079,2262,130.98285363924515,internal,False,1841,1841
19,5,263,1079,4299,115.42090005029084,internal,False,1841,1841
20,5,264,4298,4299,140.86242323234708,internal,False,1841,1841
21,5,808,632,1738,366.60958736675457,internal,False,1841,1841
22,5,1602,2262,3138,184.65497517818955,internal,False,1841,1841
23,5,1932,1738,3138,256.32522734795305,internal,False,1841,1841
24,6,809,129,832,344.8260531425391,internal,False,1841,1841
25,6,810,304,832,272.99204050370383,internal,False,1841,1841
26,6,1066,129,287,421.2759924144843,internal,False,1841,1841
27,6,1101,281,304,320.8029060050277,internal,False,1841,1841
28,6,1102,281,287,854.4308171010962,internal,False,1841,1841
29,7,813,143,1440,272.9920405037617,geology_interface,False,1841,1681
30,7,814,251,725,295.1050175149385,internal,False,1681,1681
31,7,1082,251,291,296.2256723490396,geology_interface,False,1681,1841
32,7,1083,143,291,421.3895208201117,internal,False,1841,1841
33,7,1897,725,1440,275.6590211072044,internal,False,1681,1681
34,8,818,284,2048,295.1050175149385,internal,False,1681,1681
35,8,819,362,1491,269.01204358563285,internal,False,1681,1681
36,8,1129,284,362,199.1541673129182,internal,False,1681,1681
37,8,1905,1491,1553,320.05983282037454,internal,False,1681,1681
38,8,2093,1553,2383,390.9658275759868,internal,False,1681,1681
39,8,2127,2048,2383,294.8356828802552,internal,False,1681,1681
40,9,820,207,2404,269.01204358563285,internal,False,1681,1681
41,9,821,292,2705,226.11533256841005,internal,False,1681,1681
42,9,1093,207,365,304.79023816425513,geology_interface,False,1681,1841
43,9,1112,292,371,285.1620269083953,geology_interface,False,1681,1841
44,9,1113,365,371,315.4868410483285,internal,False,1841,1841
45,9,2002,2404,2705,190.6447274971524,internal,False,1681,1681
46,10,821,111,1204,226.1153325683526,internal,False,1681,1681
47,10,822,139,1531,346.68242930877256,geology_interface,False,1841,1681
48,10,984,111,139,325.26989461999705,geology_interface,False,1681,1841
49,10,1605,934,1531,298.05761985100287,internal,False,1681,1681
50,10,1833,934,1204,334.5967447410639,internal,False,1681,1681
51,11,823,63,1253,347.9883184534068,internal,False,1841,1841
