cell_id,geom_type,n0,n1,n2,n3,centroid_x,centroid_y,area_m2,z_top_centroid,z_top_mean,z_bottom_centroid,z_bottom_mean,geology_code,geology_key,hydraulic_conductivity_m_s,storage_coefficient
0,triangle,793,1023,14,,358440.12525943253,6952561.901783414,16265.92578125,46.27418588133866,45.75884427382429,-3.725814118661342,-4.241155726175712,12,1841,7.95270728767e-06,
1,triangle,14,1024,793,,358524.8201749178,6952581.9757722765,12093.4833984375,51.480401440422796,45.64709670277114,1.4804014404228003,-4.352903297228862,12,1841,7.95270728767e-06,
2,triangle,803,1057,442,,358510.71428571426,6951103.571428572,11049.107421875,59.48843562844928,58.7188774874395,9.488435628449288,8.718877487439498,12,1841,7.95270728767e-06,
3,triangle,53,1154,52,,360687.898850616,6952162.898850616,11160.2587890625,50.26777338478824,48.0595863794569,0.2677733847882438,-1.9404136205430944,12,1841,7.95270728767e-06,
4,triangle,729,1244,680,,358585.5943195664,6957321.678711803,163363.68359375,171.6085374223016,160.56109636909798,121.6085374223016,110.56109636909798,65,1681,6.32455532034e-06,
5,triangle,522,1074,523,,365914.3435594556,6956072.525840969,99547.09033203125,92.63228022467815,88.26303094391415,42.632280224678155,38.263030943914146,65,1681,6.3827036048875e-06,
6,triangle,1281,1292,545,,353810.4768986011,6951221.148784816,156934.181640625,118.3234972872767,117.19109559832805,68.32349728727671,67.19109559832805,65,1681,6.32455532034e-06,
7,triangle,446,1141,447,,358706.1579321137,6951356.009627028,8420.81591796875,46.69043628165841,46.94314501266533,-3.309563718341596,-3.0568549873346638,12,1841,7.95270728767e-06,
8,triangle,713,1123,832,,354961.8420361455,6953186.960120272,249052.1435546875,121.3827988302485,123.75853663026555,71.3827988302485,73.75853663026558,65,1681,6.32455532034e-06,
9,triangle,36,880,35,,360092.1469809728,6952908.07263695,6645.86376953125,32.18688644314444,33.11341372876734,-17.813113556855562,-16.886586271232662,12,1841,7.95270728767e-06,
10,triangle,690,1310,540,,360690.3910753051,6946817.109482519,107911.61474609375,105.25692438023691,102.67513638349646,55.25692438023691,52.67513638349647,52,1561,1.1469996450464645e-05,
11,triangle,136,1196,135,,355805.1760057081,6951490.848062188,530.11181640625,65.4747842880652,65.79312921367413,15.474784288065182,15.79312921367414,65,1681,6.7315933121724995e-06,
12,triangle,368,1198,369,,360237.703067457,6948439.1002114,7008.4052734375,76.69252048029401,76.88479106946896,26.692520480294,26.88479106946897,12,1841,7.95270728767e-06,
13,triangle,435,1158,434,,361095.3340750846,6949321.399095611,8557.31494140625,78.8412745348405,77.96855462263625,28.841274534840494,27.96855462263625,12,1841,7.95270728767e-06,
14,triangle,437,1158,436,,360995.3340750846,6949221.399095611,8557.314453125,74.2116539435873,74.66855411400995,24.21165394358729,24.66855411400995,12,1841,7.95270728767e-06,
15,triangle,158,791,157,,357297.29591836734,6952254.591836735,10429.208984375,55.04930975456441,47.74406298751635,5.049309754564414,-2.255937012483649,12,1841,7.95270728767e-06,
16,triangle,207,792,206,,355918.57126423664,6955191.450814742,12935.0166015625,81.97338934339008,82.66892177199385,31.97338934339009,32.66892177199386,6,1721,1.189207115e-05,
17,triangle,417,764,418,,360950.0,6948725.0,14062.5,77.38888888888891,73.63333384195964,27.388888888888907,23.633333841959637,12,1841,7.95270728767e-06,
18,triangle,508,1370,817,,364045.0445475721,6956869.994367774,157646.05419921875,104.69227426015664,104.64469519365618,54.69227426015664,54.64469519365616,12,1841,7.95270728767e-06,
19,triangle,529,1270,687,,361841.79088562797,6949178.219065371,64363.521484375,96.03968772202475,93.496089164839,46.03968772202476,43.496089164839,12,1841,7.6619658649325e-06,
20,triangle,497,1466,854,,358529.98661107366,6944796.290106364,243873.09765625,107.92223901879369,113.46498118556838,57.92223901879369,63.46498118556837,18,2041,4.30886938006e-06,
21,triangle,706,1108,905,,355170.79355220956,6948164.225801304,247434.9619140625,73.5242106516967,73.48331118293036,23.5242106516967,23.483311182930354,12,1841,7.95270728767e-06,
22,triangle,441,1482,440,,359713.09296190046,6950596.611124023,6716.70947265625,59.20722639343792,56.3831868844116,9.207226393437923,6.383186884411596,12,1841,7.95270728767e-06,
23,triangle,694,1281,545,,353483.53207686887,6951161.805351071,122409.66552734375,116.17396134598606,114.16498736812584,66.17396134598606,64.16498736812585,65,1681,6.32455532034e-06,
24,triangle,371,1225,372,,360405.0561963752,6948687.3177939905,6441.9296875,70.97075403940252,71.33450765971553,20.970754039402514,21.334507659715523,12,1841,7.95270728767e-06,
25,triangle,415,966,414,,359193.75,6951543.75,12656.25,45.18749928474426,45.20416673024496,-4.812500715255737,-4.795833269755046,12,1841,7.95270728767e-06,
26,triangle,972,989,967,,358881.8857011088,6951673.430442549,33999.1474609375,52.589839806450044,49.691116526179094,2.5898398064500436,-0.3088834738208985,12,1841,7.95270728767e-06,
27,triangle,590,1309,1184,,369792.0733879521,6957935.194945351,2071558.7919921875,17.319599502718937,58.8171422768516,-32.68040049728106,8.817142276851598,49,21,2.9182306138414284e-05,
28,triangle,586,1204,585,,364602.4752195323,6960648.308283783,2071416.787109375,10.897172714161503,10.629570119366239,-39.1028272858385,-6712.456809960211,23,2151,7.214138902786072e-06,
29,triangle,838,1433,987,,356787.6916590804,6951551.507497891,14258.62158203125,60.991028577391305,59.52948912431314,10.991028577391301,9.529489124313137,12,1841,7.95270728767e-06,
30,triangle,454,1423,1147,,359460.73418918037,6955420.019739408,24345.208984375,81.55253927884786,86.80188672662621,31.552539278847856,36.80188672662621,65,1681,6.32455532034e-06,
31,triangle,692,789,495,,359587.25613358687,6945164.331895876,206162.943359375,111.58877417900433,115.07877126710999,61.58877417900434,65.07877126710999,52,1561,1.189207115e-05,
32,triangle,890,1160,712,,360304.0170050075,6955845.044408311,137886.29541015625,141.76582562927211,140.86596641013185,91.76582562927211,90.86596641013183,65,1681,6.32455532034e-06,
33,triangle,494,1429,671,,359238.28662618477,6946215.110338926,31301.888671875,97.16597291328614,100.1769742931849,47.16597291328614,50.17697429318489,12,1841,7.822570219541072e-06,
34,triangle,1133,1191,899,,353701.8812496892,6946932.733676624,1296138.9780273438,53.427416732531526,67.27822217552993,3.427416732531525,17.278222175529933,12,1841,8.50943840271679e-06,
35,triangle,590,1184,589,,370353.7914709756,6958791.755918958,1803692.900390625,69.11594376145558,50.67810276891499,19.115943761455572,0.6781027689149903,12,1841,2.2497455611836427e-05,
36,triangle,1098,1128,857,,359970.9081583359,6952482.186542347,52878.55126953125,46.272641376993676,46.04756946020233,-3.727358623006326,-3.9524305397976645,12,1841,7.95270728767e-06,
37,triangle,149,1433,148,,356744.7916666667,6951730.208333333,7265.625,57.41919444963459,57.135416613684754,7.419194449634592,7.135416613684753,12,1841,7.95270728767e-06,
38,triangle,391,1434,392,,359833.6309294589,6949760.321256939,6305.37890625,58.60983199656057,57.339493950075955,8.609831996560573,7.339493950075952,12,1841,7.95270728767e-06,
39,triangle,186,1200,185,,356662.0461872358,6956797.4018554725,6790.0126953125,113.80106414563585,112.46838030916767,63.80106414563585,62.468380309167685,6,1721,1.1096711745762857e-05,
40,triangle,686,1087,687,,362056.3027944549,6949554.911500066,62635.96533203125,94.03626571855706,92.7513363512707,44.03626571855707,42.75133635127069,65,1681,6.32455532034e-06,
41,triangle,95,1030,94,,363811.4692041707,6955759.569208242,5411.25048828125,20.469435145232048,20.56431580037883,-29.530564854767952,-29.435684199621168,12,1841,7.95270728767e-06,
42,triangle,310,1038,309,,359137.38154710346,6946964.721846682,5861.6318359375,85.68070547228606,86.21733858954293,35.68070547228605,36.21733858954294,12,1841,7.95270728767e-06,
43,triangle,310,1037,311,,359064.0846919892,6946933.530466276,5893.294921875,85.40641077671239,86.38397757538452,35.40641077671239,36.38397757538453,12,1841,7.95270728767e-06,
44,triangle,333,937,334,,358386.84922948777,6948593.356934611,5039.306640625,68.5722654950954,68.56876205684677,18.57226549509538,18.568762056846758,12,1841,7.95270728767e-06,
45,triangle,345,1042,344,,357512.5,6948562.5,5625.0,64.0333340962728,63.19999980926514,14.033334096272789,13.199999809265137,12,1841,7.95270728767e-06,
46,triangle,345,1041,346,,357539.2649957126,6948489.133082628,5639.8408203125,63.41917659322539,62.83979157184234,13.419176593225377,12.83979157184234,12,1841,7.95270728767e-06,
47,triangle,405,1051,404,,359514.0333829918,6950790.90269544,6180.30859375,48.160485531278624,48.83266968255942,-1.839514468721376,-1.1673303174405734,12,1841,7.95270728767e-06,
48,triangle,405,1050,406,,359437.5,6950762.5,5625.0,47.84999942779538,47.94166628519694,-2.150000572204621,-2.05833371480306,12,1841,7.95270728767e-06,
49,triangle,489,976,490,,359637.5,6956287.5,5625.0,94.2416687011719,93.72500101725261,44.241668701171896,43.7250010172526,65,1681,6.32455532034e-06,
50,triangle,572,836,571,,350951.2460632648,6947372.646185902,1462249.732421875,56.84452624181074,41.00706578422867,6.844526241810748,-8.992934215771326,16,1441,1e-05,
