edge_id,node_a,node_b,cell_a,cell_b,length_m,edge_kind,is_river,geology_a_key,geology_b_key
0,0,570,902,,1897.5,boundary,False,1841,
1,0,607,906,,1868.1818181818235,boundary,False,1841,
2,0,1462,902,906,1878.4492758566118,internal,False,1841,1841
3,1,578,1253,,1897.5,boundary,False,1721,
4,1,579,1308,,1868.1818181818235,boundary,False,1841,
5,1,1558,1253,1308,1857.5431518521978,geology_interface,False,1721,1841
6,2,588,1309,,1868.1818181818235,boundary,False,2151,
7,2,589,1254,,1897.5,boundary,False,2151,
8,2,1559,1254,1309,1372.6251445304144,internal,False,2151,2151
9,3,597,942,,1897.5,boundary,False,1721,
10,3,598,949,,1868.1818181818235,boundary,False,1721,
11,3,1474,942,949,1963.4271823617696,internal,False,1721,1721
12,4,5,491,2672,106.06601717798213,internal,True,1841,1841
13,4,162,485,2661,75.0,internal,True,1841,1841
14,4,1194,485,2122,180.16986971248397,internal,False,1841,1841
15,4,1501,491,2122,154.86018965993847,internal,False,1841,1841
16,4,1572,2661,2672,204.47749358049413,internal,False,1841,1841
17,5,6,1952,2679,106.06601717798213,internal,True,1841,1841
18,5,1022,1952,2055,126.80339728295927,internal,False,1841,1841
19,5,1501,491,2055,144.81083625484325,internal,False,1841,1841
20,5,1572,2672,2679,145.42070091469623,internal,False,1841,1841
21,6,7,1810,2726,75.0,internal,True,1841,1841
22,6,1022,1810,1952,97.5530704924248,internal,False,1841,1841
23,6,1572,2679,2696,151.60249050751784,internal,False,1841,1841
24,6,1582,2696,2728,70.78986144384032,internal,False,1841,1841
25,6,1585,2726,2728,51.91030373320607,internal,False,1841,1841
26,7,8,542,2810,75.0,internal,True,1841,1841
27,7,225,2727,2811,75.0,internal,True,1841,1841
28,7,1022,542,1810,86.06524596200258,internal,False,1841,1841
29,7,1585,2726,2727,52.66936719029199,internal,False,1841,1841
30,7,1604,2810,2811,59.79742294985864,internal,False,1841,1841
31,8,9,1076,2773,75.0,internal,True,1841,1841
32,8,1022,542,2181,128.63845289220484,internal,False,1841,1841
33,8,1165,1076,2181,154.61646096066227,internal,False,1841,1841
34,8,1590,2773,2804,118.58541225631423,internal,False,1841,1841
35,8,1604,2804,2810,53.46267203989632,internal,False,1841,1841
36,9,10,537,2779,106.06601717798213,internal,True,1841,1841
37,9,1165,1076,1645,154.61646096066227,internal,False,1841,1841
38,9,1299,537,1645,180.33502953796193,internal,False,1841,1841
39,9,1590,2773,2779,118.58541225631423,internal,False,1841,1841
40,10,11,195,2734,106.06601717798213,internal,True,1841,1841
41,10,1023,195,1288,190.29377830016526,internal,False,1841,1841
42,10,1299,537,1288,180.64474997351758,internal,False,1841,1841
43,10,1590,2734,2779,118.58541225631423,internal,False,1841,1841
44,11,12,1953,2760,106.06601717798213,internal,True,1841,1841
45,11,1023,195,1953,139.0865956472627,internal,False,1841,1841
46,11,1590,2734,2764,191.21323175972944,internal,False,1841,1841
47,11,1594,2760,2764,156.38221653662035,internal,False,1841,1841
48,12,13,1811,2771,75.0,internal,True,1841,1841
49,12,1023,1811,1953,158.04568996887534,internal,False,1841,1841
50,12,1594,2760,2789,169.47596206240397,internal,False,1841,1841
51,12,1600,2771,2789,121.83624845421106,internal,False,1841,1841
52,13,14,1954,2795,106.06601717798213,internal,True,1841,1841
53,13,1023,1811,1954,156.7243653395444,internal,False,1841,1841
54,13,1597,2787,2795,65.96944044210937,internal,False,1841,1841
55,13,1600,2771,2787,121.83624845421106,internal,False,1841,1841
56,14,15,1955,2796,106.06601717798213,internal,True,1841,1841
57,14,793,0,1,242.54191143518295,internal,False,1841,1841
58,14,1023,0,1954,134.5263573013873,internal,False,1841,1841
59,14,1024,1,1955,145.42722574522261,internal,False,1841,1841
60,14,1597,2795,2796,114.631055555554,internal,False,1841,1841
61,15,16,1812,2738,75.0,internal,True,1841,1841
62,15,1024,1812,1955,115.6997409676334,internal,False,1841,1841
63,15,1591,2767,2784,162.0878888562464,internal,False,1841,1841
64,15,1595,2738,2767,192.04658371125868,internal,False,1841,1841
65,15,1597,2784,2796,103.02554615677556,internal,False,1841,1841
66,16,17,543,2754,75.0,internal,True,1841,1841
67,16,1024,543,1812,92.77825534555639,internal,False,1841,1841
68,16,1595,2738,2754,160.09962621806923,internal,False,1841,1841
69,17,18,181,2739,75.0,internal,True,1841,1841
70,17,1024,543,1053,122.79730970160975,internal,False,1841,1841
71,17,1238,181,1053,140.94213054368046,internal,False,1841,1841
72,17,1595,2739,2754,160.09962621806923,internal,False,1841,1841
73,18,19,739,2736,75.0,internal,True,1841,1841
74,18,1238,181,739,101.2190132727309,internal,False,1841,1841
75,18,1588,2736,2769,196.41805299811804,internal,False,1841,1841
76,18,1595,2739,2769,192.04658371125868,internal,False,1841,1841
77,19,20,182,2740,75.0,internal,True,1841,1841
78,19,1238,182,739,108.97657148955773,internal,False,1841,1841
79,19,1588,2736,2770,198.61653845604746,internal,False,1841,1841
80,19,1596,2740,2770,192.04658371125868,internal,False,1841,1841
81,20,21,544,2755,75.0,internal,True,1841,1841
82,20,1025,544,1052,152.9800152319362,internal,False,1841,1841
83,20,1238,182,1052,157.34197666017832,internal,False,1841,1841
84,20,1596,2740,2755,160.09962621806923,internal,False,1841,1841
85,21,22,1813,2741,75.0,internal,True,1841,1841
86,21,1025,544,1813,126.37499756751981,internal,False,1841,1841
87,21,1596,2741,2755,160.09962621806923,internal,False,1841,1841
88,22,23,1956,2797,106.06601717798213,internal,True,1841,1841
89,22,1025,1813,1956,140.6712300366278,internal,False,1841,1841
90,22,1596,2741,2758,192.04658371125868,internal,False,1841,1841
91,22,1598,2786,2797,84.89423567003828,internal,False,1841,1841
92,22,1599,2758,2786,150.759061280158,internal,False,1841,1841
93,23,24,196,2799,106.06601717798213,internal,True,1841,1841
94,23,1025,893,1956,147.00763997905963,internal,False,1841,1841
95,23,1026,196,446,186.21111732721593,internal,False,1841,1841
96,23,1448,446,893,275.1931347356071,internal,False,1841,1841
97,23,1598,2797,2799,84.89423567003828,internal,False,1841,1841
98,24,25,1957,2780,106.06601717798213,internal,True,1841,1841
99,24,1026,196,1957,122.60647544738451,internal,False,1841,1841
100,24,1598,2799,2809,66.29126073623883,internal,False,1841,1841
101,24,1599,2780,2809,124.30648634028725,internal,False,1841,1841
102,25,26,1814,2774,75.0,internal,True,1841,1841
103,25,1026,1814,1957,133.75393611782056,internal,False,1841,1841
104,25,1592,2774,2793,133.31947689371708,internal,False,1841,1841
105,25,1599,2780,2793,131.50100194730555,internal,False,1841,1841
106,26,27,981,2781,106.06601717798213,internal,True,1841,1841
107,26,849,981,2016,167.70509831248424,internal,False,1841,1841
108,26,1026,1814,2016,135.1303099801522,internal,False,1841,1841
109,26,1592,2774,2781,131.69232174551897,internal,False,1841,1841
110,27,28,2432,2735,106.06601717798213,internal,True,1841,1841
111,27,849,981,2349,167.70509831248424,internal,False,1841,1841
112,27,1403,2349,2432,75.1586455579824,internal,False,1841,1841
113,27,1592,2735,2781,121.35822644157312,internal,False,1841,1841
114,28,29,2332,2782,106.06601717798213,internal,True,1841,1841
115,28,1403,2332,2432,79.88077884260565,internal,False,1841,1841
116,28,1587,2748,2792,178.7456011695671,internal,False,1841,1841
117,28,1592,2735,2737,186.04507691245954,internal,False,1841,1841
118,28,1593,2782,2792,125.38095735267117,internal,False,1841,1841
119,28,1601,2737,2748,248.36833435505957,internal,False,1841,1841
120,29,30,272,2775,75.0,internal,True,1841,1841
121,29,849,1754,2260,167.70509831248424,internal,False,1841,1841
122,29,1346,272,1754,150.3406691990833,internal,False,1841,1841
123,29,1403,2260,2332,75.1586455579824,internal,False,1841,1841
124,29,1593,2775,2782,118.53988927897173,internal,False,1841,1841
125,30,31,965,2812,75.0,internal,True,1841,1841
126,30,1346,272,965,112.63851249579655,internal,False,1841,1841
127,30,1593,2775,2805,113.32594006992657,internal,False,1841,1841
128,30,1605,2805,2812,55.085671656320606,internal,False,1841,1841
129,31,32,355,2942,75.0,internal,True,1841,1841
130,31,232,2813,2943,75.0,internal,True,1841,1841
131,31,1346,965,2147,118.41685766521269,internal,False,1841,1841
132,31,1347,355,2147,143.19274163250418,internal,False,1841,1841
133,31,1605,2812,2813,64.330762916741,internal,False,1841,1841
134,31,1633,2942,2943,59.79742294985864,internal,False,1841,1841
135,32,33,1171,2905,75.0,internal,True,1841,1841
136,32,1347,355,1171,102.90422215959181,internal,False,1841,1841
137,32,1612,2905,2939,118.58541225631423,internal,False,1841,1841
138,32,1633,2939,2942,53.46267203989632,internal,False,1841,1841
139,33,34,356,2843,75.0,internal,True,1841,1841
140,33,1347,356,1171,109.19888561843548,internal,False,1841,1841
141,33,1612,2843,2905,118.58541225631423,internal,False,1841,1841
142,34,35,140,2893,75.0,internal,True,1841,1841
143,34,1098,140,1647,228.10359488618323,internal,False,1841,1841
144,34,1347,356,1647,156.55514779893275,internal,False,1841,1841
145,34,1612,2843,2923,159.0990257669732,internal,False,1841,1841
146,34,1616,2893,2923,135.95568509205953,internal,False,1841,1841
147,35,36,9,2902,106.06601717798213,internal,True,1841,1841
148,35,765,1162,1262,293.8642557589425,internal,False,1841,1841
