cell_id,geom_type,n0,n1,n2,n3,centroid_x,centroid_y,area_m2,z_top_centroid,z_top_mean,z_bottom_centroid,z_bottom_mean,geology_code,geology_key,hydraulic_conductivity_m_s,storage_coefficient
0,triangle,961,1362,1350,,278179.608538771,6815546.2712549595,250790.16943359375,244.6166360274111,235.09587752325567,194.61663602741106,185.09587752325567,18,2041,4.30886938006e-06,
1,triangle,669,1111,668,,268177.31130596716,6816551.142560369,33061.83642578125,225.42727876964744,231.88406803120543,175.42727876964744,181.88406803120543,52,1561,1.189207115e-05,
2,triangle,239,864,135,,272927.9972291913,6823737.018171258,33384.79443359375,209.35715957171377,210.9204483907273,159.35715957171377,160.9204483907273,17,2101,4.631831813473214e-06,
3,triangle,797,1278,685,,271136.61318228417,6825245.581915699,103304.9384765625,232.8052035034211,237.7854057182022,182.80520350342107,187.7854057182022,17,2101,4.206274300726428e-06,
4,triangle,838,1055,807,,274640.2749533727,6820558.63069322,117308.11669921875,200.59119637156567,196.28679446885505,150.59119637156564,146.28679446885508,32,1341,1e-05,
5,triangle,61,1341,60,,273647.08905058826,6819316.642440633,7169.79296875,173.2614946005898,174.76219406574614,123.2614946005898,124.76219406574619,32,1341,1e-05,
6,triangle,1095,1214,570,,275316.094540245,6821163.245294348,19231.91845703125,182.44509269436512,185.17595012042898,132.44509269436514,135.175950120429,32,1341,1e-05,
7,triangle,231,1226,230,,278520.08459198865,6818389.935380194,10670.71337890625,195.07015659441512,189.3989129482134,145.07015659441512,139.3989129482134,32,1341,1e-05,
8,triangle,1184,1446,537,,269298.63466367737,6817196.572501008,39549.5634765625,209.6010625136676,206.08562330214366,159.6010625136676,156.08562330214366,52,1561,1.189207115e-05,
9,triangle,1147,1169,884,,266363.3340135613,6821369.016673385,440658.26220703125,253.07203920443695,240.42448965479375,203.07203920443698,190.42448965479375,52,1561,1.189207115e-05,
10,triangle,287,1196,286,,276420.4356600712,6815003.341384761,86896.38720703125,182.8584219514274,183.9513343748482,132.85842195142737,133.9513343748482,18,2041,4.512124045057858e-06,
11,triangle,286,985,760,,276046.12253373786,6814741.49569139,13489.654296875,164.72877012300097,164.28561204977652,114.72877012300098,114.28561204977653,18,2041,5.121888040051429e-06,
12,triangle,834,1380,944,,269915.76663785154,6812409.266743694,305296.1279296875,214.47884096825237,228.75126169106042,164.47884096825237,178.75126169106042,18,2041,4.30886938006e-06,
13,triangle,860,1310,1120,,273257.52009513025,6824752.061336531,188539.287109375,234.7937924834412,220.025613421549,184.79379248344117,170.02561342154897,17,2101,3.76060309309e-06,
14,triangle,821,1177,1033,,275955.4237550306,6821732.887326531,85921.494140625,210.87805465939675,201.21406797022516,160.87805465939678,151.21406797022516,32,1341,1e-05,
15,triangle,653,1220,1113,,269099.2109060883,6813342.16840935,204678.28662109375,219.1165049361369,217.38129004840587,169.11650493613686,167.38129004840587,18,2041,4.30886938006e-06,
16,triangle,942,1229,1075,,272351.2191874289,6824566.572693824,189981.85986328125,232.9929092265717,233.6496069488286,182.99290922657173,183.6496069488286,17,2101,3.76060309309e-06,
17,triangle,721,1238,720,,283387.02779319906,6811110.589866169,1998553.3916015625,157.69038689882217,173.6605188287892,107.69038689882218,123.6605188287892,18,2041,5.934906700042857e-06,
18,triangle,160,1070,159,,274694.2954855584,6816680.0338062495,11325.45458984375,153.04924652386165,153.8857211934204,103.04924652386165,103.88572119342041,52,1561,1.189207115e-05,
19,triangle,941,1240,889,,279582.6113372657,6819631.575828305,209623.951171875,224.45785584771357,224.88799217885602,174.45785584771357,174.88799217885597,32,1341,1e-05,
20,triangle,881,1064,956,,271879.136437655,6817410.764570851,84683.53662109375,188.06316320660179,181.35801436749625,138.06316320660179,131.35801436749625,52,1561,1.189207115e-05,
21,triangle,795,1218,682,,279864.9782603986,6816941.764889866,164761.724609375,218.76437985839377,218.59818742081896,168.76437985839377,168.59818742081896,52,1561,1.189207115e-05,
22,triangle,600,1251,599,,276764.4917582418,6821285.508241758,10801.8544921875,195.90562001358833,195.9389935067271,145.90562001358836,145.9389935067271,32,1341,1e-05,
23,triangle,545,1203,544,,270025.72114464577,6817299.558591168,5674.658203125,190.058055900154,191.52330640142046,140.058055900154,141.52330640142046,52,1561,1.189207115e-05,
24,triangle,640,1457,1124,,273518.02094368526,6821569.733953967,21975.70751953125,182.20532289741305,186.7102843135668,132.20532289741305,136.71028431356677,32,1341,1e-05,
25,triangle,753,1329,201,,276958.23738884466,6817618.173338887,48100.11962890625,187.11363026284192,180.14079485172272,137.11363026284192,130.14079485172272,32,1341,1.0405443817857143e-05,
26,triangle,627,1165,626,,276168.8909728531,6821489.138179272,6312.265625,191.29934921908543,192.08669466880315,141.29934921908546,142.08669466880315,32,1341,1e-05,
27,triangle,925,1208,852,,270847.44747434516,6813279.957460344,180801.0302734375,216.76792492848202,213.4452496190089,166.767924928482,163.4452496190089,18,2041,4.30886938006e-06,
28,triangle,153,956,752,,271717.51984310226,6817687.116681038,18262.47265625,174.06275937084442,175.26265267505605,124.06275937084443,125.26265267505603,52,1561,1.1824497180357143e-05,
29,triangle,1238,1244,720,,282583.22713215556,6811835.15038018,2516651.107421875,175.07224330186102,164.01726897611755,125.07224330186105,114.01726897611753,62,1981,1e-05,
30,triangle,570,1214,571,,275319.0634362014,6821076.424893617,7769.63671875,183.64507405400468,181.48305214342668,133.64507405400468,131.4830521434267,32,1341,1e-05,
31,triangle,314,895,313,,272078.4517978692,6813974.0012160465,10974.03564453125,172.62274753684144,173.60017058678866,122.62274753684144,123.60017058678868,18,2041,4.30886938006e-06,
32,triangle,758,1174,205,,277523.48183121195,6817427.480237574,41997.646484375,178.96705941114243,175.10854841661998,128.96705941114243,125.10854841661997,52,1561,1.189207115e-05,
33,triangle,682,1218,794,,280189.26062438084,6817037.4378092745,138427.7001953125,225.58761270954298,223.04431637830518,175.587612709543,173.04431637830518,52,1561,1.189207115e-05,
34,triangle,576,1164,575,,275199.2665298751,6820667.1035139635,5707.515625,177.56815626913487,177.41714006627785,127.56815626913489,127.41714006627785,32,1341,1e-05,
35,triangle,1301,1523,1126,,270532.0469387397,6811130.343021412,386431.3662109375,244.343161557721,238.99860999769544,194.34316155772103,188.99860999769544,18,2041,4.30886938006e-06,
36,triangle,850,1104,616,,276300.0708290455,6819945.775517098,29298.38720703125,184.6845683869728,180.5984769281603,134.6845683869728,130.5984769281603,32,1341,1e-05,
37,triangle,824,987,938,,268875.06337575865,6818013.511041157,236044.72412109375,217.5223950971461,217.8493273800984,167.5223950971461,167.8493273800984,52,1561,1.189207115e-05,
38,triangle,321,1122,320,,272653.25045765814,6813425.888709258,26757.2353515625,190.83456737813484,190.38013159017876,140.8345673781348,140.38013159017882,18,2041,4.30886938006e-06,
39,triangle,46,1332,45,,274322.17044620606,6818338.853316967,6865.17333984375,161.22553056870896,161.16170147694314,111.22553056870899,111.16170147694312,32,1341,1e-05,
