edge_id,node_a,node_b,cell_a,cell_b,length_m,edge_kind,is_river,geology_a_key,geology_b_key
0,0,537,573,,2034.375,boundary,False,1841,
1,0,568,575,,1965.0,boundary,False,1841,
2,0,1231,573,575,2012.8511817917947,internal,False,1841,1841
3,1,543,663,,2034.375,boundary,False,2021,
4,1,544,672,,1965.0,boundary,False,2021,
5,1,1249,663,672,2056.9901252962254,internal,False,2021,2021
6,2,552,64,,1965.0,boundary,False,2021,
7,2,553,104,,2034.375,boundary,False,2021,
8,2,1234,64,104,2653.347252819791,internal,False,2021,2021
9,3,559,176,,2034.375,boundary,False,1841,
10,3,560,138,,1965.0,boundary,False,1841,
11,3,987,138,176,2387.462571398047,internal,False,1841,1841
12,4,5,2163,2214,35.08087432294305,internal,True,1841,1841
13,4,269,1952,2214,2.661026443383226,geology_interface,False,1701,1841
14,4,270,1952,2197,70.98514285503907,internal,True,1701,1701
15,4,271,2197,2198,134.88143640819385,internal,False,1701,1701
16,4,272,2198,2199,201.72506509460874,internal,False,1701,1701
17,4,273,2189,2199,223.69374266153108,internal,False,1701,1701
18,4,598,2163,2190,296.24932543800617,geology_interface,False,1841,1701
19,4,1320,2189,2190,258.8249218371562,internal,False,1701,1701
20,5,6,1476,2220,75.0,internal,True,1841,1841
21,5,269,2214,2220,35.67313670669399,internal,False,1841,1841
22,5,598,106,2163,291.74890616265697,internal,False,1841,1841
23,5,762,106,1476,147.07253134036372,internal,False,1841,1841
24,6,7,1511,2210,106.06601717798213,internal,True,1841,1841
25,6,268,2208,2221,181.78210906808852,internal,False,1841,1841
26,6,269,2220,2221,101.95005852339139,internal,False,1841,1841
27,6,762,1476,1511,150.01822015799905,internal,False,1841,1841
28,6,1322,2208,2210,120.73740399278005,internal,False,1841,1841
29,7,8,641,2212,75.0,internal,True,1841,1841
30,7,762,1511,1608,136.79229011659436,internal,False,1841,1841
31,7,1099,641,1608,188.97857035284068,internal,False,1841,1841
32,7,1322,2210,2212,97.35899244826942,internal,False,1841,1841
33,8,9,508,2207,75.0,internal,True,1841,1841
34,8,1099,641,1836,188.97857035284068,internal,False,1841,1841
35,8,1260,508,1836,165.14220318918387,internal,False,1841,1841
36,8,1322,2207,2212,91.22266308750861,internal,False,1841,1841
37,9,10,1172,2203,75.0,internal,True,1841,1841
38,9,1260,508,1172,119.18328566305007,internal,False,1841,1841
39,9,1321,2203,2215,189.80142862635464,internal,False,1841,1841
40,9,1322,2207,2215,135.69957667956092,internal,False,1841,1841
41,10,11,278,2205,106.06601717798213,internal,True,1841,1841
42,10,708,727,786,255.982348838406,internal,False,1841,1841
43,10,888,278,786,198.47951743297585,internal,False,1841,1841
44,10,1260,727,1172,111.29853498003784,internal,False,1841,1841
45,10,1321,2203,2205,189.0937911201669,internal,False,1841,1841
46,11,12,1787,2202,106.06601717798213,internal,True,1841,1841
47,11,888,278,1787,118.7368904346896,internal,False,1841,1841
48,11,1321,2202,2205,156.55580419866538,internal,False,1841,1841
49,12,13,1674,2222,75.0,internal,True,1841,1841
50,12,297,2200,2222,75.0,internal,False,1841,1841
51,12,888,1674,1787,106.31453080257654,internal,False,1841,1841
52,12,1321,2200,2202,189.11101981741942,internal,False,1841,1841
53,13,14,833,2259,75.0,internal,True,1841,1841
54,13,297,2222,2263,106.06601717798213,internal,True,1841,1841
55,13,888,833,1674,103.44508638288335,internal,False,1841,1841
56,13,1326,2259,2263,114.06689880981736,internal,False,1841,1841
57,14,15,1512,2255,106.06601717798213,internal,True,1841,1841
58,14,796,745,1512,108.19347781504486,internal,False,1841,1841
59,14,888,745,833,146.11294375842408,internal,False,1841,1841
60,14,1326,2255,2259,118.72350871371107,internal,False,1841,1841
61,15,16,1675,2260,75.0,internal,True,1841,1841
62,15,796,1512,1675,116.97446214529954,internal,False,1841,1841
63,15,1326,2255,2270,124.73106826596775,internal,False,1841,1841
64,15,1329,2260,2270,124.70186446165992,internal,False,1841,1841
65,16,17,222,2264,106.06601717798213,internal,True,1841,1841
66,16,796,1260,1675,124.1944975935052,internal,False,1841,1841
67,16,883,222,1260,211.60288383896622,internal,False,1841,1841
68,16,1329,2260,2264,125.3363183595715,internal,False,1841,1841
69,17,18,81,2228,106.06601717798213,internal,True,1841,1841
70,17,883,222,1248,238.55322084725626,internal,False,1841,1841
71,17,1015,81,1248,246.10729003802282,internal,False,1841,1841
72,17,1329,2254,2264,121.87743234031096,internal,False,1841,1841
73,17,1331,2228,2254,191.21323175972944,internal,False,1841,1841
74,18,19,482,2265,106.06601717798213,internal,True,1841,1841
75,18,1015,81,482,198.29889026942573,internal,False,1841,1841
76,18,1331,2228,2265,118.58541225631423,internal,False,1841,1841
77,19,20,834,2261,75.0,internal,True,1841,1841
78,19,709,994,1058,241.2701020485774,internal,False,1841,1841
79,19,889,834,994,159.0990257669732,internal,False,1841,1841
80,19,1015,482,1058,201.43510506937963,internal,False,1841,1841
81,19,1331,2261,2265,118.58541225631423,internal,False,1841,1841
82,20,21,1676,2236,75.0,internal,True,1841,1841
83,20,889,834,1676,118.58541225631423,internal,False,1841,1841
84,20,1331,2236,2261,118.58541225631423,internal,False,1841,1841
85,21,22,1788,2240,106.06601717798213,internal,True,1841,1841
86,21,889,1676,1788,118.58541225631423,internal,False,1841,1841
87,21,1330,2249,2251,213.0683825969345,internal,False,1841,1841
88,21,1331,2236,2251,159.0990257669732,internal,False,1841,1841
89,21,1333,2240,2249,143.30215944338946,internal,False,1841,1841
90,22,23,439,2224,106.06601717798213,internal,True,1841,1841
91,22,889,439,1788,118.58541225631423,internal,False,1841,1841
92,22,1333,2224,2240,124.40237270125458,internal,False,1841,1841
93,23,24,1789,2239,106.06601717798213,internal,True,1841,1841
94,23,889,439,1500,191.21323175972944,internal,False,1841,1841
95,23,890,1500,1789,125.97109920321385,internal,False,1841,1841
