cell_id,geom_type,n0,n1,n2,n3,centroid_x,centroid_y,area_m2,z_top_centroid,z_top_mean,z_bottom_centroid,z_bottom_mean,geology_code,geology_key,hydraulic_conductivity_m_s,storage_coefficient
0,triangle,100,212,99,,466762.4170251113,6869401.730424409,9823.12109375,,,-10049.0,-10049.0,41,801,7.07106781187e-06,
1,triangle,114,176,63,,464744.4525821805,6868118.809093832,51763.6240234375,185.96010440286418,183.34086494687483,135.96010440286418,133.34086494687483,41,801,7.07106781187e-06,
2,triangle,146,183,158,,465497.44068159553,6864823.2255932195,506388.2470703125,205.92674700563333,208.7086931052717,155.92674700563336,158.7086931052717,12,1841,7.723025602159643e-06,
3,triangle,27,190,26,,466485.9226535818,6867110.922653582,10895.09765625,193.15940574418408,191.53693806098715,143.15940574418406,141.53693806098715,30,1701,7.36806299728e-06,
4,triangle,86,170,85,,464852.67214372795,6869137.692310984,35321.181640625,176.4523869205035,175.06461326769207,126.45238692050351,125.06461326769208,30,1701,7.3574560263725e-06,
5,triangle,46,175,45,,465957.0400987581,6868441.330759444,6417.0107421875,170.47312769139475,166.13447755530996,120.47312769139475,116.13447755530996,30,1701,7.36806299728e-06,
6,triangle,147,152,107,,468262.71270255634,6868598.648484399,1053633.4599609375,,,-10049.0,-10049.0,98,2021,5.325160264905715e-06,
7,triangle,19,206,18,,466995.70665579103,6866638.271780302,6635.07421875,205.34163674625256,204.59433378415778,155.34163674625256,154.59433378415778,30,1701,7.36806299728e-06,
8,triangle,14,163,13,,467080.8035714286,6866198.4375,6277.90234375,208.78932531107097,208.7539429948439,158.78932531107094,158.7539429948439,30,1701,7.36806299728e-06,
9,triangle,133,227,150,,466733.1468071797,6867846.381292459,112279.2685546875,179.26243271397206,177.11890194527018,129.26243271397206,127.11890194527018,30,1701,7.36806299728e-06,
10,triangle,68,218,67,,465009.72137208516,6866887.840339393,94834.4033203125,205.09032607872646,207.85454311412653,155.0903260787265,157.85454311412653,41,801,7.1025549360057145e-06,
11,triangle,2,152,106,,468218.5842451433,6869785.144775671,731041.5400390625,,,-10049.0,-10049.0,40,901,7.751447235274999e-06,
12,triangle,31,189,30,,466234.24206889234,6867371.641675387,11911.921875,184.23228652564916,183.98868350336866,134.23228652564916,133.98868350336866,30,1701,7.36806299728e-06,
13,triangle,178,179,121,,468352.8213191414,6865471.763919118,113329.2998046875,228.48942655088615,232.6299597007478,-7024.570346987784,-4388.420129752395,30,1701,7.36806299728e-06,
14,triangle,92,203,181,,462328.48187536775,6868288.770580324,165509.4658203125,207.56944539715045,207.4114823788582,157.56944539715045,157.41148237885824,41,801,7.07106781187e-06,
15,triangle,107,185,147,,468493.5141477751,6867926.924758069,861694.8095703125,,,-10049.0,-10049.0,40,901,7.8963665268e-06,
16,triangle,158,237,112,,465956.67948138603,6864018.74843061,367697.0654296875,183.35889699923388,214.36700639290427,133.35889699923388,164.36700639290427,12,1841,7.931827134441786e-06,
17,triangle,29,190,28,,466385.9226535818,6867210.922653582,10895.0966796875,188.78233276353427,188.403601675896,138.78233276353427,138.403601675896,30,1701,7.36806299728e-06,
18,triangle,93,181,94,,462495.4341165486,6867761.970043641,123272.240234375,216.15904044539025,218.2527700837159,166.15904044539025,168.2527700837159,41,801,7.0816747827775e-06,
19,triangle,70,183,118,,466110.11015521263,6865549.433175351,169124.529296875,233.72513967267196,224.01282823929583,183.725139672672,174.01282823929583,30,1701,7.36806299728e-06,
20,triangle,147,227,91,,467218.80903163593,6868367.078552294,220714.3232421875,,164.52392423833953,-10049.0,-6661.158691920554,30,1701,7.36806299728e-06,
21,triangle,72,200,71,,468126.98101644375,6864550.370127565,114254.6865234375,239.44731111468366,243.9839512187517,189.44731111468366,193.9839512187517,30,1701,7.36806299728e-06,
22,triangle,146,197,183,,465184.45241586474,6865157.491848835,328679.1484375,197.7767294203661,206.21300827048412,147.7767294203661,156.21300827048415,30,1701,7.5977446827903565e-06,
23,triangle,112,237,111,,466192.7060415133,6863693.521428169,412264.9638671875,173.87660079754522,204.095293750536,123.87660079754524,154.095293750536,12,1841,7.95270728767e-06,
24,triangle,86,214,87,,465198.82272552187,6869063.739438585,49711.626953125,178.43019296495814,173.7104143296527,128.43019296495817,123.71041432965269,41,801,7.092281753685001e-06,
25,triangle,107,152,2,,468862.3342451433,6869241.394775671,1468530.5810546875,,,-10049.0,-10049.0,98,2021,5.734208475687857e-06,
26,triangle,45,175,44,,465957.0400987581,6868391.330759444,6417.01171875,171.96641898158336,166.43447552080474,121.96641898158333,116.43447552080475,30,1701,7.36806299728e-06,
27,triangle,64,205,115,,465149.52089335985,6867793.230158064,28781.3017578125,185.73951691733416,186.90012749112506,135.73951691733416,136.90012749112503,41,801,7.092281753685001e-06,
28,triangle,103,203,92,,462066.0508907199,6868397.939682928,210080.77734375,206.63182206094092,206.51411290583997,156.63182206094092,156.51411290583997,41,801,7.07106781187e-06,
