site_id,site_label,region_id,cluster_id,cluster_label,cluster_family,cluster_scale,source_selection_id,site_status,maturity,site_group,x,y,x_outlet,y_outlet,area_km2,target_area_km2,geology_strategy,k_table_id,selection_provenance,n1_compare_config,n2_compare_config,n3_compare_config_prefix,tags,enabled
site_01,Site 01,armorican_massif,n1_10km2_geology_k,N1 10 km2 geology/K,headwater,10km2,armorican_demo_sites,ready,screening,small,131189.100,6833784.400,131189.100,6833784.400,,10.0,geology_rivers_k,geology_K_dummy_demo,armorican_demo_sites,../../outputs/boussinesq_natural_n1_10km2_testbed/_generated_configs/site_01.toml,,../../outputs/boussinesq_natural_n3_mesh_sensitivity_testbed/_generated_configs/site_01,natural;regional_lab;n1_10km2;comparison;boussinesq;modflow6;geology_heterogeneous;n3_anchor,true
site_02,Site 02,armorican_massif,n1_10km2_geology_k,N1 10 km2 geology/K,headwater,10km2,armorican_demo_sites,ready,screening,small,142435.200,6837977.100,142435.200,6837977.100,,10.0,geology_rivers_k,geology_K_dummy_demo,armorican_demo_sites,../../outputs/boussinesq_natural_n1_10km2_testbed/_generated_configs/site_02.toml,,,natural;regional_lab;n1_10km2;comparison;boussinesq;modflow6;geology_heterogeneous,true
site_03,Site 03,armorican_massif,n1_10km2_geology_k,N1 10 km2 geology/K,headwater,10km2,armorican_demo_sites,ready,screening,small,153077.000,6832394.300,153077.000,6832394.300,,10.0,geology_rivers_k,geology_K_dummy_demo,armorican_demo_sites,../../outputs/boussinesq_natural_n1_10km2_testbed/_generated_configs/site_03.toml,,,natural;regional_lab;n1_10km2;comparison;boussinesq;modflow6;geology_heterogeneous,true
site_04,Site 04,armorican_massif,n1_10km2_geology_k,N1 10 km2 geology/K,headwater,10km2,armorican_demo_sites,ready,screening,small,162427.700,6839998.400,162427.700,6839998.400,,10.0,geology_rivers_k,geology_K_dummy_demo,armorican_demo_sites,../../outputs/boussinesq_natural_n1_10km2_testbed/_generated_configs/site_04.toml,,,natural;regional_lab;n1_10km2;comparison;boussinesq;modflow6;geology_heterogeneous,true
site_05,Site 05,armorican_massif,n1_10km2_geology_k,N1 10 km2 geology/K,headwater,10km2,armorican_demo_sites,ready,screening,medium,132962.900,6845656.100,132962.900,6845656.100,,10.0,geology_rivers_k,geology_K_dummy_demo,armorican_demo_sites,../../outputs/boussinesq_natural_n1_10km2_testbed/_generated_configs/site_05.toml,,../../outputs/boussinesq_natural_n3_mesh_sensitivity_testbed/_generated_configs/site_05,natural;regional_lab;n1_10km2;comparison;boussinesq;modflow6;geology_heterogeneous;n3_anchor,true
site_06,Site 06,armorican_massif,n1_10km2_geology_k,N1 10 km2 geology/K,headwater,10km2,armorican_demo_sites,ready,screening,medium,146274.500,6849349.000,146274.500,6849349.000,,10.0,geology_rivers_k,geology_K_dummy_demo,armorican_demo_sites,../../outputs/boussinesq_natural_n1_10km2_testbed/_generated_configs/site_06.toml,,,natural;regional_lab;n1_10km2;comparison;boussinesq;modflow6;geology_heterogeneous,true
site_07,Site 07,armorican_massif,n1_10km2_geology_k,N1 10 km2 geology/K,headwater,10km2,armorican_demo_sites,ready,screening,medium,158140.700,6851240.500,158140.700,6851240.500,,10.0,geology_rivers_k,geology_K_dummy_demo,armorican_demo_sites,../../outputs/boussinesq_natural_n1_10km2_testbed/_generated_configs/site_07.toml,,,natural;regional_lab;n1_10km2;comparison;boussinesq;modflow6;geology_heterogeneous,true
site_08,Site 08,armorican_massif,n1_10km2_geology_k,N1 10 km2 geology/K,headwater,10km2,armorican_demo_sites,ready,screening,medium,164915.000,6861154.300,164915.000,6861154.300,,10.0,geology_rivers_k,geology_K_dummy_demo,armorican_demo_sites,../../outputs/boussinesq_natural_n1_10km2_testbed/_generated_configs/site_08.toml,,,natural;regional_lab;n1_10km2;comparison;boussinesq;modflow6;geology_heterogeneous,true
headwater_100km2_outlet_1,Headwater 100 km2 outlet 1,armorican_massif,n2_100km2_headwater,N2 100 km2 headwater,headwater,100km2,mesh_gallery_100km2_screening,candidate,screening,headwater_100km2,227737.500,6875587.500,227737.500,6875587.500,,100.0,geology_rivers_k,geology_K_dummy_demo,mesh_gallery_min_boundary_node,,../../outputs/boussinesq_natural_n2_100km2_testbed/_generated_configs/headwater_100km2_outlet_1.toml,,natural;regional_lab;n2_100km2;comparison;boussinesq;modflow6;geology_heterogeneous,true
headwater_100km2_outlet_2,Headwater 100 km2 outlet 2,armorican_massif,n2_100km2_headwater,N2 100 km2 headwater,headwater,100km2,mesh_gallery_100km2_screening,candidate,screening,headwater_100km2,399562.500,6855345.833,399562.500,6855345.833,,100.0,geology_rivers_k,geology_K_dummy_demo,mesh_gallery_min_boundary_node,,../../outputs/boussinesq_natural_n2_100km2_testbed/_generated_configs/headwater_100km2_outlet_2.toml,../../outputs/boussinesq_natural_n3_mesh_sensitivity_testbed/_generated_configs/headwater_100km2_outlet_2,natural;regional_lab;n2_100km2;comparison;boussinesq;modflow6;geology_heterogeneous;n3_anchor,true
