site_id,candidate_id,x,y,outlet_crs,area_km2,status,site_label,source,source_feature_id,watershed_shp,geology_class,piezometer_count
aura_area_50_150_01,aura_area_50_150_01,842000.0,6502000.0,EPSG:2154,52.0,delineated,AURA area-only 52 km2,fixture_area_grid,aura_area_50_150_01,basins/aura_area_50_150_01.geojson,volcanic_basement,0
aura_area_50_150_02,aura_area_50_150_02,861500.0,6502000.0,EPSG:2154,57.0,delineated,AURA area-only 57 km2,fixture_area_grid,aura_area_50_150_02,basins/aura_area_50_150_02.geojson,crystalline_basement,0
aura_area_50_150_03,aura_area_50_150_03,881000.0,6502000.0,EPSG:2154,63.0,delineated,AURA area-only 63 km2,fixture_area_grid,aura_area_50_150_03,basins/aura_area_50_150_03.geojson,sedimentary_cover,0
aura_area_50_150_04,aura_area_50_150_04,900500.0,6502000.0,EPSG:2154,68.0,delineated,AURA area-only 68 km2,fixture_area_grid,aura_area_50_150_04,basins/aura_area_50_150_04.geojson,alluvial_plain,0
aura_area_50_150_05,aura_area_50_150_05,920000.0,6502000.0,EPSG:2154,74.0,delineated,AURA area-only 74 km2,fixture_area_grid,aura_area_50_150_05,basins/aura_area_50_150_05.geojson,volcanic_basement,0
aura_area_50_150_06,aura_area_50_150_06,842000.0,6518000.0,EPSG:2154,79.0,delineated,AURA area-only 79 km2,fixture_area_grid,aura_area_50_150_06,basins/aura_area_50_150_06.geojson,crystalline_basement,0
aura_area_50_150_07,aura_area_50_150_07,861500.0,6518000.0,EPSG:2154,84.0,delineated,AURA area-only 84 km2,fixture_area_grid,aura_area_50_150_07,basins/aura_area_50_150_07.geojson,sedimentary_cover,0
aura_area_50_150_08,aura_area_50_150_08,881000.0,6518000.0,EPSG:2154,89.0,delineated,AURA area-only 89 km2,fixture_area_grid,aura_area_50_150_08,basins/aura_area_50_150_08.geojson,alluvial_plain,0
aura_area_50_150_09,aura_area_50_150_09,900500.0,6518000.0,EPSG:2154,94.0,delineated,AURA area-only 94 km2,fixture_area_grid,aura_area_50_150_09,basins/aura_area_50_150_09.geojson,volcanic_basement,0
aura_area_50_150_10,aura_area_50_150_10,920000.0,6518000.0,EPSG:2154,99.0,delineated,AURA area-only 99 km2,fixture_area_grid,aura_area_50_150_10,basins/aura_area_50_150_10.geojson,crystalline_basement,0
aura_area_50_150_11,aura_area_50_150_11,842000.0,6534000.0,EPSG:2154,104.0,delineated,AURA area-only 104 km2,fixture_area_grid,aura_area_50_150_11,basins/aura_area_50_150_11.geojson,sedimentary_cover,0
aura_area_50_150_12,aura_area_50_150_12,861500.0,6534000.0,EPSG:2154,109.0,delineated,AURA area-only 109 km2,fixture_area_grid,aura_area_50_150_12,basins/aura_area_50_150_12.geojson,alluvial_plain,0
aura_area_50_150_13,aura_area_50_150_13,881000.0,6534000.0,EPSG:2154,114.0,delineated,AURA area-only 114 km2,fixture_area_grid,aura_area_50_150_13,basins/aura_area_50_150_13.geojson,volcanic_basement,0
aura_area_50_150_14,aura_area_50_150_14,900500.0,6534000.0,EPSG:2154,119.0,delineated,AURA area-only 119 km2,fixture_area_grid,aura_area_50_150_14,basins/aura_area_50_150_14.geojson,crystalline_basement,0
aura_area_50_150_15,aura_area_50_150_15,920000.0,6534000.0,EPSG:2154,124.0,delineated,AURA area-only 124 km2,fixture_area_grid,aura_area_50_150_15,basins/aura_area_50_150_15.geojson,sedimentary_cover,0
aura_area_50_150_16,aura_area_50_150_16,842000.0,6550000.0,EPSG:2154,129.0,delineated,AURA area-only 129 km2,fixture_area_grid,aura_area_50_150_16,basins/aura_area_50_150_16.geojson,alluvial_plain,0
aura_area_50_150_17,aura_area_50_150_17,861500.0,6550000.0,EPSG:2154,134.0,delineated,AURA area-only 134 km2,fixture_area_grid,aura_area_50_150_17,basins/aura_area_50_150_17.geojson,volcanic_basement,0
aura_area_50_150_18,aura_area_50_150_18,881000.0,6550000.0,EPSG:2154,139.0,delineated,AURA area-only 139 km2,fixture_area_grid,aura_area_50_150_18,basins/aura_area_50_150_18.geojson,crystalline_basement,0
aura_area_50_150_19,aura_area_50_150_19,900500.0,6550000.0,EPSG:2154,144.0,delineated,AURA area-only 144 km2,fixture_area_grid,aura_area_50_150_19,basins/aura_area_50_150_19.geojson,sedimentary_cover,0
aura_area_50_150_20,aura_area_50_150_20,920000.0,6550000.0,EPSG:2154,149.0,delineated,AURA area-only 149 km2,fixture_area_grid,aura_area_50_150_20,basins/aura_area_50_150_20.geojson,alluvial_plain,0
