site_id,candidate_id,x,y,outlet_crs,area_km2,status,site_label,source,source_feature_id,flow_station_id,flow_station_label,flow_station_source,flow_station_x,flow_station_y,flow_station_crs,flow_station_record_years,station_to_outlet_distance_km,station_inside_or_at_outlet,major_dam_upstream,major_withdrawal_upstream,major_regulated_reach,geology_class,piezometer_id,piezometer_label,piezometer_source,piezometer_x,piezometer_y,piezometer_crs,piezometer_record_years,piezometer_distance_km,piezometer_inside_basin
hubeau_J3323020,J332302002,132978.0,6844864.0,EPSG:2154,94.25,delineated,L'Aber Ildut a Breles et a Plouarzel,hubeau_hydrometrie,J332302002,J332302002,L'Aber Ildut a Breles et a Plouarzel,hubeau,132978.0,6844864.0,EPSG:2154,47.1,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J3204020,J320402002,154677.0,6854114.0,EPSG:2154,79.2,delineated,L'Aber Wrac'h a Lanarvily et a Loc-Brevalaire,hubeau_hydrometrie,J320402002,J320402002,L'Aber Wrac'h a Lanarvily et a Loc-Brevalaire,hubeau,154677.0,6854114.0,EPSG:2154,14.9,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J3514010,J351401001,166609.0,6834007.0,EPSG:2154,66.4,delineated,La Mignonne a Irvillac,hubeau_hydrometrie,J351401001,J351401001,La Mignonne a Irvillac,hubeau,166609.0,6834007.0,EPSG:2154,53.7,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J4313010,J431301002,167977.0,6793796.0,EPSG:2154,179.67,delineated,Le Steir a Guengat,hubeau_hydrometrie,J431301002,J431301002,Le Steir a Guengat,hubeau,167977.0,6793796.0,EPSG:2154,8.6,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J4211910,J421191001,173946.0,6790869.0,EPSG:2154,203.2,delineated,L'Odet a Ergue-Gaberic,hubeau_hydrometrie,J421191001,J421191001,L'Odet a Ergue-Gaberic,hubeau,173946.0,6790869.0,EPSG:2154,71.1,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J3834010,J383401001,176706.0,6818964.0,EPSG:2154,138.73,delineated,La Douffine a Loperec,hubeau_hydrometrie,J383401001,J383401001,La Douffine a Loperec,hubeau,176710.0,6818968.0,EPSG:2154,58.5,0.006,true,false,false,false,unknown,,,,,,,,,
hubeau_J4224010,J422401001,177426.0,6788625.0,EPSG:2154,107.43,delineated,Le Jet a Ergue-Gaberic,hubeau_hydrometrie,J422401001,J422401001,Le Jet a Ergue-Gaberic,hubeau,177426.0,6788625.0,EPSG:2154,58.6,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J4201920,J420192001,180603.0,6793646.0,EPSG:2154,125.85,delineated,L'Odet a Ergue-Gaberic,hubeau_hydrometrie,J420192001,J420192001,L'Odet a Ergue-Gaberic,hubeau,180603.0,6793646.0,EPSG:2154,34.0,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J2723010,J272301001,190008.0,6854123.0,EPSG:2154,141.6,delineated,La Penze a Taule,hubeau_hydrometrie,J272301001,J272301001,La Penze a Taule,hubeau,190008.0,6854123.0,EPSG:2154,60.2,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J4614010,J461401001,196196.0,6777911.0,EPSG:2154,72.1,delineated,Le Ster Goz a Bannalec,hubeau_hydrometrie,J461401001,J461401001,Le Ster Goz a Bannalec,hubeau,196196.0,6777911.0,EPSG:2154,58.5,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J2614010,J261401002,196229.0,6851556.0,EPSG:2154,95.3,delineated,Le Queffleuth a Plourin-les-Morlaix,hubeau_hydrometrie,J261401002,J261401002,Le Queffleuth a Plourin-les-Morlaix,hubeau,196229.0,6851556.0,EPSG:2154,36.1,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J4623020,J462302001,197284.0,6775308.0,EPSG:2154,167.2,delineated,L'Aven a Pont-Aven [Voie express],hubeau_hydrometrie,J462302001,J462302001,L'Aven a Pont-Aven [Voie express],hubeau,197284.0,6775308.0,EPSG:2154,32.7,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J4803010,J480301001,202946.0,6786289.0,EPSG:2154,110.0,delineated,L'Isole a Scaer,hubeau_hydrometrie,J480301001,J480301001,L'Isole a Scaer,hubeau,202946.0,6786289.0,EPSG:2154,45.9,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J3601810,J360181001,206966.0,6830706.0,EPSG:2154,117.6,delineated,L'Aulne a Poullaouen,hubeau_hydrometrie,J360181001,J360181001,L'Aulne a Poullaouen,hubeau,206966.0,6830706.0,EPSG:2154,50.5,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J4734010,J473401001,212056.0,6792229.0,EPSG:2154,118.27,delineated,L'Inam au Faouet,hubeau_hydrometrie,J473401001,J473401001,L'Inam au Faouet,hubeau,212056.0,6792229.0,EPSG:2154,45.9,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J2314910,J231491001,216004.0,6858690.0,EPSG:2154,58.1,delineated,Le Yar a Treduder,hubeau_hydrometrie,J231491001,J231491001,Le Yar a Treduder,hubeau,216004.0,6858690.0,EPSG:2154,44.1,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J3713010,J371301001,217958.0,6822181.0,EPSG:2154,258.5,delineated,L'Hyere a Trebrivan,hubeau_hydrometrie,J371301001,J371301001,L'Hyere a Trebrivan,hubeau,217958.0,6822181.0,EPSG:2154,53.0,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J5102210,J510221001,220938.0,6775615.0,EPSG:2154,299.79,delineated,Le Scorff a Plouay,hubeau_hydrometrie,J510221001,J510221001,Le Scorff a Plouay,hubeau,220942.0,6775625.0,EPSG:2154,69.0,0.011,true,false,false,false,unknown,,,,,,,,,
hubeau_J2233020,J223302001,227880.0,6856475.0,EPSG:2154,358.5,delineated,Le Leguer a Pluzunet,hubeau_hydrometrie,J223302001,J223302001,Le Leguer a Pluzunet,hubeau,227880.0,6856475.0,EPSG:2154,31.9,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J2233010,J223301001,228252.0,6846557.0,EPSG:2154,265.0,delineated,Le Leguer a Belle-Isle-en-Terre,hubeau_hydrometrie,J223301001,J223301001,Le Leguer a Belle-Isle-en-Terre,hubeau,228252.0,6846553.0,EPSG:2154,52.4,0.004,true,false,false,false,unknown,,,,,,,,,
hubeau_J2023010,J202301001,239156.0,6864278.0,EPSG:2154,165.32,delineated,Le Jaudy a Mantallot,hubeau_hydrometrie,J202301001,J202301001,Le Jaudy a Mantallot,hubeau,239151.0,6864276.0,EPSG:2154,43.1,0.005,true,false,false,false,unknown,,,,,,,,,
hubeau_J2034010,J203401001,240755.0,6871811.0,EPSG:2154,123.1,delineated,Le Guindy a Plouguiel,hubeau_hydrometrie,J203401001,J203401001,Le Guindy a Plouguiel,hubeau,240755.0,6871811.0,EPSG:2154,40.4,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J5524010,J552401002,245176.0,6780467.0,EPSG:2154,125.3,delineated,La Sarre a Melrand,hubeau_hydrometrie,J552401002,J552401002,La Sarre a Melrand,hubeau,245176.0,6780467.0,EPSG:2154,13.7,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J1721720,J172172001,246510.0,6861042.0,EPSG:2154,418.87,delineated,Le Trieux a Saint-Clet,hubeau_hydrometrie,J172172001,J172172001,Le Trieux a Saint-Clet,hubeau,246514.0,6861046.0,EPSG:2154,35.1,0.006,true,false,false,false,unknown,,,,,,,,,
hubeau_J1711710,J171171001,248593.0,6837815.0,EPSG:2154,183.39,delineated,Le Trieux a Saint-Pever,hubeau_hydrometrie,J171171001,J171171001,Le Trieux a Saint-Pever,hubeau,248593.0,6837815.0,EPSG:2154,44.2,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J6213010,J621301002,251446.0,6752790.0,EPSG:2154,183.6,delineated,L'Auray [Le Loch] a Brech,hubeau_hydrometrie,J621301002,J621301002,L'Auray [Le Loch] a Brech,hubeau,251446.0,6752790.0,EPSG:2154,21.6,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J1813010,J181301001,253896.0,6862231.0,EPSG:2154,339.7,delineated,Le Leff a Quemper-Guezennec et a Yvias,hubeau_hydrometrie,J181301001,J181301001,Le Leff a Quemper-Guezennec et a Yvias,hubeau,253906.0,6862234.0,EPSG:2154,52.4,0.01,true,false,false,false,unknown,,,,,,,,,
hubeau_J8022310,J802231003,267876.0,6800163.0,EPSG:2154,251.3,delineated,L'Oust a Hemonstoir,hubeau_hydrometrie,J802231003,J802231003,L'Oust a Hemonstoir,hubeau,267876.0,6800163.0,EPSG:2154,16.8,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J1614010,J161401001,268873.0,6849417.0,EPSG:2154,79.4,delineated,L'Ic a Binic,hubeau_hydrometrie,J161401001,J161401001,L'Ic a Binic,hubeau,268873.0,6849417.0,EPSG:2154,23.3,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J1513010,J151301001,269011.0,6832180.0,EPSG:2154,135.9,delineated,Le Gouet a Saint-Julien,hubeau_hydrometrie,J151301001,J151301001,Le Gouet a Saint-Julien,hubeau,269011.0,6832180.0,EPSG:2154,52.9,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J8433010,J843301002,273671.0,6762682.0,EPSG:2154,134.7,delineated,La Claie a Saint-Jean-Brevelay,hubeau_hydrometrie,J843301002,J843301002,La Claie a Saint-Jean-Brevelay,hubeau,273672.0,6762681.0,EPSG:2154,51.1,0.001,true,false,false,false,unknown,,,,,,,,,
hubeau_J8133010,J813301001,282656.0,6803934.0,EPSG:2154,298.4,delineated,Le Lie a la Prenessaye et a Plemet,hubeau_hydrometrie,J813301001,J813301001,Le Lie a la Prenessaye et a Plemet,hubeau,282656.0,6803934.0,EPSG:2154,42.9,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J1324010,J132401001,286119.0,6835817.0,EPSG:2154,139.3,delineated,L'Evron a Coetmieux,hubeau_hydrometrie,J132401001,J132401001,L'Evron a Coetmieux,hubeau,286119.0,6835817.0,EPSG:2154,42.4,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J1313010,J131301001,288882.0,6834979.0,EPSG:2154,244.345,delineated,Le Gouessant a Andel,hubeau_hydrometrie,J131301001,J131301001,Le Gouessant a Andel,hubeau,288882.0,6834979.0,EPSG:2154,45.0,0.0,true,false,false,false,unknown,,,,,,,,,
hubeau_J8813010,J881301001,293054.0,6749175.0,EPSG:2154,141.48,delineated,L'Arz a Molac,hubeau_hydrometrie,J881301001,J881301001,L'Arz a Molac,hubeau,293050.0,6749166.0,EPSG:2154,47.2,0.01,true,false,false,false,unknown,,,,,,,,,
