code_site,code_station,surface_bv_km2,record_years,x_l93,y_l93,station_to_outlet_distance_km,influence_generale_site,libelle_site
J3323020,J332302002,94.25,47.1,132978.0,6844864.0,0.0,1,L'Aber Ildut a Breles et a Plouarzel
J3204020,J320402002,79.2,14.9,154677.0,6854114.0,0.0,1,L'Aber Wrac'h a Lanarvily et a Loc-Brevalaire
J3514010,J351401001,66.4,53.7,166609.0,6834007.0,0.0,1,La Mignonne a Irvillac
J4313010,J431301002,179.67,8.6,167977.0,6793796.0,0.0,1,Le Steir a Guengat
J4211910,J421191001,203.2,71.1,173946.0,6790869.0,0.0,1,L'Odet a Ergue-Gaberic
J3834010,J383401001,138.73,58.5,176706.0,6818964.0,0.006,1,La Douffine a Loperec
J4224010,J422401001,107.43,58.6,177426.0,6788625.0,0.0,1,Le Jet a Ergue-Gaberic
J4201920,J420192001,125.85,34.0,180603.0,6793646.0,0.0,1,L'Odet a Ergue-Gaberic
J2723010,J272301001,141.6,60.2,190008.0,6854123.0,0.0,1,La Penze a Taule
J4614010,J461401001,72.1,58.5,196196.0,6777911.0,0.0,1,Le Ster Goz a Bannalec
J2614010,J261401002,95.3,36.1,196229.0,6851556.0,0.0,1,Le Queffleuth a Plourin-les-Morlaix
J4623020,J462302001,167.2,32.7,197284.0,6775308.0,0.0,1,L'Aven a Pont-Aven [Voie express]
J4803010,J480301001,110.0,45.9,202946.0,6786289.0,0.0,1,L'Isole a Scaer
J3601810,J360181001,117.6,50.5,206966.0,6830706.0,0.0,1,L'Aulne a Poullaouen
J4734010,J473401001,118.27,45.9,212056.0,6792229.0,0.0,1,L'Inam au Faouet
J2314910,J231491001,58.1,44.1,216004.0,6858690.0,0.0,1,Le Yar a Treduder
J3713010,J371301001,258.5,53.0,217958.0,6822181.0,0.0,1,L'Hyere a Trebrivan
J5102210,J510221001,299.79,69.0,220938.0,6775615.0,0.011,1,Le Scorff a Plouay
J2233020,J223302001,358.5,31.9,227880.0,6856475.0,0.0,1,Le Leguer a Pluzunet
J2233010,J223301001,265.0,52.4,228252.0,6846557.0,0.004,1,Le Leguer a Belle-Isle-en-Terre
J2023010,J202301001,165.32,43.1,239156.0,6864278.0,0.005,1,Le Jaudy a Mantallot
J2034010,J203401001,123.1,40.4,240755.0,6871811.0,0.0,1,Le Guindy a Plouguiel
J5524010,J552401002,125.3,13.7,245176.0,6780467.0,0.0,1,La Sarre a Melrand
J1721720,J172172001,418.87,35.1,246510.0,6861042.0,0.006,1,Le Trieux a Saint-Clet
J1711710,J171171001,183.39,44.2,248593.0,6837815.0,0.0,1,Le Trieux a Saint-Pever
J6213010,J621301002,183.6,21.6,251446.0,6752790.0,0.0,1,L'Auray [Le Loch] a Brech
J1813010,J181301001,339.7,52.4,253896.0,6862231.0,0.01,1,Le Leff a Quemper-Guezennec et a Yvias
J8022310,J802231003,251.3,16.8,267876.0,6800163.0,0.0,1,L'Oust a Hemonstoir
J1614010,J161401001,79.4,23.3,268873.0,6849417.0,0.0,1,L'Ic a Binic
J1513010,J151301001,135.9,52.9,269011.0,6832180.0,0.0,1,Le Gouet a Saint-Julien
J8433010,J843301002,134.7,51.1,273671.0,6762682.0,0.001,1,La Claie a Saint-Jean-Brevelay
J8133010,J813301001,298.4,42.9,282656.0,6803934.0,0.0,1,Le Lie a la Prenessaye et a Plemet
J1324010,J132401001,139.3,42.4,286119.0,6835817.0,0.0,1,L'Evron a Coetmieux
J1313010,J131301001,244.345,45.0,288882.0,6834979.0,0.0,1,Le Gouessant a Andel
J8813010,J881301001,141.48,47.2,293054.0,6749175.0,0.01,1,L'Arz a Molac
J8443010,J844301001,290.4,20.0,294190.0,6756894.0,0.0,1,La Claie a Saint-Marcel
J8363110,J836311001,300.25,57.0,299877.0,6779635.0,0.004,1,L'Yvel a Loyat
J1103010,J110301001,103.5,53.0,305562.0,6824701.0,0.0,1,L'Arguenon a Jugon-les-Lacs
J1114010,J111401001,112.9,51.8,311559.0,6820098.0,0.0,1,La Rosette a Megrit
J7313010,J731301001,132.2,30.4,312118.0,6793547.0,0.0,1,Le Meu a Gael
J0611610,J061161001,143.5,40.3,316723.0,6807409.0,0.0,1,La Rance a Saint-Jouan-de-l'Isle
J8632410,J863241001,344.85,56.3,320630.0,6759813.0,0.0,1,L'Aff a Quelneuc
J0626610,J062661001,83.3,57.1,326085.0,6808872.0,0.0,1,Le Neal a Medreac
J7353010,J735301001,473.1,56.3,332399.0,6792427.0,0.0,1,Le Meu a Montfort-sur-Meu
J7214010,J721401001,91.71,46.9,344966.0,6797471.0,0.0,1,La Flume a Pace
J7824010,J782401001,111.9,56.2,348547.0,6745196.0,0.0,1,L'Aron a Grand-Fougeray et a Mouais
J0323010,J032301001,62.7,57.1,353995.0,6835360.0,0.0,1,Le Guyoult a Epiniac
J7633010,J763301001,404.1,54.2,353996.0,6761228.0,0.0,1,Le Semnon a Bain-de-Bretagne
J7470001,J747000101,89.5,9.5,356210.0,6776479.0,0.0,1,L'Ise a Bourgbarre
J7114010,J711401001,111.46,34.8,360584.0,6803930.0,0.0,1,L'Illet a Chasne-sur-Illet
J7083110,J708311001,151.29,63.0,365841.0,6796495.0,0.0,1,La Veuvre [Le Chevre] a la Bouexiere
J0144010,J014401001,82.1,56.4,372023.0,6823398.0,0.0,1,La Loisance a Saint-Ouen-la-Rouerie
J0014010,J001401001,64.45,42.9,389395.0,6816620.0,0.0,1,Le Nancon a Lecousse
I9122010,I912201002,149.7,26.2,399243.0,6828501.0,0.698,1,L'Airon a Louvigne-du-Desert et a Landivy
