comparison_id,observable,variable,support,variant_id,reference_variant,comparison_time_key,time,time_index,elapsed_seconds,value_index,value,reference_value,signed_error,absolute_error,relative_error,unit
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_tri,time_index:0,0,0,,0,116.09262084960938,137.73870038042435,-21.646079530814973,21.646079530814973,0.15715321453614753,m
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_tri,time_index:1,1,1,,0,118.03890991210938,147.04473595990157,-29.005826047792198,29.005826047792198,0.19725851359753507,m
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_tri,time_index:2,2,2,,0,117.48055267333984,148.84417821253768,-31.36362553919784,31.36362553919784,0.2107144929404835,m
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_tri,time_index:3,3,3,,0,116.6348648071289,139.1756263014291,-22.5407614943002,22.5407614943002,0.16195911664504392,m
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_tri,time_index:4,4,4,,0,115.90869140625,136.3024803374652,-20.393788931215198,20.393788931215198,0.14962155406653738,m
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_tri,time_index:5,5,5,,0,114.92308044433594,128.99439382884145,-14.071313384505515,14.071313384505515,0.10908468939492279,m
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_tri,time_index:6,6,6,,0,113.84512329101562,123.3863105180288,-9.541187227013168,9.541187227013168,0.0773277617829333,m
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_tri,time_index:7,7,7,,0,113.41221618652344,122.17645635881178,-8.76424017228834,8.76424017228834,0.07173428034734643,m
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_tri,time_index:8,8,8,,0,113.41609954833984,122.31505092716203,-8.89895137882219,8.89895137882219,0.07275434471364826,m
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_tri,time_index:9,9,9,,0,114.17802429199219,125.84460044176588,-11.66657614977369,11.66657614977369,0.0927062115404177,m
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_tri,time_index:10,10,10,,0,114.21210479736328,138.94421449863253,-24.732109701269252,24.732109701269252,0.1780002844343883,m
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_tri,time_index:11,11,11,,0,117.54637145996094,153.7818244704141,-36.23545301045317,36.23545301045317,0.23562897068778413,m
