comparison_id,observable,variable,support,unit,variant_id,variant_label,comparison_time_key,time,time_index,elapsed_seconds,value_index,value
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:0,0,0,,0,137.73870038042435
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:1,1,1,,0,147.04473595990157
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:2,2,2,,0,148.84417821253768
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:3,3,3,,0,139.1756263014291
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:4,4,4,,0,136.3024803374652
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:5,5,5,,0,128.99439382884145
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:6,6,6,,0,123.3863105180288
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:7,7,7,,0,122.17645635881178
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:8,8,8,,0,122.31505092716203
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:9,9,9,,0,125.84460044176588
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:10,10,10,,0,138.94421449863253
ex12_mf6_nwt_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:11,11,11,,0,153.7818244704141
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:0,0,0,,0,126.52974359147287
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:1,1,1,,0,134.59448471293436
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:2,2,2,,0,133.67357705009024
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:3,3,3,,0,129.39851998030517
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:4,4,4,,0,125.91222575047075
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:5,5,5,,0,121.31412058420688
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:6,6,6,,0,117.97972868683175
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:7,7,7,,0,116.9078448186447
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:8,8,8,,0,116.67300115070964
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:9,9,9,,0,118.59925155893679
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:10,10,10,,0,127.25869496719423
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:11,11,11,,0,136.0652278819549
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:0,0,0,,0,121.00265904662545
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:1,1,1,,0,125.85806575425744
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:2,2,2,,0,128.70240147510071
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:3,3,3,,0,125.21070609431013
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:4,4,4,,0,121.36456230309535
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:5,5,5,,0,116.71582047031612
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:6,6,6,,0,113.12099548723972
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:7,7,7,,0,112.17678972495429
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:8,8,8,,0,112.18045217983024
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:9,9,9,,0,114.5811877272346
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:10,10,10,,0,122.91401170020872
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:11,11,11,,0,125.89234491387283
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:0,0,0,,0,0.0018493586063146835
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:1,1,1,,0,0.002758383881731222
