comparison_id,observable,variable,support,variant_id,reference_variant,comparison_time_key,time,time_index,elapsed_seconds,value_index,value,reference_value,signed_error,absolute_error,relative_error,unit
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:0,0,0,,0,116.09262084960938,116.09317049669893,-0.0005496470895565153,0.0005496470895565153,4.734534229747342e-06,m
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:1,1,1,,0,118.03890991210938,118.12833976083722,-0.0894298487278462,0.0894298487278462,0.0007570566801235502,m
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:2,2,2,,0,117.48055267333984,117.48283318499185,-0.0022805116520032698,0.0022805116520032698,1.9411445827258104e-05,m
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:3,3,3,,0,116.6348648071289,116.70188318716795,-0.0670183800390447,0.0670183800390447,0.0005742699107225183,m
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:4,4,4,,0,115.90869140625,115.91040195088696,-0.001710544636964073,0.001710544636964073,1.4757473084157343e-05,m
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:5,5,5,,0,114.92308044433594,114.92213191366938,0.0009485306665624194,0.0009485306665624194,8.253681434268595e-06,m
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:6,6,6,,0,113.84512329101562,113.88930683029733,-0.04418353928170404,0.04418353928170404,0.0003879516041619295,m
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:7,7,7,,0,113.41221618652344,113.38731444423797,0.024901742285464934,0.024901742285464934,0.0002196166511881821,m
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:8,8,8,,0,113.41609954833984,113.26781540737488,0.1482841409649609,0.1482841409649609,0.001309146295720877,m
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:9,9,9,,0,114.17802429199219,113.99212462490206,0.18589966709012629,0.18589966709012629,0.0016308114942312052,m
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:10,10,10,,0,114.21210479736328,116.0170854795419,-1.8049806821786234,1.8049806821786234,0.01555788679501786,m
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:11,11,11,,0,117.54637145996094,118.11859317391419,-0.5722217139532546,0.5722217139532546,0.004844467738544201,m
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:0,0,0,,0,116.22386932373047,116.22570958296646,-0.0018402592359905157,0.0018402592359905157,1.5833495382335063e-05,m
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,nwt_mod_s60,mf6_mod_s60,time_index:1,1,1,,0,118.13345336914062,118.35791046733229,-0.22445709819166382,0.22445709819166382,0.001896426671486531,m
