comparison_id,observable,variable,support,unit,comparison_time_key,time,time_index,elapsed_seconds,value_index,value__bouss_mod_tri,value__mf6_mod_s60,value__mf6_mod_tri,value__nwt_mod_s60
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:0,0,0,,0,106.47634256940385,116.09317049669893,137.73870038042435,116.09262084960938
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:1,1,1,,0,106.476342569405,118.12833976083722,147.04473595990157,118.03890991210938
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:2,2,2,,0,106.47635701071295,117.48283318499185,148.84417821253768,117.48055267333984
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:3,3,3,,0,106.4763550944562,116.70188318716795,139.1756263014291,116.6348648071289
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:4,4,4,,0,106.4763534791711,115.91040195088696,136.3024803374652,115.90869140625
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:5,5,5,,0,106.47635203152448,114.92213191366938,128.99439382884145,114.92308044433594
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:6,6,6,,0,106.47635081124794,113.88930683029733,123.3863105180288,113.84512329101562
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:7,7,7,,0,106.47634971761468,113.38731444423797,122.17645635881178,113.41221618652344
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:8,8,8,,0,106.4763487691001,113.26781540737488,122.31505092716203,113.41609954833984
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:9,9,9,,0,106.47634796956069,113.99212462490206,125.84460044176588,114.17802429199219
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:10,10,10,,0,106.4763472529705,116.0170854795419,138.94421449863253,114.21210479736328
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,time_index:11,11,11,,0,106.47634664890565,118.11859317391419,153.7818244704141,117.54637145996094
