component,unit,time_index,elapsed_seconds,time_label,value__boussinesq_reused_gmsh
closure_residual_m3_s,m3/s,0,0.0,0.0 d,0.0
closure_residual_m3_s,m3/s,1,2592000.0,30.0 d,0.04910395621474582
closure_residual_m3_s,m3/s,2,5184000.0,60.0 d,0.01881506223559964
closure_residual_m3_s,m3/s,3,7776000.0,90.0 d,0.008416684517694275
drainage_total_m3_s,m3/s,0,0.0,0.0 d,0.0
drainage_total_m3_s,m3/s,1,2592000.0,30.0 d,9.014621957842683e-17
drainage_total_m3_s,m3/s,2,5184000.0,60.0 d,4.820773753641452e-16
drainage_total_m3_s,m3/s,3,7776000.0,90.0 d,4.820773753641452e-16
recharge_total_m3_s,m3/s,0,0.0,0.0 d,0.0
recharge_total_m3_s,m3/s,1,2592000.0,30.0 d,0.11831597239176432
recharge_total_m3_s,m3/s,2,5184000.0,60.0 d,0.11831597239176432
recharge_total_m3_s,m3/s,3,7776000.0,90.0 d,0.11831597239176432
storage_change_total_m3_s,m3/s,0,0.0,0.0 d,0.0
storage_change_total_m3_s,m3/s,1,2592000.0,30.0 d,-0.06547219404380364
storage_change_total_m3_s,m3/s,2,5184000.0,60.0 d,-0.025086817354233928
storage_change_total_m3_s,m3/s,3,7776000.0,90.0 d,-0.011222281453896107
surface_excess_total_m3_s,m3/s,0,0.0,0.0 d,0.0
surface_excess_total_m3_s,m3/s,1,2592000.0,30.0 d,0.13468421022082205
surface_excess_total_m3_s,m3/s,2,5184000.0,60.0 d,0.12458772751039812
surface_excess_total_m3_s,m3/s,3,7776000.0,90.0 d,0.12112156932796567
well_total_m3_s,m3/s,0,0.0,0.0 d,0.0
well_total_m3_s,m3/s,1,2592000.0,30.0 d,0.0
well_total_m3_s,m3/s,2,5184000.0,60.0 d,0.0
well_total_m3_s,m3/s,3,7776000.0,90.0 d,0.0
