comparison_id,observable,variable,support,variant_id,reference_variant,comparison_time_key,time,time_index,elapsed_seconds,value_index,value,reference_value,signed_error,absolute_error,relative_error,unit
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,boussinesq_reused_gmsh,mf6_gmsh_existing,time_index:0,0,0,,0,106.47634256940385,106.51730624346636,-0.040963674062510336,0.040963674062510336,0.00038457294412684226,m
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,boussinesq_reused_gmsh,mf6_gmsh_existing,time_index:1,1,1,,0,106.47634256940385,106.525611150807,-0.04926858140314039,0.04926858140314039,0.0004625045645914339,m
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,boussinesq_reused_gmsh,mf6_gmsh_existing,time_index:2,2,2,,0,106.47634256940385,106.5126744036353,-0.036331834231447147,0.036331834231447147,0.00034110338919634837,m
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,boussinesq_reused_gmsh,mf6_gmsh_existing,time_index:3,3,3,,0,106.47634256940385,106.50905440498597,-0.032711835582119875,0.032711835582119875,0.00030712727443563283,m
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,boussinesq_reused_gmsh,mf6_gmsh_existing,time_index:0,0,0,,0,107.98514144451723,108.00990317768238,-0.024761733165149735,0.024761733165149735,0.0002292542853632161,m
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,boussinesq_reused_gmsh,mf6_gmsh_existing,time_index:1,1,1,,0,107.98514144451723,108.01831763140545,-0.033176186888226766,0.033176186888226766,0.0003071348232013295,m
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,boussinesq_reused_gmsh,mf6_gmsh_existing,time_index:2,2,2,,0,107.98514144451723,108.00574519716801,-0.020603752650785623,0.020603752650785623,0.0001907653395027533,m
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,boussinesq_reused_gmsh,mf6_gmsh_existing,time_index:3,3,3,,0,107.98514144451723,108.00270552085975,-0.01756407634252355,0.01756407634252355,0.00016262626253498073,m
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,boussinesq_reused_gmsh,mf6_gmsh_existing,time_index:0,0,0,,0,103.90862585386135,103.92086378397488,-0.01223793011352825,0.01223793011352825,0.00011776201301567127,m
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,boussinesq_reused_gmsh,mf6_gmsh_existing,time_index:1,1,1,,0,103.90862585386135,103.92918289907435,-0.020557045212996172,0.020557045212996172,0.00019779858399309388,m
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,boussinesq_reused_gmsh,mf6_gmsh_existing,time_index:2,2,2,,0,103.90862585386135,103.91679529495248,-0.008169441091126828,0.008169441091126828,7.861521391165956e-05,m
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,boussinesq_reused_gmsh,mf6_gmsh_existing,time_index:3,3,3,,0,103.90862585386135,103.91418664269234,-0.005560788830990759,0.005560788830990759,5.3513278702853765e-05,m
