comparison_id,observable,variable,support,unit,variant_id,variant_label,comparison_time_key,time,time_index,elapsed_seconds,value_index,value
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:0,0,0,,0,132.24531878179116
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:1,1,1,,0,143.59820545325744
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:2,2,2,,0,143.56068672846402
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:3,3,3,,0,135.62476748712416
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:4,4,4,,0,131.32830006918633
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:5,5,5,,0,123.98280097995426
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:6,6,6,,0,117.7717753857996
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:7,7,7,,0,117.15264746891853
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:8,8,8,,0,116.58384635496445
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:9,9,9,,0,118.58447229657756
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:10,10,10,,0,137.09159869109976
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:11,11,11,,0,152.06536778077077
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:0,0,0,,0,119.33384278093484
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:1,1,1,,0,125.77197760177073
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:2,2,2,,0,124.34022555687945
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:3,3,3,,0,121.59058009718764
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:4,4,4,,0,119.00891642187642
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:5,5,5,,0,115.80732583763704
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:6,6,6,,0,112.97542300262194
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:7,7,7,,0,112.18207964185798
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:8,8,8,,0,111.66453977737977
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:9,9,9,,0,112.46253210705068
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:10,10,10,,0,122.97709227135998
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:11,11,11,,0,132.13922485141353
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:0,0,0,,0,114.30806395166759
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:1,1,1,,0,122.956806086966
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:2,2,2,,0,121.0785354761927
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:3,3,3,,0,117.9210304138346
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:4,4,4,,0,114.77599456851675
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:5,5,5,,0,110.99217871861455
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:6,6,6,,0,107.60052011421806
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:7,7,7,,0,106.8269839772288
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:8,8,8,,0,106.31517410103919
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:9,9,9,,0,107.41546936133192
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:10,10,10,,0,117.80392317100771
example12_mf6_vs_nwt_different_meshes_demonstrative,head_upstream_ridge,watertable_elevation,point,m,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:11,11,11,,0,126.30913236251821
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:0,0,0,,0,0.0028833768402904297
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:1,1,1,,0,0.0046665027509874045
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:2,2,2,,0,0.0050573490562914195
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:3,3,3,,0,0.0033318821180906492
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:4,4,4,,0,0.0027074543712690847
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:5,5,5,,0,0.0012957117973902595
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:6,6,6,,0,0.00036142024061441787
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:7,7,7,,0,0.0002889302595567456
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:8,8,8,,0,0.000239029665611683
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:9,9,9,,0,0.00036556584836469613
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:10,10,10,,0,0.003177787104562119
example12_mf6_vs_nwt_different_meshes_demonstrative,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,time_index:11,11,11,,0,0.005709883073030161
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:0,0,0,,0,112.56531524658203
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:1,1,1,,0,114.15611267089844
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:2,2,2,,0,113.77091217041016
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:3,3,3,,0,113.1178970336914
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:4,4,4,,0,112.46649169921875
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:5,5,5,,0,111.61499786376953
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:6,6,6,,0,109.7719955444336
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:7,7,7,,0,109.06504821777344
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:8,8,8,,0,109.16141510009766
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:9,9,9,,0,110.52651977539062
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:10,10,10,,0,110.65998077392578
example12_mf6_vs_nwt_different_meshes_demonstrative,head_outlet_lowland,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:11,11,11,,0,113.93795776367188
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:0,0,0,,0,112.8728256225586
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:1,1,1,,0,114.46104431152344
example12_mf6_vs_nwt_different_meshes_demonstrative,head_mid_basin_response,watertable_elevation,point,m,nwt_demo_structured,NWT annual demonstrative on 60x60 structured grid,time_index:2,2,2,,0,114.08365631103516
