;REA_historic;OLD_historic;REAUP_historic
1960-01-01;0.50177526;;
1960-01-02;0.561105;;
1960-01-03;0.60285187;;
1960-01-04;0.62938833;;
1960-01-05;0.63309646;;
1960-01-06;0.6280174;;
1960-01-07;0.61847925;;
1960-01-08;0.6064346;;
1960-01-09;0.5914476;;
1960-01-10;0.57105637;;
1960-01-11;0.5465555;;
1960-01-12;0.52596164;;
1960-01-13;0.51708245;;
1960-01-14;0.5153234;;
1960-01-15;0.51139665;;
1960-01-16;0.49981833;;
1960-01-17;0.49064732;;
1960-01-18;0.51593256;;
1960-01-19;0.55380297;;
1960-01-20;0.5919876;;
1960-01-21;0.6295805;;
1960-01-22;0.6842718;;
1960-01-23;0.93211555;;
1960-01-24;1.0612035;;
1960-01-25;1.1912355;;
1960-01-26;1.2653408;;
1960-01-27;1.405076;;
1960-01-28;1.5355315;;
1960-01-29;1.5997591;;
1960-01-30;1.5899463;;
1960-01-31;1.5437288;;
1960-02-01;1.4795961;;
1960-02-02;1.4025431;;
1960-02-03;1.3230381;;
1960-02-04;1.254117;;
1960-02-05;1.1988373;;
1960-02-06;1.1474428;;
1960-02-07;1.0958147;;
1960-02-08;1.0394039;;
1960-02-09;0.9765358;;
1960-02-10;0.9123144;;
1960-02-11;0.8519783;;
1960-02-12;0.79844666;;
1960-02-13;0.75604916;;
1960-02-14;0.7268448;;
1960-02-15;0.706213;;
1960-02-16;0.6896372;;
1960-02-17;0.67572117;;
1960-02-18;0.66181374;;
1960-02-19;0.64512634;;
1960-02-20;0.63157177;;
1960-02-21;0.62828445;;
1960-02-22;0.6395302;;
1960-02-23;0.6637268;;
1960-02-24;0.73879147;;
1960-02-25;0.9002199;;
1960-02-26;1.032237;;
1960-02-27;1.198781;;
1960-02-28;1.3393412;;
1960-02-29;1.4216995;;
1960-03-01;1.521697;;
1960-03-02;1.638567;;
1960-03-03;1.7504654;;
1960-03-04;1.7907248;;
1960-03-05;1.747262;;
1960-03-06;1.6486988;;
1960-03-07;1.538002;;
1960-03-08;1.4284897;;
1960-03-09;1.3445988;;
1960-03-10;1.3084183;;
1960-03-11;1.2842693;;
1960-03-12;1.2482319;;
1960-03-13;1.2068195;;
1960-03-14;1.1959972;;
1960-03-15;1.2089062;;
1960-03-16;1.2105293;;
1960-03-17;1.1786327;;
1960-03-18;1.1263618;;
1960-03-19;1.0679531;;
1960-03-20;1.008421;;
1960-03-21;0.94623184;;
1960-03-22;0.8820534;;
1960-03-23;0.8206177;;
1960-03-24;0.7644043;;
1960-03-25;0.7118015;;
1960-03-26;0.6634865;;
1960-03-27;0.6215477;;
1960-03-28;0.60487366;;
1960-03-29;0.61559486;;
1960-03-30;0.65442276;;
1960-03-31;0.6899452;;
1960-04-01;0.70910645;;
1960-04-02;0.70698357;;
1960-04-03;0.6947079;;
1960-04-04;0.6814499;;
1960-04-05;0.6704178;;
1960-04-06;0.6544781;;
1960-04-07;0.63451576;;
1960-04-08;0.61169815;;
1960-04-09;0.586956;;
1960-04-10;0.5604496;;
1960-04-11;0.533123;;
1960-04-12;0.5061455;;
1960-04-13;0.48109436;;
1960-04-14;0.4586525;;
1960-04-15;0.43938637;;
1960-04-16;0.42148018;;
1960-04-17;0.40350342;;
1960-04-18;0.38533974;;
1960-04-19;0.36701393;;
1960-04-20;0.34799767;;
1960-04-21;0.32769966;;
1960-04-22;0.30745125;;
1960-04-23;0.28752708;;
1960-04-24;0.26833916;;
1960-04-25;0.2502346;;
1960-04-26;0.23343277;;
1960-04-27;0.21748543;;
1960-04-28;0.20285416;;
1960-04-29;0.18937492;;
1960-04-30;0.17695618;;
1960-05-01;0.16520691;;
1960-05-02;0.15433693;;
1960-05-03;0.14426422;;
1960-05-04;0.1346302;;
1960-05-05;0.12558746;;
1960-05-06;0.11722183;;
1960-05-07;0.109695435;;
1960-05-08;0.103759766;;
1960-05-09;0.097558975;;
1960-05-10;0.091444016;;
1960-05-11;0.086574554;;
1960-05-12;0.08234978;;
1960-05-13;0.07840538;;
1960-05-14;0.074611664;;
1960-05-15;0.071596146;;
1960-05-16;0.068517685;;
1960-05-17;0.065504074;;
1960-05-18;0.06317711;;
1960-05-19;0.06259346;;
1960-05-20;0.06138611;;
1960-05-21;0.060228348;;
1960-05-22;0.058221817;;
1960-05-23;0.056238174;;
1960-05-24;0.056016922;;
1960-05-25;0.054965973;;
1960-05-26;0.053195953;;
1960-05-27;0.051631927;;
1960-05-28;0.050144196;;
1960-05-29;0.04862404;;
1960-05-30;0.04704857;;
1960-05-31;0.045347214;;
1960-06-01;0.043518066;;
1960-06-02;0.04141617;;
1960-06-03;0.039297104;;
1960-06-04;0.037319183;;
1960-06-05;0.035814285;;
1960-06-06;0.034420013;;
1960-06-07;0.03289795;;
1960-06-08;0.031812668;;
1960-06-09;0.031095505;;
1960-06-10;0.031835556;;
1960-06-11;0.029975891;;
1960-06-12;0.028842926;;
1960-06-13;0.028045654;;
1960-06-14;0.030485153;;
1960-06-15;0.028715134;;
1960-06-16;0.026618958;;
1960-06-17;0.025672913;;
1960-06-18;0.024805069;;
1960-06-19;0.023954391;;
1960-06-20;0.023202896;;
1960-06-21;0.022499084;;
1960-06-22;0.021839142;;
1960-06-23;0.021411896;;
1960-06-24;0.030029297;;
1960-06-25;0.025253296;;
1960-06-26;0.022119522;;
1960-06-27;0.02040863;;
1960-06-28;0.019771576;;
1960-06-29;0.019332886;;
1960-06-30;0.01889801;;
1960-07-01;0.018463135;;
1960-07-02;0.01802826;;
1960-07-03;0.017568588;;
1960-07-04;0.017210007;;
1960-07-05;0.016853333;;
1960-07-06;0.0164814;;
1960-07-07;0.016317368;;
1960-07-08;0.0163517;;
1960-07-09;0.016105652;;
1960-07-10;0.019975662;;
1960-07-11;0.018192291;;
1960-07-12;0.016328812;;
1960-07-13;0.0154418945;;
1960-07-14;0.015050888;;
1960-07-15;0.014762878;;
1960-07-16;0.014562607;;
1960-07-17;0.01451683;;
1960-07-18;0.014308929;;
1960-07-19;0.014032364;;
1960-07-20;0.013834;;
1960-07-21;0.013612747;;
1960-07-22;0.013376236;;
1960-07-23;0.013208389;;
1960-07-24;0.013250351;;
1960-07-25;0.013084412;;
1960-07-26;0.012830734;;
1960-07-27;0.012592316;;
1960-07-28;0.012407303;;
1960-07-29;0.012226105;;
1960-07-30;0.012029648;;
1960-07-31;0.011814117;;
1960-08-01;0.01792752;;
1960-08-02;0.021364205;;
1960-08-03;0.014740544;;
1960-08-04;0.012672968;;
1960-08-05;0.011960145;;
1960-08-06;0.012906216;;
1960-08-07;0.012540005;;
1960-08-08;0.01296398;;
1960-08-09;0.012363562;;
1960-08-10;0.021162305;;
1960-08-11;0.05582842;;
1960-08-12;0.030716937;;
1960-08-13;0.0422535;;
1960-08-14;0.0867886;;
1960-08-15;0.02962377;;
1960-08-16;0.021090388;;
1960-08-17;0.086979076;;
1960-08-18;0.11771658;;
1960-08-19;0.044362918;;
1960-08-20;0.03542;;
1960-08-21;0.03362623;;
1960-08-22;0.033487782;;
1960-08-23;0.033761114;;
1960-08-24;0.034083754;;
1960-08-25;0.07560538;;
1960-08-26;0.074049905;;
1960-08-27;0.079824805;;
1960-08-28;0.075903445;;
1960-08-29;0.073739454;;
1960-08-30;0.06623456;;
1960-08-31;0.06499606;;
1960-09-01;0.0643695;;
1960-09-02;0.063500196;;
1960-09-03;0.062711865;;
1960-09-04;0.067316234;;
1960-09-05;0.06534949;;
1960-09-06;0.065243006;;
1960-09-07;0.06562099;;
1960-09-08;0.065384954;;
1960-09-09;0.064667284;;
1960-09-10;0.06356937;;
1960-09-11;0.06216249;;
1960-09-12;0.060616523;;
1960-09-13;0.05899769;;
1960-09-14;0.05737561;;
1960-09-15;0.05621606;;
1960-09-16;0.057678282;;
1960-09-17;0.06777874;;
1960-09-18;0.099494785;;
1960-09-19;0.07995981;;
1960-09-20;0.072803736;;
1960-09-21;0.072523534;;
1960-09-22;0.07338929;;
1960-09-23;0.07331979;;
1960-09-24;0.072654724;;
1960-09-25;0.07170719;;
1960-09-26;0.07055414;;
1960-09-27;0.069359004;;
1960-09-28;0.06884229;;
1960-09-29;0.06867254;;
1960-09-30;0.099303186;;
1960-10-01;0.09328598;;
1960-10-02;0.13113618;;
1960-10-03;0.16113526;;
1960-10-04;0.13116622;;
1960-10-05;0.18757898;;
1960-10-06;0.2072618;;
1960-10-07;0.19060868;;
1960-10-08;0.24471575;;
1960-10-09;0.24155295;;
1960-10-10;0.23663747;;
1960-10-11;0.23913419;;
1960-10-12;0.23878443;;
1960-10-13;0.23515224;;
1960-10-14;0.23096335;;
1960-10-15;0.22940564;;
1960-10-16;0.22804773;;
1960-10-17;0.22424173;;
1960-10-18;0.21972156;;
1960-10-19;0.25333607;;
1960-10-20;0.41923416;;
1960-10-21;0.50191855;;
1960-10-22;0.57165504;;
1960-10-23;0.58573616;;
1960-10-24;0.72956574;;
1960-10-25;0.82530594;;
1960-10-26;0.8986926;;
1960-10-27;0.9526324;;
1960-10-28;0.99290633;;
1960-10-29;0.99134016;;
1960-10-30;0.9948251;;
1960-10-31;1.1984003;;
1960-11-01;1.7289615;;
1960-11-02;2.045558;;
1960-11-03;2.462235;;
1960-11-04;2.9603386;;
1960-11-05;3.1863089;;
1960-11-06;3.138198;;
1960-11-07;2.9209313;;
1960-11-08;2.652615;;
1960-11-09;2.403101;;
1960-11-10;2.3414335;;
1960-11-11;2.476264;;
1960-11-12;2.8307161;;
1960-11-13;3.1853666;;
1960-11-14;3.4540749;;
1960-11-15;3.606741;;
1960-11-16;3.6188316;;
1960-11-17;3.5688934;;
1960-11-18;3.5250835;;
1960-11-19;3.351324;;
1960-11-20;3.1044722;;
1960-11-21;2.8388329;;
1960-11-22;2.6340199;;
1960-11-23;2.458273;;
1960-11-24;2.2843266;;
1960-11-25;2.2028751;;
1960-11-26;2.329197;;
1960-11-27;2.5532513;;
1960-11-28;2.685152;;
1960-11-29;2.6392574;;
1960-11-30;2.4872608;;
1960-12-01;2.3147526;;
1960-12-02;2.1908245;;
1960-12-03;2.115593;;
1960-12-04;2.146286;;
1960-12-05;2.2630978;;
1960-12-06;2.3570862;;
1960-12-07;2.3707275;;
1960-12-08;2.29488;;
1960-12-09;2.165495;;
1960-12-10;2.0409737;;
1960-12-11;1.931675;;
1960-12-12;1.8188248;;
1960-12-13;1.7091446;;
1960-12-14;1.6149426;;
1960-12-15;1.5364418;;
1960-12-16;1.4711208;;
1960-12-17;1.4031296;;
1960-12-18;1.3293133;;
1960-12-19;1.3243637;;
1960-12-20;1.526968;;
1960-12-21;1.754303;;
1960-12-22;1.9590912;;
1960-12-23;2.0499878;;
1960-12-24;2.1168098;;
1960-12-25;2.1668549;;
1960-12-26;2.1942139;;
1960-12-27;2.2097855;;
1960-12-28;2.2041397;;
1960-12-29;2.2745934;;
