,evapo,precip,rechg,runoff
2021-01-01,8.3,0.0,0.0,0.0
2021-01-02,6.6,0.0,0.0,0.0
2021-01-03,8.8,0.0,0.0,0.0
2021-01-04,0.4,0.0,0.0,0.0
2021-01-05,2.4,0.0,0.0,0.0
2021-01-06,1.6,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,0.0
2021-01-09,0.0,0.0,0.0,0.0
2021-01-10,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0
2021-01-12,1.5,0.0,0.0,0.0
2021-01-13,2.3,0.0,0.0,0.0
2021-01-14,10.3,0.0,0.0,0.0
2021-01-15,3.9,0.0,0.0,0.0
2021-01-16,0.0,0.0,0.0,0.0
2021-01-17,1.2,0.0,0.0,0.0
2021-01-18,0.1,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.0,0.0
2021-01-20,2.1,0.0,0.0,0.0
2021-01-21,13.0,0.0,0.0,0.0
2021-01-22,24.1,0.0,0.0,0.0
2021-01-23,10.0,0.0,0.0,0.0
2021-01-24,0.1,0.0,0.0,0.0
2021-01-25,1.3,0.0,0.0,0.0
2021-01-26,0.1,0.0,0.0,0.0
2021-01-27,4.9,0.0,0.0,0.0
2021-01-28,5.4,0.0,0.0,0.0
2021-01-29,7.0,0.0,0.0,0.0
2021-01-30,3.4,0.0,0.0,0.0
2021-01-31,1.1,0.0,0.0,0.0
2021-02-01,2.0,0.0,0.0,0.0
2021-02-02,0.2,0.0,0.0,0.0
2021-02-03,3.5,0.0,0.0,0.0
2021-02-04,0.2,0.0,0.0,0.0
2021-02-05,0.4,0.0,0.0,0.0
2021-02-06,1.1,0.0,0.0,0.0
2021-02-07,31.3,0.0,0.0,0.0
2021-02-08,4.1,0.0,0.0,0.0
2021-02-09,0.5,0.0,0.0,0.0
2021-02-10,8.8,0.0,0.0,0.0
2021-02-11,0.0,0.0,0.0,0.0
2021-02-12,0.5,0.0,0.0,0.0
2021-02-13,1.2,0.0,0.0,0.0
2021-02-14,0.1,0.0,0.0,0.0
2021-02-15,0.3,0.0,0.0,0.0
2021-02-16,0.1,0.0,0.0,0.0
2021-02-17,0.3,0.0,0.0,0.0
2021-02-18,0.1,0.0,0.0,0.0
2021-02-19,0.1,0.0,0.0,0.0
2021-02-20,0.0,0.0,0.0,0.0
2021-02-21,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0
2021-02-23,0.0,0.0,0.0,0.0
2021-02-24,0.0,0.0,0.0,0.0
2021-02-25,0.0,0.0,0.0,0.0
2021-02-26,0.0,0.0,0.0,0.0
2021-02-27,0.0,0.0,0.0,0.0
2021-02-28,0.2,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0
2021-03-02,0.0,0.0,0.0,0.0
2021-03-03,0.0,0.0,0.0,0.0
2021-03-04,0.0,0.0,0.0,0.0
2021-03-05,0.1,0.0,0.0,0.0
2021-03-06,0.9,0.0,0.0,0.0
2021-03-07,0.1,0.0,0.0,0.0
2021-03-08,0.1,0.0,0.0,0.0
2021-03-09,2.8,0.0,0.0,0.0
2021-03-10,0.0,0.0,0.0,0.0
2021-03-11,1.9,0.0,0.0,0.0
2021-03-12,0.7,0.0,0.0,0.0
2021-03-13,0.3,0.0,0.0,0.0
2021-03-14,3.7,0.0,0.0,0.0
2021-03-15,1.4,0.0,0.0,0.0
2021-03-16,0.6,0.0,0.0,0.0
2021-03-17,0.8,0.0,0.0,0.0
2021-03-18,0.1,0.0,0.0,0.0
2021-03-19,0.2,0.0,0.0,0.0
2021-03-20,0.0,0.0,0.0,0.0
2021-03-21,0.1,0.0,0.0,0.0
2021-03-22,0.1,0.0,0.0,0.0
2021-03-23,0.0,0.0,0.0,0.0
2021-03-24,0.0,0.0,0.0,0.0
2021-03-25,0.0,0.0,0.0,0.0
2021-03-26,0.2,0.0,0.0,0.0
2021-03-27,0.0,0.0,0.0,1.2
2021-03-28,0.0,0.0,0.0,0.0
2021-03-29,0.59,0.0,0.0,0.0
2021-03-30,5.75,0.0,0.0,0.0
2021-03-31,7.84,0.0,0.0,0.0
2021-04-01,9.63,0.0,0.0,0.0
2021-04-02,10.47,0.0,0.0,0.0
2021-04-03,2.39,0.0,0.0,0.2
2021-04-04,0.6,0.0,0.0,0.0
2021-04-05,0.11,0.0,0.0,1.2
2021-04-06,0.9,0.0,0.0,0.0
2021-04-07,0.8,0.0,0.0,0.0
2021-04-08,0.0,0.0,0.0,0.0
2021-04-09,0.2,0.0,0.0,0.0
2021-04-10,2.1,0.0,0.0,0.0
2021-04-11,8.6,0.0,0.0,0.0
2021-04-12,15.5,0.0,0.0,0.0
2021-04-13,0.5,0.0,0.0,0.0
