cid,lat_dd,lon_dd,wind,hum1,hum2,hum3,hum4,growth_start,growth_end,nlayer,LAI,EZD,CN,lay_type1,thick1,poro1,fc1,wp1,ksat1,dist_dr1,slope1,lay_type2,thick2,poro2,fc2,wp2,ksat2,dist_dr2,slope2,lay_type3,thick3,poro3,fc3,wp3,ksat3,dist_dr3,slope3,lay_type4,thick4,poro4,fc4,wp4,ksat4,dist_dr4,slope4,lay_type5,thick5,poro5,fc5,wp5,ksat5,dist_dr5,slope5,lay_type6,thick6,poro6,fc6,wp6,ksat6,dist_dr6,slope6,lay_type7,thick7,poro7,fc7,wp7,ksat7,dist_dr7,slope7,run,X_utm18,Y_utm18,Bassin,context,BordEau,conbt0311,conlt0311,ContextBT,ContextLt,BT,Urbain,Culture,UtilSolCod
37728,48.02359010842667,-2.8310329206928224,10,60,65,70,70,120,266,1,4,57,50,1,100,0.45,0.23,0.116,0.1,50,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0
37729,48.0237560436433,-2.8276884335760277,10,60,65,70,70,120,266,1,4,57,50,1,100,0.45,0.23,0.116,0.1,50,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0
37730,48.02392188381272,-2.824343925511539,10,60,65,70,70,120,266,1,4,57,50,1,100,0.45,0.23,0.116,0.1,50,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0
37731,48.02118047130617,-2.8341298315670445,10,60,65,70,70,120,266,1,4,57,50,1,100,0.45,0.23,0.116,0.1,50,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0
37732,48.02134649477489,-2.8307855062834313,10,60,65,70,70,120,266,1,4,57,50,1,100,0.45,0.23,0.116,0.1,50,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0
37733,48.02151242320113,-2.827441160042982,10,60,65,70,70,120,266,1,4,57,50,1,100,0.45,0.23,0.116,0.1,50,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0
37734,48.021678256583975,-2.8240967928574943,10,60,65,70,70,120,266,1,4,57,50,1,100,0.45,0.23,0.116,0.1,50,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0
37735,48.021843994922584,-2.820752404738773,10,60,65,70,70,120,266,1,4,57,50,1,100,0.45,0.23,0.116,0.1,50,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0
37736,48.01893686071852,-2.833882297252604,10,60,65,70,70,120,266,1,4,57,50,1,100,0.45,0.23,0.116,0.1,50,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0
37737,48.01910287739326,-2.8305381128308778,10,60,65,70,70,120,266,1,4,57,50,1,100,0.45,0.23,0.116,0.1,50,8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,573921.764,5070632.196,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,400.0
