date_obs_elab,resultat_obs_elab,grandeur_hydro_elab,libelle_qualification,specific_discharge
1997-10-18,0.006,QmnJ,Bonne,0.0008955223880597015
1997-10-19,0.007,QmnJ,Bonne,0.001044776119402985
1997-10-20,0.01,QmnJ,Bonne,0.0014925373134328358
1997-10-21,0.009,QmnJ,Bonne,0.0013432835820895521
1997-10-22,0.014,QmnJ,Bonne,0.00208955223880597
1997-10-23,0.019,QmnJ,Bonne,0.0028358208955223878
1997-10-24,0.01,QmnJ,Bonne,0.0014925373134328358
1997-10-25,0.008,QmnJ,Bonne,0.0011940298507462687
1997-10-26,0.008,QmnJ,Bonne,0.0011940298507462687
1997-10-27,0.008,QmnJ,Bonne,0.0011940298507462687
1997-10-28,0.007,QmnJ,Bonne,0.001044776119402985
1997-10-29,0.007,QmnJ,Bonne,0.001044776119402985
1997-10-30,0.007,QmnJ,Bonne,0.001044776119402985
1997-10-31,0.007,QmnJ,Bonne,0.001044776119402985
1997-11-01,0.007,QmnJ,Bonne,0.001044776119402985
1997-11-02,0.007,QmnJ,Bonne,0.001044776119402985
1997-11-03,0.007,QmnJ,Bonne,0.001044776119402985
1997-11-04,0.015,QmnJ,Bonne,0.0022388059701492534
1997-11-05,0.012,QmnJ,Bonne,0.001791044776119403
1997-11-06,0.012,QmnJ,Bonne,0.001791044776119403
1997-11-07,0.015,QmnJ,Bonne,0.0022388059701492534
1997-11-08,0.062,QmnJ,Bonne,0.009253731343283582
1997-11-09,0.033,QmnJ,Bonne,0.004925373134328359
1997-11-10,0.03,QmnJ,Bonne,0.004477611940298507
1997-11-11,0.03,QmnJ,Bonne,0.004477611940298507
1997-11-12,0.02,QmnJ,Bonne,0.0029850746268656717
1997-11-13,0.017,QmnJ,Bonne,0.002537313432835821
1997-11-14,0.015,QmnJ,Bonne,0.0022388059701492534
1997-11-15,0.019,QmnJ,Bonne,0.0028358208955223878
1997-11-16,0.017,QmnJ,Bonne,0.002537313432835821
1997-11-17,0.016,QmnJ,Bonne,0.0023880597014925373
1997-11-18,0.023,QmnJ,Bonne,0.003432835820895522
1997-11-19,0.023,QmnJ,Bonne,0.003432835820895522
1997-11-20,0.024,QmnJ,Bonne,0.003582089552238806
1997-11-21,0.025,QmnJ,Bonne,0.0037313432835820895
1997-11-22,0.035,QmnJ,Bonne,0.0052238805970149255
1997-11-23,0.025,QmnJ,Bonne,0.0037313432835820895
1997-11-24,0.026,QmnJ,Bonne,0.003880597014925373
1997-11-25,0.026,QmnJ,Bonne,0.003880597014925373
1997-11-26,0.026,QmnJ,Bonne,0.003880597014925373
1997-11-27,0.028,QmnJ,Bonne,0.00417910447761194
1997-11-28,0.072,QmnJ,Bonne,0.010746268656716417
1997-11-29,0.034,QmnJ,Bonne,0.005074626865671642
1997-11-30,0.029,QmnJ,Bonne,0.004328358208955224
1997-12-01,0.029,QmnJ,Bonne,0.004328358208955224
1997-12-02,0.029,QmnJ,Bonne,0.004328358208955224
1997-12-03,0.028,QmnJ,Bonne,0.00417910447761194
1997-12-04,0.028,QmnJ,Bonne,0.00417910447761194
1997-12-05,0.027,QmnJ,Bonne,0.004029850746268657
1997-12-06,0.027,QmnJ,Bonne,0.004029850746268657
1997-12-07,0.034,QmnJ,Bonne,0.005074626865671642
1997-12-08,0.052,QmnJ,Bonne,0.007761194029850746
1997-12-09,0.038,QmnJ,Bonne,0.0056716417910447755
1997-12-10,0.092,QmnJ,Bonne,0.013731343283582088
1997-12-11,0.084,QmnJ,Bonne,0.01253731343283582
1997-12-12,0.055,QmnJ,Bonne,0.008208955223880597
1997-12-13,0.054,QmnJ,Bonne,0.008059701492537314
1997-12-14,0.054,QmnJ,Bonne,0.008059701492537314
1997-12-15,0.054,QmnJ,Bonne,0.008059701492537314
1997-12-16,0.054,QmnJ,Bonne,0.008059701492537314
1997-12-17,0.054,QmnJ,Bonne,0.008059701492537314
1997-12-18,0.071,QmnJ,Bonne,0.010597014925373132
1997-12-19,0.057,QmnJ,Bonne,0.008507462686567165
1997-12-20,0.097,QmnJ,Bonne,0.014477611940298507
1997-12-21,0.072,QmnJ,Bonne,0.010746268656716417
1997-12-22,0.071,QmnJ,Bonne,0.010597014925373132
1997-12-23,0.091,QmnJ,Bonne,0.013582089552238805
1997-12-24,0.249,QmnJ,Bonne,0.03716417910447761
1997-12-25,0.234,QmnJ,Bonne,0.03492537313432836
1997-12-26,0.2,QmnJ,Bonne,0.029850746268656716
1997-12-27,0.191,QmnJ,Bonne,0.028507462686567165
1997-12-28,0.178,QmnJ,Bonne,0.026567164179104475
1997-12-29,0.181,QmnJ,Bonne,0.027014925373134328
1997-12-30,0.216,QmnJ,Bonne,0.032238805970149255
1997-12-31,0.256,QmnJ,Bonne,0.0382089552238806
