datetime,value
1990-01-01,0.0825
1990-01-02,0.0795
1990-01-03,0.075
1990-01-04,0.0675
1990-01-05,0.0705
1990-01-06,0.0765
1990-01-07,0.1335
1990-01-08,0.126
1990-01-09,0.1125
1990-01-10,0.1035
1990-01-11,0.0885
1990-01-12,0.075
1990-01-13,0.0825
1990-01-14,0.1065
1990-01-15,0.1155
1990-01-16,0.1005
1990-01-17,0.087
1990-01-18,0.078
1990-01-19,0.075
1990-01-20,0.069
1990-01-21,0.0615
1990-01-22,0.0705
1990-01-23,0.435
1990-01-24,1.5975
1990-01-25,1.2405
1990-01-26,0.7635
1990-01-27,0.5715
1990-01-28,0.555
1990-01-29,0.444
1990-01-30,0.6735
1990-01-31,2.8365
1990-02-01,2.01
1990-02-02,3.465
1990-02-03,2.88
1990-02-04,1.3755
1990-02-05,0.7935
1990-02-06,0.582
1990-02-07,2.1435
1990-02-08,1.656
1990-02-09,0.6915
1990-02-10,1.5165
1990-02-11,2.0685
1990-02-12,3.9195
1990-02-13,1.9665
1990-02-14,2.988
1990-02-15,2.1675
1990-02-16,1.9215
1990-02-17,1.2315
1990-02-18,0.8865
1990-02-19,0.672
1990-02-20,0.531
1990-02-21,0.597
1990-02-22,0.5025
1990-02-23,0.4335
1990-02-24,0.393
1990-02-25,0.393
1990-02-26,0.405
1990-02-27,0.3375
1990-02-28,0.2865
1990-03-01,0.2565
1990-03-02,0.2325
1990-03-03,0.2085
1990-03-04,0.1785
1990-03-05,0.1545
1990-03-06,0.1455
1990-03-07,0.141
1990-03-08,0.138
1990-03-09,0.1335
1990-03-10,0.1305
1990-03-11,0.126
1990-03-12,0.123
1990-03-13,0.117
1990-03-14,0.1095
1990-03-15,0.1035
1990-03-16,0.096
1990-03-17,0.09
1990-03-18,0.0855
1990-03-19,0.081
1990-03-20,0.0765
1990-03-21,0.075
1990-03-22,0.072
1990-03-23,0.0705
1990-03-24,0.069
1990-03-25,0.0675
1990-03-26,0.0645
1990-03-27,0.063
1990-03-28,0.0615
1990-03-29,0.06
1990-03-30,0.057
1990-03-31,0.0525
1990-04-01,0.048
1990-04-02,0.0435
1990-04-03,0.0705
1990-04-04,0.069
1990-04-05,0.063
1990-04-06,0.0585
1990-04-07,0.0585
1990-04-08,0.0555
1990-04-09,0.0495
1990-04-10,0.0435
1990-04-11,0.0405
1990-04-12,0.0405
1990-04-13,0.0525
1990-04-14,0.0885
1990-04-15,0.108
1990-04-16,0.093
1990-04-17,0.0705
1990-04-18,0.0615
1990-04-19,0.0585
1990-04-20,0.126
1990-04-21,0.126
1990-04-22,0.0945
1990-04-23,0.093
1990-04-24,0.084
1990-04-25,0.0705
1990-04-26,0.057
1990-04-27,0.0435
1990-04-28,0.036
1990-04-29,0.03
1990-04-30,0.0285
1990-05-01,0.0285
1990-05-02,0.0285
1990-05-03,0.027
1990-05-04,0.0255
1990-05-05,0.024
1990-05-06,0.0225
1990-05-07,0.021
1990-05-08,0.0195
1990-05-09,0.018
1990-05-10,0.0165
1990-05-11,0.015
1990-05-12,0.015
1990-05-13,0.0135
1990-05-14,0.012
1990-05-15,0.012
1990-05-16,0.0105
1990-05-17,0.009
1990-05-18,0.1515
1990-05-19,0.1185
1990-05-20,0.057
1990-05-21,0.039
1990-05-22,0.036
1990-05-23,0.033
1990-05-24,0.03
1990-05-25,0.024
1990-05-26,0.0165
1990-05-27,0.012
1990-05-28,0.009
1990-05-29,0.0075
1990-05-30,0.006
1990-05-31,0.006
1990-06-01,0.006
1990-06-02,0.006
1990-06-03,0.006
1990-06-04,0.006
1990-06-05,0.006
1990-06-06,0.006
1990-06-07,0.006
1990-06-08,0.006
1990-06-09,0.006
1990-06-10,0.006
1990-06-11,0.006
1990-06-12,0.006
1990-06-13,0.006
1990-06-14,0.006
1990-06-15,0.006
1990-06-16,0.006
1990-06-17,0.006
1990-06-18,0.006
1990-06-19,0.015
1990-06-20,0.0225
1990-06-21,0.165
1990-06-22,0.258
1990-06-23,0.15
1990-06-24,0.087
1990-06-25,0.054
1990-06-26,0.033
1990-06-27,0.0255
1990-06-28,0.021
1990-06-29,0.0165
1990-06-30,0.0135
1990-07-01,0.012
1990-07-02,0.0255
